ancien_nom,nouveau_nom,nb_dossiers,nb_personnes
Chaouch Hamnami,Chaouch,1,8
Edhibi,Chaouine,1,6
El Hajri,Boumenijel,1,4
Chacour,Chakour,1,6
Ben Chahida,Chahida,1,45
Bouras,Mabrouk,1,3
Dhibi,Chaïeb,1,2
Mkachar,Toukabri,1,5
M'Kachar,Toukabri,1,1
Ouaili,Kilani,1,10
Azdiri,Nafati,1,1
Naïli Ouaili,Naïli,1,4
Abid,Baccar,1,4
Ouahichi,Montasser,1,14
Ouahchi,Montasser,1,1
Zeitouni Jelassi,Jelassi,1,1
Gazah,Faïak,1,2
Ben Frej ben A-leya,Aleya,1,3
Hafidh'allah Hajri,Hajri,1,5
Boudarboussa,Kamel,1,6
Ourimi medhebi,Medhebi,1,6
Zantani Trabelsi,Trabelsi,1,4
Bougataia,Trabelsi,1,2
Juaïli,Aribi,1,6
Kachrid,Frej,1,11
Ganour medhebi,Medhebi,1,7
Quaïli,Jenifa,1,1
Fethallah medhbi,Fethallah,1,10
Dhib,Sabeli,1,7
Gabsi medhebi,Gabsi,1,3
Boujarra,Ajmi,1,5
Zmerli dit Béji,Béji,1,3
Zmerbi dit Béji,Béji,1,4
Boukadida,Boukadaâ,1,9
Boukadida,Bcukadaâ,1,7
Bey,Babbey,1,1
Bel hadj,Belhaj,1,8
Rassil dit Habib,Rassil,1,1
Alleya Bou Slama,Bouslama,1,7
Khélil Bouchnak,Khélil,1,10
Akouni,Trabelsi,1,2
Nouri Djeridi,Nouri,1,4
Trabelsi Berroucha,Trabelsi,1,4
Dahach,Kamel,1,4
Kadri,Salhi,1,2
Kadri,Azizi,1,7
Hamdi,Ahmedi,1,4
Gammoudi,Taifi,1,11
Gammoudi,Gharsallah,1,5
Chahbani,Attoui,1,1
Daghari,Lazrag,1,8
Hamdi,Amari,1,4
Ghilane,Sabbahi,1,3
Hamdi,Ahmadi,1,13
Hamdi,Hamida,1,14
Ghilane,Zeitouni,1,8
Abassi,Benlatif,1,5
Khaled,Mabrouk,1,25
Duahabi,N'delhamid,1,12
Zaïdi,Benali,1,8
Kamali,Ataoui,1,8
Ouahabi,M'hamdi,1,15
Kaméli,Hamdi,1,19
Laghbaji,Hedfi,1,5
Ouahabi,Hellali,1,35
Khaled,Hellal,1,4
Meftahi,Mabrouk,1,20
Meftahi,Hedfi,1,26
Abdelli,Alouane,1,24
Ouahabi,Abdelhamid,1,7
Mekhiznani,M'hamdi,1,9
Meftahi,Bechraoui,1,9
Abdelli,Hamoudi,1,1
Khelifi Thamri,Benhassen,1,4
Thameur,Benhassen,1,4
Khaled,Amor,1,3
Kamali,Aïssaoui,1,2
Abassi,Benmessaoud,1,3
Kamali,Attoui,1,3
Zaidi,Benali,1,2
Gueribaâ,Malek,1,2
Fkih,Gacemi,1,16
Messaoudi,Mansouri,1,1
Hadar,Naji,1,11
Majdoub,Benhamda,1,8
Bouloukma,Bourasse,1,13
Hamila,Mansouri,1,30
Teftaf,Trabelsi,1,5
Bennour,Zaoui,1,20
Talc,Essid,1,8
Cherih,Selmi,1,72
Cherih,Lachihib,1,9
Jahiche,Lachihib,1,38
Taka,Lachihib,1,30
Taka,Lachibib,1,2
Cherih,M'rabet,1,15
Chebouki,Messaoudi,1,24
Cherih,Mahmoudi,1,35
Boukhalout,Bensliman,1,27
Dhib,Dhiab,1,29
Tanech,Mahdhi,1,12
M’rabet,Messaoudi,1,12
Guermach,Belgacem,1,73
Jelleti,Benhamdane,1,2
Boughoufa,Sakar,1,44
Jeraou,Jeri,1,77
Ella,Benammar,1,20
Kzam,Djerbi,1,4
Kabou,Makouri,1,49
Dakdaki,Abid,1,9
Jarmoude,Abouali,1,50
Afenouge,Messaoudi,1,23
Naji,Jaraï,1,20
Mousrati,Sakah,1,15
Bakbak,Barkallah,1,64
Haji,Bloua,1,15
Bloua,Haji,1,12
Bouloudane,Sayari,1,23
Hamila,Bdari,1,11
Hassou,Haji,1,20
Douirek,Zaidane,1,12
Ghemaidh,Sayari,1,3
Balaoute,Amri,1,50
Baar,Ameuri,1,27
Ghezal,Rahmani,1,12
Rakbi,Zagdoude,1,7
Keehoum,Ksiksi,1,15
Soukli,Saïdi,1,17
Chaïeb Aïna,Zaitouni,1,13
Chtour,Saïdi,1,10
Keskass,Mèdenini,1,6
Hamra,Benounallah,1,12
Kar,Bensalem,1,4
Kalébe,Chaouât,1,88
Saïd,Saïdi,1,4
Kanas,Zaoui,1,1
Chébli,Benhamda,1,1
Aroum,Salmi,1,1
Rebaï,Boukima,1,6
Rahal,Amri,1,1
Gabeur,Othmani,1,1
Djelidi,Bourase,1,3
Derouz,Jaraï,1,1
Lemdihen,Slimani,1,2
Rebaï,Kadri,1,3
Hatira,Ezzedine,1,14
Kazouni,Hamrouni,1,1
Sfaxi,Benhamda,1,1
Touznia,Jeraï,1,1
Hassisse,Nebhane,1,2
Souïd,Mansouri,1,6
Ferchah,Touati,1,1
Jeliti,Touati,1,1
Abdelkaoui,Malek,1,1
Kenibi Tanech,Mohedi,1,2
Mohedi,Mohedi,1,1
Dib,Dhiab,1,1
Sahal,Dhiab,1,6
Sahal,Benalaia,1,1
Mezoughi,Benhamda,1,1
Hadad,Benhamda,1,1
Majdoube,Benhamda,1,2
Majoul,Benhamda,1,1
Kerbi,Aride,1,1
Gaber,Othmani,1,1
Harane,Mansouri,1,1
Khéchira,Mebarek,1,20
Souiri,Benhassen,1,1
Rebiaïa,Nadri,1,1
Rebaï,Boukhima,1,1
Sarout,Haji,1,1
Biloua,Haji,1,1
Salmouk,Aloui,1,1
Alemoui,Sid,1,1
Gheribe,Haji,1,14
Hamel,Boukima,1,8
Boukdima,Boukima,1,9
Ajel,Benfradj,1,1
Bouleklaka,Mehamdi,1,7
Boulemak,Mehamdi,1,3
Lahouar,Jaballah,1,37
Caïd,Bencalid,1,10
Caïd,Bencaïd,1,9
