annee,numero_jort,type,numero,date,objet,listes_publiees,nb_personnes_extraites,pdf
1966,002,DECRET,66-13,10 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),72,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,002,DECRET,66-14,10 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de ),oui (JORT édition principale),75,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,003,DECRET,66-21,17 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),74,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,DECRET,66-22,17 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),75,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,DECRET,66-23,17 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),76,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,DECRET,66-24,17 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),78,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,DECRET,66-25,17 janvier 1966,Nom patronymique — délégation de Shiba (gouvernorat de Kasserine),oui (JORT édition principale),78,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,DECRET,66-26,17 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de ),oui (JORT édition principale),76,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,006,DECRET,66-40,3 février 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),468,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,DECRET,66-41,3 février 1966,Nom patronymique — délégation de Tunis et Banlieue (gouvernorat de Tunis et Banlieue),oui (JORT édition principale),80,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,DECRET,66-42,3 février 1966,Nom patronymique — délégation de Tunis et Banlieue (gouvernorat de Tunis et Banlieue),oui (JORT édition principale),65,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,DECRET,66-43,3 février 1966,Nom patronymique — délégation de Nabeul (gouvernorat de Nabeul),oui (JORT édition principale),49,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,007,DECRET,66-45,8 février 1966,Nom patronymique — délégation de Zarzis (gouvernorat de Medenine),oui (JORT édition principale),83,https://lake.jort.tn/journal-officiel/fr/1966/007.pdf
1966,007,DECRET,66-46,8 février 1966,Nom patronymique — délégation de ’El Guetar (gouvernorat de Gafsa),oui (JORT édition principale),175,https://lake.jort.tn/journal-officiel/fr/1966/007.pdf
1966,010,DECRET,66-74,24 février 1966,Nom patronymique — délégation de  (gouvernorat de Medenine),oui (JORT édition principale),544,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-75,24 février 1966,Nom patronymique — délégation de Remada (gouvernorat de Médenine),oui (JORT édition principale),338,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-76,24 février 1966,Nom patronymique — délégation de Kelibia (gouvernorat de Nabeul),oui (JORT édition principale),55,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-77,24 février 1966,Nom patronymique — délégation de Grombalia (gouvernorat de Nabcul),oui (JORT édition principale),150,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-78,24 février 1966,Nom patronymique — délégation de Mareth (gouvernorat de Gabès),oui (JORT édition principale),323,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-79,24 février 1966,Nom patronymique — délégation de Ras-Djebel (gouvernorat de Bizerte),oui (JORT édition principale),91,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-80,24 février 1966,Nom patronymique — délégation de Menzel Temime (gouvernorat de Nabeul),oui (JORT édition principale),266,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-81,24 février 1966,Nom patronymique — délégation de Kélibia (gouvernorat de Nabeul),oui (JORT édition principale),264,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,DECRET,66-82,24 février 1966,Nom patronymique — délégation de Nabeul (gouvernorat de Nabeul),oui (JORT édition principale),127,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,013,DECRET,66-107,16 mars 1966,Nom patronymique — délégation de Siliana (gouvernorat de Kef),oui (JORT édition principale),609,https://lake.jort.tn/journal-officiel/fr/1966/013.pdf
1966,015,DECRET,66-113,23 mars 1966,Nom patronymique — délégation de Tedjerouine (gouvernorat de Kef),oui (JORT édition principale),6011,https://lake.jort.tn/journal-officiel/fr/1966/015.pdf
1966,023,DECRET,66-218,27 mai 1966,Nom patronymique — délégation de Djemmal (gouvernorat de Sousse),oui (JORT édition principale),891,https://lake.jort.tn/journal-officiel/fr/1966/023.pdf
1966,028,DECRET,66-252,25 juin 1966,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),346,https://lake.jort.tn/journal-officiel/fr/1966/028.pdf
1966,034,DECRET,66-295,5 août 1966,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),61,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
1966,034,DECRET,66-296,5 août 1966,Nom patronymique — délégation de Mareth (gouvernorat de Gabes),oui (JORT édition principale),75,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
1966,034,DECRET,66-297,5 août 1966,Nom patronymique — délégation de Mareth (gouvernorat de Gabes),oui (JORT édition principale),64,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
1966,036,DECRET,66-314/66-315,20 août 1966,relatifs au nom patronymique (publiés sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1966/036.pdf
1966,039,DECRET,66-344,7 septembre 1966,relatif au nom patronymique (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1966/039.pdf
1966,040,DECRET,66-355,17 septembre 1966,relatif au nom patronymique (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1966/040.pdf
1966,043,DECRET,66-400,1er octobre 1966,relatif au nom patronymique (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1966/043.pdf
1966,048,DECRET,66-427,5 novembre 1966,relatif au nom patronymique (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1966/048.pdf
1967,015,DECRET,67-98,25 mars 1967,relatif au nom patronymique dans la délégation d'Ebba-Ksour et 13 Ksour (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/015.pdf
1967,016,DECRET,67-104,5 avril 1967,relatif au nom patronymique dans la délégation de Tébourba (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/016.pdf
1967,017,DECRET,67-110,12 avril 1967,"relatifs au nom patronymique dans les Délégations de Soliman et Kélibia, (publics sur l'original)",non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/017.pdf
1967,018,DECRET,67-117,17 avril 1967,relatif au nom patronymique dans la Délégation de Tajerouine (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/018.pdf
1967,019,DECRET,67-128,24 avril 1967,relatif au nom patronymique dans la Délégation de Djabeniana (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/019.pdf
1967,022,DECRET,67-153,18 mai 1967,relatifs au nom patronymique dans la Délégation de Haffouz (publiés sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/022.pdf
1967,027,DECRET,67-179,24 juin 1967,relatif au nom patronymique dans la Délégation de Gabès (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/027.pdf
1967,030,DECRET,67-221,8 juillet 1967,relatifs au nom patronymique dans les délégations d'Ain Draham et Grombalia (publiés sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/030.pdf
1967,031,DECRET,67-244,19 juillet 1967,relatif au nom patronymique,non (régime non précisé au sommaire),0,https://lake.jort.tn/journal-officiel/fr/1967/031.pdf
1967,032,DECRET,67-248,26 juillet 1967,relatifs au nom patronymique dans les délégations de Zarzis et Menzel Chuker (publiés sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/032.pdf
1967,035,DECRET,67-276,11 août 1967,relatif au nom patronymique dans la Délégation de Ilemada (publié sur l'original),non (publiées sur l'original),0,https://lake.jort.tn/journal-officiel/fr/1967/035.pdf
1967,042,DECRET,67-315,20 septembre 1967,relatif au nom patronymique dans les Délégations d'Ehba-Ksour et El Ksour et Sidi Amor Bou Hedjala (publiés au N° 1 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1967/042.pdf
1967,044,DECRET,67-347,10 octobre 1967,"relatif au nom patronymique dans les Délégations de Béni Khedach, Ghomrassen et Moknine (publiés au N° 2 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1967/044.pdf
1967,045,DECRET,67-351,18 octobre 1967,"relatif au nom patronymique dans les Délégations de Kairouan, Haffouz et Sidi Amor Bou Hadjela (publiés au N° 3 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1967/045.pdf
1967,047,DECRET,67-383,6 novembre 1967,relatif au nom patronymique dans la Délégation de Sousse (publié au N° 4 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1967/047.pdf
1967,049,DECRET,67-393,13 novembre 1967,"relatifs au nom patronymique dans les Délégations de Tabarka, Sousse, Tabaouine, Homsamel, Menzel Temi-me et Sejuane (publiés au N° 5 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1967/049.pdf
1967,051,DECRET,67-413,30 novembre 1967,relatif au nom patronymique,non (régime non précisé au sommaire),0,https://lake.jort.tn/journal-officiel/fr/1967/051.pdf
1968,001,DECRET,67-436,20 décembre 1967,"relatifs au nom patronymique dans les Délégations de Grombolia, Béni Ahedache, Mateur, Bizerte et Mahdia (publics au N° 7 de l'édition non patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/001.pdf
1968,005,DECRET,68-20,25 janvier 1968,"relatif au nom patronymique dans les Délégations de Toreur, Sidi Bou Zid et Métlaoui (publié au n° 8 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/005.pdf
1968,007,DECRET,68-51,6 février 1968,relatif au nom patronymique dans la Délégation de Tunis et Banlieue (publié au n° 9 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/007.pdf
1968,009,DECRET,68-41,22 février 1968,relatif au nom patronymique dans la Délégation de Maktar (publié au n° 10 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/009.pdf
1968,012,DECRET,68-56,8 mars 1968,relatif au nom patronymique dans la Délégation de Mezzouna (publié au n° 11 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/012.pdf
1968,017,DECRET,68-101,17 avril 1968,"relatifs au nom patronymique dans les Délégations de Jendouba, Nabeul, Sliman, Kélibia et Korba publiés au n° 12 de l'édition nom patronymique","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/017.pdf
1968,020,DECRET,68-119,13 mai 1968,"relatifs au nom patronymique dans les Délégations de Béja, Paul du Fahs, Medjez El Rab, Djibrel Labiedh et Bou Arada, publiés dans le n° 13 de l'édition nom patronymique","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/020.pdf
1968,035,DECRET,68-253,23 août 1968,relatif au nom patronymique dans le Gouvernorat de Médenine (publié au n° 11 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/035.pdf
1968,047,DECRET,68-336,30 octobre 1968,relatifs au nom patronymique dans les Délégations de Beni Khedach et Mareth (publiés au n° 15 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/047.pdf
1968,052,DECRET,68-373,2 décembre 1968,"relatif au nom patronymique dans la Délégation de Kaloa-Kéhara (publié au n° 16 de l'édition nom patronymique). | | DECRET N° 68-374 du 1 décembre 1968, autorisant la Commune de Tunis à contracter un ","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1968/052.pdf
1969,006,DECRET,69-56,8 février 1969,relatif au nom patronymique dans les Délégations de Tunis et de la Manouba (publié au n° 18 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/006.pdf
1969,016,DECRET,69-140,22 avril 1969,"relatifs au nom patronymique dans les Délégations de Bongardane, Tataouine, Remada, Mazouna et Matmata (publiés au n° 21 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/016.pdf
1969,018,DECRET,69-154,2 mai 1969,"relatif au nom patronymique dans les Délégations de Siliana, Tadjéramine, Kalilat-Senane (publié au n° 22 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/018.pdf
1969,022,DECRET,69-189,4 juin 1969,"relatif au nom patronymique dans les Délégations de Nabeul, Greenhalla, Soliman et Kélibia (publié au n° 23 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/022.pdf
1969,024,DECRET,69-199,19 juin 1969,relatif au nom patronymique dans la Délégation d'Aïn-Draham (publié au n° 24 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/024.pdf
1969,027,DECRET,69-285,12 juillet 1969,relatifs au nom patronymique dans les délégations de Tunis et Médenine (publiés au n° 25 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/027.pdf
1969,033,DECRET,69-304,28 août 1969,relatif au nom patronymique dans la Délégation de Menzel Bourguiba (publié au n° 26 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/033.pdf
1969,042,DECRET,69-379,11 octobre 1969,"relatifs au nom patronymique dans les Délégations de Béja et Fahs, Menzel-Temime, Sousse, Monastir, Mohdia, Doua, Gafsa, El Guelfar, Maknassi et Sfax (publiés au n° 27 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/042.pdf
1969,047,DECRET,69-402,5 novembre 1969,"relatifs au nom patronymique dans les Délégations de Tunis, la Manouba, la Mornagola et Metoule (publiés au n° 28 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/047.pdf
1969,055,DECRET,69-438,18 décembre 1969,"relatifs au nom patronymique dans les Délégations de Za-ghouan, Soliman et Tunis (publiés au n° 29 de l'édition non patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1969/055.pdf
1970,003,DECRET,70-19,13 janvier 1970,relatif au nom patronymique dans la Délégation du Kef (publié au n° 31 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/003.pdf
1970,010,DECRET,70-58,19 février 1970,relatif au nom patronymique dans la Délégation de Marche (publié au n° 32 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/010.pdf
1970,011,DECRET,70-62,24 février 1970,"relatif au nom patronymique dans les Délégations de Mahdia, Moknice et Jemmal (publié au n° 33 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/011.pdf
1970,016,DECRET,70-71,27 février 1970,relatif au nom patronymique dans la délégation de Messel-Bourguiba suite (publié au n° 35 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/016.pdf
1970,023,DECRET,70-136,24 avril 1970,"relatif au nom patronymique dans les délégations de Monastir, El-Djeez et Nefidha (publié au n° 37 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/023.pdf
1970,028,DECRET,70-168,23 mai 1970,"relatifs au nom patronymique dans les délégations de Nabeul, Grombalia, Soliman, Kefkha, Kerba, Hamoumet, Malmata et Jendooba (publiés au n° 38 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/028.pdf
1970,038,DECRET,70-266,5 août 1970,"relatifs au nom patronymique dans les délégations de Tunis, Mornaguia et Tunis, (publiés au n° 39 de l'édition non patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/038.pdf
1970,056,DECRET,70-315,4 septembre 1970,relatif au nom patronymique dans la délégation du Sers (suite et fin publié au n° 42 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1970/056.pdf
1971,007,DECRET,71-11,9 février 1971,"relatif au nom patronymique dans les délégations de Shikha, Haffouz, Oussiatla et Nasr Alfah (publié au n° 45 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/007.pdf
