governorate,constituency,imada,total_voters,sibling_cliques_count,sibling_voters_count,sibling_voters_pct,parental_ties_count,max_sibling_set_size
المهدية,الشابة - ملولش - سيدي علوان,الشابة الجنوبية,6909,933,2301,33.3,1197,8
المهدية,الشابة - ملولش - سيدي علوان,النزهة,1909,382,1035,54.22,425,8
المهدية,الشابة - ملولش - سيدي علوان,بن حسين,2854,534,1469,51.47,573,9
المهدية,الشابة - ملولش - سيدي علوان,زالبة الشرقية,1755,375,1115,63.53,561,10
المهدية,الشابة - ملولش - سيدي علوان,زالبة الغربية,2049,398,1116,54.47,490,11
المهدية,الشابة - ملولش - سيدي علوان,زردة,1927,363,1050,54.49,484,11
المهدية,الشابة - ملولش - سيدي علوان,ساقية الخادم,3214,613,1701,52.92,703,8
المهدية,الشابة - ملولش - سيدي علوان,سيدي عبد العزيز,591,88,220,37.23,80,6
المهدية,الشابة - ملولش - سيدي علوان,سيدي علوان الشرقية,4447,699,1693,38.07,504,7
المهدية,الشابة - ملولش - سيدي علوان,وادي قلات,1585,217,547,34.51,160,6
المهدية,المهدية,الجواودة,2572,493,1239,48.17,437,6
المهدية,المهدية,الحكايمة الشرقية,3479,640,1702,48.92,752,7
المهدية,المهدية,الحكايمة الغربية,1476,307,974,65.99,483,11
المهدية,الرجيش - قصور الساف - البرادعة,القصر,11735,1603,3889,33.14,1145,13
المهدية,الرجيش - قصور الساف - البرادعة,القطانين,4335,756,1915,44.18,769,7
المهدية,الرجيش - قصور الساف - البرادعة,رجيش,5371,853,2208,41.11,879,11
المهدية,الرجيش - قصور الساف - البرادعة,رجيش الجنوبية,3796,580,1491,39.28,654,11
المهدية,الشابة - ملولش - سيدي علوان,سيدي علوان الغربية,3958,581,1378,34.82,442,6
المهدية,الشابة - ملولش - سيدي علوان,ملولش,7960,1270,3346,42.04,1078,8
المهدية,الشابة - ملولش - سيدي علوان,وادي باجة الجنوبية,1787,376,1296,72.52,666,14
المهدية,الشابة - ملولش - سيدي علوان,وادي باجة الشمالية,3034,650,2027,66.81,875,11
المهدية,بومرداس - السواسي,الحوس,2475,491,1326,53.58,463,11
المهدية,بومرداس - السواسي,الرواضي,3093,660,2156,69.71,868,8
المهدية,بومرداس - السواسي,الزراطة,1338,286,875,65.4,387,8
المهدية,بومرداس - السواسي,الزعيرات,1856,345,984,53.02,451,7
المهدية,الشابة - ملولش - سيدي علوان,الشابة الشمالية,14271,2138,5153,36.11,2202,7
المهدية,الشابة - ملولش - سيدي علوان,العيثة,2852,568,1572,55.12,660,9
المهدية,الشابة - ملولش - سيدي علوان,الغضابنة,3769,632,1734,46.01,782,7
المهدية,الشابة - ملولش - سيدي علوان,المنصورة,3318,618,1811,54.58,741,9
المهدية,المهدية,المهدية,9906,986,2313,23.35,758,9
المهدية,المهدية,زويلة,5045,662,1585,31.42,594,8
المهدية,المهدية,زويلة الجنوبية,1559,161,361,23.16,146,5
المهدية,المهدية,شيبة,2022,413,1170,57.86,492,8
المهدية,المهدية,الرمل,4550,371,896,19.69,379,9
المهدية,المهدية,الزقانة,2664,375,951,35.7,369,9
المهدية,المهدية,الزهراء,13810,1685,4086,29.59,1633,11
المهدية,المهدية,السعد,3253,636,1727,53.09,710,8
المهدية,المهدية,هيبون,13058,1646,4117,31.53,1649,10
المهدية,بومرداس - السواسي,أولاد عمر السيدة,1342,300,848,63.19,350,8
المهدية,بومرداس - السواسي,أولاد مولاهم الشمالية,2932,513,1461,49.83,678,8
المهدية,بومرداس - السواسي,أولاد مولاهم الغربية,2033,450,1306,64.24,672,8
المهدية,بومرداس - السواسي,الكساسبة,4187,855,2343,55.96,1058,9
المهدية,بومرداس - السواسي,بومرداس,4562,850,2425,53.16,998,9
المهدية,بومرداس - السواسي,بوهلال العلي الجوفية,1972,401,1251,63.44,517,9
المهدية,بومرداس - السواسي,بوهلال العلي القبلية,3456,725,2321,67.16,1115,8
المهدية,بومرداس - السواسي,منزل حمزة,1694,355,1041,61.45,389,8
باجة,باجة الجنوبية - تيبار - تبرسق,المخشبية,1572,284,746,47.46,329,7
باجة,باجة الجنوبية - تيبار - تبرسق,المعقولة,6350,1070,2732,43.02,928,7
باجة,باجة الجنوبية - تيبار - تبرسق,المنشية,4157,539,1310,31.51,435,8
المهدية,بومرداس - السواسي,السواسي,10634,1481,3671,34.52,1353,8
المهدية,بومرداس - السواسي,الشحيمات القبلية,3885,734,1997,51.4,714,12
المهدية,بومرداس - السواسي,الشريشيرة,3152,607,1713,54.35,712,15
المهدية,بومرداس - السواسي,الشوارعية,1961,426,1306,66.6,601,8
باجة,باجة الجنوبية - تيبار - تبرسق,عين المليتي,1068,146,363,33.99,129,8
باجة,باجة الجنوبية - تيبار - تبرسق,عين جمالة,841,158,439,52.2,172,8
باجة,باجة الجنوبية - تيبار - تبرسق,فدان السوق,1038,195,560,53.95,249,9
باجة,باجة الجنوبية - تيبار - تبرسق,مستوتة,1257,259,741,58.95,241,9
باجة,باجة الجنوبية - تيبار - تبرسق,تيبار,3327,564,1392,41.84,484,7
باجة,باجة الجنوبية - تيبار - تبرسق,حمام سيالة,2101,341,859,40.89,303,9
باجة,باجة الجنوبية - تيبار - تبرسق,دجبة,3021,267,631,20.89,241,6
باجة,باجة الجنوبية - تيبار - تبرسق,دقة,2653,488,1287,48.51,506,7
المهدية,بومرداس - السواسي,سيدي الناصر,3462,612,1699,49.08,691,8
المهدية,بومرداس - السواسي,سيدي بوهلال,3268,646,1764,53.98,739,9
المهدية,بومرداس - السواسي,سيدي زيد,5219,920,2637,50.53,1111,9
المهدية,بومرداس - السواسي,كركر,5643,1185,3359,59.53,1410,8
باجة,باجة الجنوبية - تيبار - تبرسق,ريحانة,852,145,427,50.12,157,10
باجة,باجة الجنوبية - تيبار - تبرسق,زواغة,1434,206,522,36.4,163,6
باجة,باجة الجنوبية - تيبار - تبرسق,سيدي اسماعيل,4300,378,941,21.88,239,7
باجة,باجة الجنوبية - تيبار - تبرسق,سيدي السهيلي,1957,303,744,38.02,224,9
باجة,باجة الجنوبية - تيبار - تبرسق,سيدي فرج,4181,520,1227,29.35,368,6
باجة,باجة الجنوبية - تيبار - تبرسق,عين الحمام,296,59,164,55.41,66,6
باجة,باجة الجنوبية - تيبار - تبرسق,عين الدفالي,1118,158,384,34.35,123,6
باجة,باجة الجنوبية - تيبار - تبرسق,عين الكرمة,4017,673,1673,41.65,618,8
باجة,باجة الجنوبية - تيبار - تبرسق,النشيمة,1438,81,207,14.39,69,6
باجة,باجة الجنوبية - تيبار - تبرسق,الهواري,7909,684,1515,19.16,437,5
باجة,باجة الجنوبية - تيبار - تبرسق,بئر التوتة,1032,108,275,26.65,104,7
باجة,باجة الجنوبية - تيبار - تبرسق,تبرسق المدينة,3481,360,826,23.73,228,6
باجة,عمدون - نفزة,الطرهوني,904,161,391,43.25,161,6
باجة,عمدون - نفزة,الظهيرات,1560,282,709,45.45,356,6
باجة,عمدون - نفزة,الغرفة,689,108,251,36.43,124,5
باجة,عمدون - نفزة,الفرايجية,713,111,251,35.2,132,5
باجة,عمدون - نفزة,الحمراء,1082,109,252,23.29,66,4
باجة,عمدون - نفزة,الرماضنية,916,150,350,38.21,154,5
باجة,عمدون - نفزة,الزوارع,2862,450,1110,38.78,447,7
باجة,عمدون - نفزة,الطبابة,1556,179,410,26.35,140,6
باجة,باجة الشمالية,الزوابي,5912,499,1101,18.62,310,5
باجة,باجة الشمالية,الغرابة,1313,243,573,43.64,241,5
باجة,باجة الشمالية,الغيرية,1946,326,825,42.39,288,7
باجة,باجة الشمالية,القصبة,2667,302,710,26.62,229,6
باجة,عمدون - نفزة,القوسة,1348,212,514,38.13,174,7
باجة,عمدون - نفزة,المجالس,734,123,291,39.65,111,5
باجة,عمدون - نفزة,بالليف,1774,268,649,36.58,315,7
باجة,عمدون - نفزة,بوزنة,1848,361,967,52.33,451,6
باجة,عمدون - نفزة,صباح,853,111,248,29.07,100,5
باجة,عمدون - نفزة,غزية,1619,210,499,30.82,214,7
باجة,عمدون - نفزة,غياضة,1050,199,510,48.57,211,5
باجة,عمدون - نفزة,فطناسة,1419,264,695,48.98,327,7
باجة,عمدون - نفزة,كاف النيقرو,1809,341,863,47.71,357,6
باجة,عمدون - نفزة,مالك,1042,78,169,16.22,46,4
باجة,عمدون - نفزة,مغراوة,558,69,155,27.78,77,4
باجة,عمدون - نفزة,مقطع حديد,1193,183,481,40.32,201,8
باجة,باجة الشمالية,قصر باردو,7738,727,1651,21.34,553,8
باجة,باجة الشمالية,قصر مزوار,3188,464,1098,34.44,327,6
باجة,عمدون - نفزة,الجميلة,3332,494,1214,36.43,516,6
باجة,عمدون - نفزة,الجوزة,715,138,348,48.67,177,8
باجة,باجة الشمالية,باجة,12045,711,1507,12.51,301,5
باجة,باجة الشمالية,بوحزام,1862,241,559,30.02,146,6
باجة,باجة الشمالية,عزرة,1626,211,513,31.55,161,6
باجة,باجة الشمالية,عين سلطان,2190,318,766,34.98,242,6
باجة,عمدون - نفزة,جبل الديس,4147,609,1455,35.09,532,7
باجة,عمدون - نفزة,زاقة,2837,458,1140,40.18,464,7
باجة,عمدون - نفزة,زهرة مدين,4122,518,1215,29.48,420,6
باجة,عمدون - نفزة,زهرة مدين الجنوبية,2543,297,676,26.58,255,5
باجة,باجة الشمالية,المزارة,10097,650,1391,13.78,445,4
باجة,باجة الشمالية,المنار,6306,447,983,15.59,384,5
باجة,باجة الشمالية,المنشار,3302,403,940,28.47,341,6
باجة,باجة الشمالية,النقاشية,1669,294,719,43.08,277,6
باجة,مجاز الباب - قبلاط - تستور,أولاد سلامة,1151,89,208,18.07,53,6
باجة,مجاز الباب - قبلاط - تستور,ابن زيدون,4156,650,1613,38.81,766,12
باجة,مجاز الباب - قبلاط - تستور,السلوقية,4458,590,1790,40.15,891,16
باجة,مجاز الباب - قبلاط - تستور,الصخيرة,1049,88,229,21.83,82,8
باجة,مجاز الباب - قبلاط - تستور,الهري,2196,432,1198,54.55,393,7
باجة,مجاز الباب - قبلاط - تستور,بئر العش,1177,166,407,34.58,95,6
باجة,مجاز الباب - قبلاط - تستور,تستور,2413,295,683,28.31,237,7
باجة,مجاز الباب - قبلاط - تستور,توكابر,1062,155,383,36.06,137,7
باجة,مجاز الباب - قبلاط - تستور,القريعات,1668,273,712,42.69,216,10
باجة,مجاز الباب - قبلاط - تستور,القصر,1022,150,349,34.15,126,6
باجة,مجاز الباب - قبلاط - تستور,القمرتي,1121,41,102,9.1,18,6
باجة,مجاز الباب - قبلاط - تستور,المواطيس,6861,811,1894,27.61,526,11
باجة,مجاز الباب - قبلاط - تستور,سيدي عامر,345,63,153,44.35,63,6
باجة,مجاز الباب - قبلاط - تستور,سيدي عبد العزيز,815,134,359,44.05,127,7
باجة,مجاز الباب - قبلاط - تستور,سيدي مدين,1310,206,593,45.27,186,10
باجة,مجاز الباب - قبلاط - تستور,سيدي نصر,1731,157,382,22.07,92,6
باجة,مجاز الباب - قبلاط - تستور,حي 26 فيفري,5347,741,1847,34.54,748,13
باجة,مجاز الباب - قبلاط - تستور,حيدوس,543,111,300,55.25,90,6
باجة,مجاز الباب - قبلاط - تستور,خشاب,995,156,421,42.31,115,7
باجة,مجاز الباب - قبلاط - تستور,خنيقة الدهان,903,172,459,50.83,113,9
باجة,عمدون - نفزة,نفزة الشرقية,4398,460,1089,24.76,461,8
باجة,عمدون - نفزة,نفزة الغربية,6960,854,2083,29.93,939,9
باجة,عمدون - نفزة,وادي المعدن,1540,247,601,39.03,221,6
باجة,عمدون - نفزة,وشتاتة,4405,632,1488,33.78,515,7
باجة,مجاز الباب - قبلاط - تستور,شواش,917,61,146,15.92,38,6
باجة,مجاز الباب - قبلاط - تستور,شيخ الوديان,1288,248,740,57.45,186,8
باجة,مجاز الباب - قبلاط - تستور,عين يونس,1319,234,620,47.01,212,8
باجة,مجاز الباب - قبلاط - تستور,قبلاط,4732,622,1655,34.97,421,13
باجة,مجاز الباب - قبلاط - تستور,دور اسماعيل,1527,265,710,46.5,179,11
باجة,مجاز الباب - قبلاط - تستور,زلدو,1311,239,610,46.53,175,6
باجة,مجاز الباب - قبلاط - تستور,سيدي أحمد الجديدي,1256,232,581,46.26,214,7
باجة,مجاز الباب - قبلاط - تستور,سيدي الرائس,6349,819,1987,31.3,756,10
باجة,مجاز الباب - قبلاط - تستور,قرام,1286,219,619,48.13,188,13
باجة,مجاز الباب - قبلاط - تستور,قريش الوادي,1014,177,500,49.31,156,8
باجة,مجاز الباب - قبلاط - تستور,مجاز الباب الجنوبية,3366,508,1285,38.18,431,6
باجة,مجاز الباب - قبلاط - تستور,مجاز الباب المدينة,5598,569,1316,23.51,361,8
بن عروس,المروج - فرحات حشاد,فرحات حشاد,3775,384,914,24.21,394,6
بن عروس,بن عروس - المدينة الجديدة,الرابطة,8492,628,1435,16.9,597,7
بن عروس,بن عروس - المدينة الجديدة,المدينة الجديدة 1,7561,673,1531,20.25,483,6
بن عروس,بن عروس - المدينة الجديدة,المدينة الجديدة2,5796,490,1126,19.43,502,7
بن عروس,بن عروس - المدينة الجديدة,حي ابن عرفة,835,28,62,7.43,28,4
بن عروس,بن عروس - المدينة الجديدة,حي الاسكان,4217,275,617,14.63,191,6
بن عروس,بن عروس - المدينة الجديدة,سيدي بن عروس,7374,500,1135,15.39,425,6
بن عروس,بن عروس - المدينة الجديدة,سيدي مصباح,11044,758,1728,15.65,777,6
باجة,مجاز الباب - قبلاط - تستور,مزوغة,836,77,204,24.4,95,8
باجة,مجاز الباب - قبلاط - تستور,وادي الزرقاء,3914,672,1727,44.12,597,9
بن عروس,المحمدية,المحمدية,17175,1384,3164,18.42,1185,8
بن عروس,المحمدية,المنجي سليم,9535,1063,2561,26.86,1113,7
بن عروس,بومهل البساتين - الزهراء,برج الوزير,2602,368,956,36.74,420,11
بن عروس,بومهل البساتين - الزهراء,بومهل,11227,1052,2385,21.24,1248,7
بن عروس,بومهل البساتين - الزهراء,حي الحبيب,9941,846,1919,19.3,878,6
بن عروس,بومهل البساتين - الزهراء,شالة,5890,528,1202,20.41,376,5
بن عروس,بن عروس - المدينة الجديدة,المهيري,3842,344,828,21.55,312,6
بن عروس,بن عروس - المدينة الجديدة,الياسمينات,16974,1428,3369,19.85,1411,9
بن عروس,بن عروس - المدينة الجديدة,بن عروس الشرقية,8358,635,1455,17.41,520,9
بن عروس,بن عروس - المدينة الجديدة,بن عروس الغربية,5565,571,1339,24.06,506,7
بن عروس,المحمدية,حي السعادة,10082,1040,2425,24.05,1002,7
بن عروس,المحمدية,حي النسيم,11163,866,1982,17.76,898,7
بن عروس,المحمدية,سيدي فرج,1776,276,799,44.99,375,9
بن عروس,المروج - بئر القصعة,المروج 1,18386,1361,3003,16.33,1399,5
بن عروس,بومهل البساتين - الزهراء,18جانفي,6271,591,1322,21.08,583,5
بن عروس,بومهل البساتين - الزهراء,البساتين,12142,980,2261,18.62,1032,6
بن عروس,بومهل البساتين - الزهراء,البساتين الغربية,2393,277,672,28.08,292,5
بن عروس,بومهل البساتين - الزهراء,الزهراء المدينة,12034,1276,2924,24.3,984,7
بن عروس,حمام الأنف - حمام الشط,فرحات حشاد,899,83,184,20.47,37,4
بن عروس,رادس - مقرين,الطيب المهيري,6736,715,1693,25.13,731,6
بن عروس,رادس - مقرين,المنجي سليم,1986,138,307,15.46,141,5
بن عروس,رادس - مقرين,جوهرة,3389,402,926,27.32,351,6
بن عروس,رادس - مقرين,رادس مليان,5655,609,1411,24.95,774,8
بن عروس,رادس - مقرين,سيدي رزيق,2298,279,650,28.29,340,6
بن عروس,رادس - مقرين,سيدي رزيق 2,526,52,121,23.0,69,5
بن عروس,رادس - مقرين,مقرين الرياض,2959,394,992,33.52,430,6
بن عروس,المروج - بئر القصعة,المروج 3,20533,1548,3470,16.9,1972,6
بن عروس,المروج - بئر القصعة,المروج 4,12082,1030,2305,19.08,1243,5
بن عروس,المروج - بئر القصعة,بئر القصعة,1944,112,239,12.29,160,6
بن عروس,المروج - فرحات حشاد,المروج 5,22969,1661,3667,15.96,2049,6
بن عروس,رادس - مقرين,مقرين العليا,5284,522,1208,22.86,537,6
بن عروس,رادس - مقرين,مقرين شاكر,6968,812,1951,28.0,548,8
بن عروس,رادس - مقرين,مقرين شاكر2,3352,434,1013,30.22,337,7
بن عروس,رادس - مقرين,منزل مبروك,479,21,44,9.19,22,4
بن عروس,حمام الأنف - حمام الشط,حمام الانف الملعب,5772,654,1531,26.52,567,7
بن عروس,حمام الأنف - حمام الشط,حمام الانف بوقرنين,6627,593,1365,20.6,516,5
بن عروس,حمام الأنف - حمام الشط,حمام الشط,10773,945,2155,20.0,1026,7
بن عروس,حمام الأنف - حمام الشط,حي محمد علي,5880,630,1542,26.22,595,7
بن عروس,رادس - مقرين,نوبو,2120,277,689,32.5,260,7
بن عروس,فوشانة,المغيرة,3974,394,936,23.55,415,8
بن عروس,فوشانة,الهضاب,10211,917,2138,20.94,1117,7
بن عروس,فوشانة,حي المستقبل,7555,895,2221,29.4,959,8
بن عروس,مرناق,جبل الرصاص,2902,444,1138,39.21,448,7
بن عروس,مرناق,سيدي سالم القارصي,643,86,213,33.13,74,5
بن عروس,مرناق,سيدي سعد,3973,633,1631,41.05,594,7
بن عروس,مرناق,عين رقاد,710,134,376,52.96,168,7
بن عروس,مرناق,أوذنة,2335,405,1024,43.85,423,6
بن عروس,مرناق,الخليدية,5155,760,1868,36.24,695,8
بن عروس,مرناق,الرسالة,3118,458,1254,40.22,495,9
بن عروس,مرناق,الزاوية,4598,643,1657,36.04,677,8
بن عروس,مرناق,السلام,4384,657,1807,41.22,867,13
بن عروس,مرناق,القصيبي,1864,311,958,51.39,417,11
بن عروس,مرناق,القنة,815,177,487,59.75,187,7
بن عروس,مرناق,الكبوطي,1875,254,709,37.81,271,9
بن عروس,حمام الأنف - حمام الشط,بئر الباي,5538,531,1196,21.6,550,6
بن عروس,حمام الأنف - حمام الشط,برج السدرية,11899,1224,2978,25.03,1341,9
بن عروس,حمام الأنف - حمام الشط,حمام الانف المدينة,10420,1000,2225,21.35,549,6
بن عروس,حمام الأنف - حمام الشط,حمام الانف المدينة 2,633,31,65,10.27,28,3
بن عروس,رادس - مقرين,رادس الغابة,3309,223,492,14.87,290,5
بن عروس,رادس - مقرين,رادس المدينة,14725,1181,2694,18.3,863,7
بن عروس,رادس - مقرين,رادس الملاحة,5321,660,1691,31.78,559,8
بن عروس,رادس - مقرين,رادس رمادة,8047,743,1663,20.67,634,6
بن عروس,فوشانة,دوار الحوش,1899,248,591,31.12,249,6
بن عروس,فوشانة,شبدّة,3218,462,1150,35.74,471,6
بن عروس,فوشانة,فوشانة,15185,1410,3282,21.61,1184,7
بن عروس,فوشانة,نعسان,15821,2101,5060,31.98,1841,8
بنزرت,بنزرت الجنوبية,باب ماطر,5961,643,1571,26.35,565,8
بنزرت,بنزرت الجنوبية,تسكراية,1731,134,321,18.54,129,6
بنزرت,بنزرت الجنوبية,حي الجلاء,2482,187,435,17.53,199,6
بنزرت,بنزرت الجنوبية,سيدي احمد,4557,727,1821,39.96,721,9
بنزرت,بنزرت الجنوبية,سيدي عامر,1077,150,363,33.7,160,4
بنزرت,بنزرت الجنوبية,فرحات حشاد,9478,1266,3066,32.35,1335,11
بنزرت,بنزرت الجنوبية,مرنيصة,3033,377,1010,33.3,424,10
بنزرت,بنزرت الجنوبية,هيشر,930,183,477,51.29,185,6
بنزرت,سجنان - جومين - غزالة,أولاد الماي,722,70,163,22.58,85,4
بنزرت,سجنان - جومين - غزالة,أولاد غانم,3357,338,803,23.92,366,5
بنزرت,سجنان - جومين - غزالة,الحشاشنة,5055,372,919,18.18,349,7
بنزرت,سجنان - جومين - غزالة,الذواودة,2423,136,290,11.97,143,4
بنزرت,سجنان - جومين - غزالة,السحابنة,3667,144,333,9.08,168,7
بنزرت,سجنان - جومين - غزالة,السمان,2185,255,601,27.51,307,5
بنزرت,سجنان - جومين - غزالة,الشنانة,1904,255,593,31.14,263,6
بنزرت,سجنان - جومين - غزالة,الطواجنية,2772,273,648,23.38,311,6
بن عروس,مرناق,مرناق,14804,1536,3663,24.74,1413,10
بن عروس,مرناق,مرناق الغربية,5777,564,1349,23.35,571,7
بنزرت,بنزرت الجنوبية,اللواتة,5475,947,2682,48.99,1213,15
بنزرت,بنزرت الجنوبية,المصيدة,6588,880,2222,33.73,1112,7
بنزرت,سجنان - جومين - غزالة,تاهنت,1770,163,368,20.79,137,5
بنزرت,سجنان - جومين - غزالة,حشاد,3479,352,807,23.2,360,5
بنزرت,سجنان - جومين - غزالة,ركب,2288,268,613,26.79,305,5
بنزرت,سجنان - جومين - غزالة,رواحة,2259,302,742,32.85,423,10
بنزرت,سجنان - جومين - غزالة,العبابسة,2094,164,381,18.19,135,5
بنزرت,سجنان - جومين - غزالة,العرب,2224,206,474,21.31,214,7
بنزرت,سجنان - جومين - غزالة,المشارقة,3394,153,352,10.37,220,5
بنزرت,سجنان - جومين - غزالة,المعالية,3991,273,642,16.09,218,7
بنزرت,سجنان - جومين - غزالة,امادن,2693,234,559,20.76,163,8
بنزرت,سجنان - جومين - غزالة,بازينة,6508,780,1913,29.39,821,8
بنزرت,سجنان - جومين - غزالة,بالرايس,1051,83,186,17.7,83,5
بنزرت,سجنان - جومين - غزالة,بوجرير,1432,148,332,23.18,147,5
بنزرت,بنزرت الشمالية,15أكتوبر,3737,346,761,20.36,349,4
بنزرت,بنزرت الشمالية,الحبيب الحداد,14075,1262,2826,20.08,1274,6
بنزرت,بنزرت الشمالية,الحبيب بوقطفة,6818,436,984,14.43,351,6
بنزرت,بنزرت الشمالية,الشيخ إدريس,456,14,30,6.58,14,3
بنزرت,بنزرت الشمالية,القنال,4844,404,900,18.58,349,5
بنزرت,بنزرت الشمالية,الكرنيش,6255,530,1196,19.12,514,5
بنزرت,بنزرت الشمالية,المؤتمر,6515,660,1544,23.7,601,8
بنزرت,بنزرت الشمالية,المدينة,15055,1543,3606,23.95,856,8
بنزرت,بنزرت الشمالية,الهناء,11903,1116,2560,21.51,860,7
بنزرت,بنزرت الشمالية,بوبكر باكير,5423,489,1132,20.87,430,6
بنزرت,بنزرت الشمالية,حسن النوري,5462,648,1524,27.9,580,6
بنزرت,بنزرت الشمالية,عين مريم,8137,870,2094,25.73,572,8
بنزرت,سجنان - جومين - غزالة,سجنان,8683,1116,2821,32.49,1151,9
بنزرت,سجنان - جومين - غزالة,سيدي عيسى,2264,241,552,24.38,283,6
بنزرت,سجنان - جومين - غزالة,سيدي مشرق,2584,172,401,15.52,200,5
بنزرت,سجنان - جومين - غزالة,سيدي منصور,1492,178,453,30.36,236,6
بنزرت,سجنان - جومين - غزالة,غزالة,5902,558,1303,22.08,633,6
بنزرت,سجنان - جومين - غزالة,كاف غراب,1540,140,314,20.39,136,4
بنزرت,غار الملح - العالية - راس الجبل,الختمين,4540,650,1716,37.8,820,12
بنزرت,غار الملح - العالية - راس الجبل,الزواوين,2380,403,1082,45.46,462,7
بنزرت,ماطر - أوتيك,البسباسية,1744,235,603,34.58,260,7
بنزرت,ماطر - أوتيك,الحويض,1537,244,637,41.44,268,6
بنزرت,ماطر - أوتيك,المبطوح,805,130,362,44.97,202,6
بنزرت,ماطر - أوتيك,باش حانبة,1715,286,745,43.44,259,8
بنزرت,غار الملح - العالية - راس الجبل,غار الملح,5021,839,2190,43.62,875,9
بنزرت,ماطر - أوتيك,أحواز ماطر,3151,314,727,23.07,282,5
بنزرت,ماطر - أوتيك,أوتيك,4323,690,1783,41.24,783,10
بنزرت,ماطر - أوتيك,أوتيك الجديدة,2258,386,1062,47.03,540,8
بنزرت,ماطر - أوتيك,حي النصر,3023,376,922,30.5,430,6
بنزرت,ماطر - أوتيك,سيدي عثمان,955,160,463,48.48,186,6
بنزرت,ماطر - أوتيك,عرب ماجور,2287,218,489,21.38,218,5
بنزرت,ماطر - أوتيك,عين غلال,2030,279,684,33.69,232,6
بنزرت,ماطر - أوتيك,بهاية,2377,216,494,20.78,190,5
بنزرت,ماطر - أوتيك,بومخيلة,2095,232,542,25.87,263,5
بنزرت,ماطر - أوتيك,ترقلاش,1405,127,286,20.36,103,5
بنزرت,ماطر - أوتيك,حي الصداقة,3408,364,847,24.85,431,6
بنزرت,غار الملح - العالية - راس الجبل,رفراف,10377,1494,3844,37.04,1730,9
بنزرت,غار الملح - العالية - راس الجبل,سيدي علي الشباب,1315,186,496,37.72,296,9
بنزرت,غار الملح - العالية - راس الجبل,صونين,3077,452,1409,45.79,1027,19
بنزرت,غار الملح - العالية - راس الجبل,عوسجة,6744,999,2536,37.6,947,10
بنزرت,غار الملح - العالية - راس الجبل,العالية الجنوبية,10501,763,1694,16.13,894,6
بنزرت,غار الملح - العالية - راس الجبل,العالية الشمالية,7100,617,1447,20.38,920,7
بنزرت,غار الملح - العالية - راس الجبل,القرية,1867,243,632,33.85,397,6
بنزرت,غار الملح - العالية - راس الجبل,الماتلين,7031,675,1592,22.64,760,6
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,البئر الأحمر الغربية,1153,193,497,43.1,191,6
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,البساتين,807,129,373,46.22,237,8
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,الدويرات,656,107,371,56.55,209,11
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,الرقبة,5870,888,2496,42.52,1107,11
بنزرت,منزل بورقيبة - تينجة,تينجة,10654,1465,3375,31.68,1112,7
بنزرت,منزل بورقيبة - تينجة,حي الثورة,5668,756,1888,33.31,828,7
بنزرت,منزل بورقيبة - تينجة,حي الحدائق,1518,77,166,10.94,58,4
بنزرت,منزل بورقيبة - تينجة,قبطنة 1,1331,176,454,34.11,204,5
بنزرت,ماطر - أوتيك,ماطر,13823,1331,2961,21.42,1124,5
بنزرت,ماطر - أوتيك,ماطر الجنوبية,5423,509,1154,21.28,468,6
بنزرت,ماطر - أوتيك,نفات,2176,180,412,18.93,159,6
بنزرت,منزل بورقيبة - تينجة,الزعرور,1752,213,530,30.25,261,7
بنزرت,غار الملح - العالية - راس الجبل,الماتلين الغربية,3395,333,777,22.89,377,8
بنزرت,غار الملح - العالية - راس الجبل,باجو,3105,604,1836,59.13,934,8
بنزرت,غار الملح - العالية - راس الجبل,رأس الجبل الجنوبية,10809,1183,2792,25.83,1136,8
بنزرت,غار الملح - العالية - راس الجبل,رأس الجبل الشمالية,16211,1803,4221,26.04,1692,7
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,الزهور,2316,296,689,29.75,200,6
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,السند,2948,440,1096,37.18,480,8
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,العرقوب,282,44,146,51.77,92,7
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,الفرش,1592,274,814,51.13,363,10
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,القرضاب,569,70,184,32.34,93,7
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,المدينة,1010,187,515,50.99,240,8
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,المدينة الجديدة,2972,390,966,32.5,346,9
تطاوين,تطاوين الجنوبية - بئر الأحمر - غمراسن,المزطورية الجنوبية,1970,389,1191,60.46,556,8
بنزرت,منزل بورقيبة - تينجة,قبطنة 2,3485,513,1303,37.39,594,8
بنزرت,منزل بورقيبة - تينجة,قنقلة,5464,591,1366,25.0,725,8
بنزرت,منزل جميل - جرزونة,العزيب,4906,801,2069,42.17,1094,8
بنزرت,منزل جميل - جرزونة,جرزونة الجنوبية,12066,1411,3281,27.19,1100,7
