tribe,latin,governorate,voters,share_pct,voters_beyond_ring,share_beyond_ring_pct,arrow_drawn
Hammama,Hammami,Kairouan,2095,3.9,2092,3.9,0
Hammama,Hammami,Sousse,1438,2.7,1438,2.7,0
Hammama,Hammami,Sfax,1130,2.1,1079,2.0,0
Hammama,Hammami,Sidi Bou Zid,1123,2.1,99,0.2,0
Hammama,Hammami,Monastir,435,0.8,435,0.8,0
Hammama,Hammami,Le Kef,426,0.8,426,0.8,0
Hammama,Hammami,Gafsa,408,0.8,138,0.3,0
Hammama,Hammami,Mahdia,362,0.7,362,0.7,0
Hammama,Hammami,Médenine,237,0.4,237,0.4,0
Hammama,Hammami,Jendouba,224,0.4,224,0.4,0
Hammama,Hammami,Gabès,185,0.3,185,0.3,0
Hammama,Hammami,Kassérine,138,0.3,137,0.3,0
Hammama,Hammami,Kebili,69,0.1,69,0.1,0
Hammama,Hammami,Tozeur,57,0.1,57,0.1,0
Hammama,Hammami,Tataouine,6,0.0,6,0.0,0
Drid,Dridi,Bizerte,10109,19.5,10109,19.5,1
Drid,Dridi,Tunis,7570,14.6,5681,11.0,1
Drid,Dridi,Manubah,7289,14.1,280,0.5,0
Drid,Dridi,Ben Arous,6380,12.3,5313,10.3,1
Drid,Dridi,Nabeul,4023,7.8,4023,7.8,1
Drid,Dridi,Ariana,3808,7.3,3747,7.2,1
Drid,Dridi,Siliana,2864,5.5,1110,2.1,0
Drid,Dridi,Béja,2775,5.4,968,1.9,0
Drid,Dridi,Zaghouan,1537,3.0,631,1.2,0
Drid,Dridi,Sousse,1301,2.5,1301,2.5,1
Drid,Dridi,Kairouan,990,1.9,990,1.9,0
Drid,Dridi,Jendouba,785,1.5,785,1.5,0
Drid,Dridi,Sfax,460,0.9,460,0.9,0
Drid,Dridi,Le Kef,392,0.8,392,0.8,0
Drid,Dridi,Monastir,363,0.7,363,0.7,0
Drid,Dridi,Mahdia,263,0.5,263,0.5,0
Drid,Dridi,Médenine,257,0.5,257,0.5,0
Drid,Dridi,Tozeur,197,0.4,197,0.4,0
Drid,Dridi,Gabès,193,0.4,193,0.4,0
Drid,Dridi,Gafsa,115,0.2,115,0.2,0
Drid,Dridi,Kassérine,104,0.2,104,0.2,0
Drid,Dridi,Sidi Bou Zid,29,0.1,29,0.1,0
Drid,Dridi,Tataouine,14,0.0,14,0.0,0
Drid,Dridi,Kebili,4,0.0,4,0.0,0
Mejers,Mejri,Tunis,7677,18.1,7677,18.1,1
Mejers,Mejri,Manubah,5922,13.9,5922,13.9,1
Mejers,Mejri,Bizerte,4886,11.5,4886,11.5,1
Mejers,Mejri,Ben Arous,3991,9.4,3991,9.4,1
Mejers,Mejri,Ariana,3683,8.7,3683,8.7,1
Mejers,Mejri,Jendouba,2396,5.6,2396,5.6,1
Mejers,Mejri,Nabeul,2156,5.1,2156,5.1,0
Mejers,Mejri,Siliana,2072,4.9,2022,4.8,0
Mejers,Mejri,Le Kef,1861,4.4,1216,2.9,0
Mejers,Mejri,Béja,1839,4.3,1839,4.3,0
Mejers,Mejri,Kairouan,1511,3.6,1511,3.6,0
Mejers,Mejri,Sousse,1104,2.6,1104,2.6,0
Mejers,Mejri,Mahdia,1003,2.4,1003,2.4,0
Mejers,Mejri,Zaghouan,716,1.7,716,1.7,0
Mejers,Mejri,Kassérine,528,1.2,8,0.0,0
Mejers,Mejri,Monastir,406,1.0,406,1.0,0
Mejers,Mejri,Sfax,308,0.7,308,0.7,0
Mejers,Mejri,Sidi Bou Zid,154,0.4,57,0.1,0
Mejers,Mejri,Gabès,125,0.3,125,0.3,0
Mejers,Mejri,Médenine,85,0.2,85,0.2,0
Mejers,Mejri,Gafsa,34,0.1,34,0.1,0
Mejers,Mejri,Kebili,13,0.0,13,0.0,0
Mejers,Mejri,Tataouine,6,0.0,6,0.0,0
Mejers,Mejri,Tozeur,5,0.0,5,0.0,0
Ouled Ayar,Ayari,Tunis,11167,28.0,11167,28.0,1
Ouled Ayar,Ayari,Ben Arous,4835,12.1,4835,12.1,1
Ouled Ayar,Ayari,Ariana,4661,11.7,4661,11.7,1
Ouled Ayar,Ayari,Manubah,3457,8.7,3457,8.7,1
Ouled Ayar,Ayari,Bizerte,2788,7.0,2788,7.0,1
Ouled Ayar,Ayari,Le Kef,2667,6.7,1630,4.1,1
Ouled Ayar,Ayari,Béja,1710,4.3,1348,3.4,0
Ouled Ayar,Ayari,Nabeul,1479,3.7,1479,3.7,0
Ouled Ayar,Ayari,Siliana,1447,3.6,367,0.9,0
Ouled Ayar,Ayari,Jendouba,1397,3.5,1397,3.5,0
Ouled Ayar,Ayari,Sousse,1020,2.6,1020,2.6,0
Ouled Ayar,Ayari,Kairouan,1005,2.5,1005,2.5,0
Ouled Ayar,Ayari,Zaghouan,860,2.2,860,2.2,0
Ouled Ayar,Ayari,Monastir,723,1.8,723,1.8,0
Ouled Ayar,Ayari,Sfax,182,0.5,182,0.5,0
Ouled Ayar,Ayari,Gafsa,116,0.3,116,0.3,0
Ouled Ayar,Ayari,Médenine,96,0.2,96,0.2,0
Ouled Ayar,Ayari,Mahdia,93,0.2,93,0.2,0
Ouled Ayar,Ayari,Kassérine,80,0.2,76,0.2,0
Ouled Ayar,Ayari,Gabès,51,0.1,51,0.1,0
Ouled Ayar,Ayari,Sidi Bou Zid,32,0.1,32,0.1,0
Ouled Ayar,Ayari,Kebili,11,0.0,11,0.0,0
Ouled Ayar,Ayari,Tozeur,10,0.0,10,0.0,0
Ouled Ayar,Ayari,Tataouine,1,0.0,1,0.0,0
Zlass,Jlassi,Tunis,7558,19.6,7558,19.6,1
Zlass,Jlassi,Manubah,7010,18.2,7010,18.2,1
Zlass,Jlassi,Ben Arous,4645,12.0,4645,12.0,1
Zlass,Jlassi,Nabeul,4614,12.0,4614,12.0,1
Zlass,Jlassi,Ariana,2862,7.4,2862,7.4,1
Zlass,Jlassi,Bizerte,2039,5.3,2039,5.3,1
Zlass,Jlassi,Kairouan,1820,4.7,0,0.0,0
Zlass,Jlassi,Sousse,1473,3.8,40,0.1,0
Zlass,Jlassi,Béja,1234,3.2,1234,3.2,0
Zlass,Jlassi,Zaghouan,1179,3.1,1045,2.7,0
Zlass,Jlassi,Sfax,1057,2.7,1057,2.7,0
Zlass,Jlassi,Monastir,1030,2.7,721,1.9,0
Zlass,Jlassi,Siliana,854,2.2,427,1.1,0
Zlass,Jlassi,Jendouba,470,1.2,470,1.2,0
Zlass,Jlassi,Mahdia,232,0.6,199,0.5,0
Zlass,Jlassi,Le Kef,203,0.5,180,0.5,0
Zlass,Jlassi,Médenine,98,0.3,98,0.3,0
Zlass,Jlassi,Sidi Bou Zid,62,0.2,12,0.0,0
Zlass,Jlassi,Tataouine,49,0.1,49,0.1,0
Zlass,Jlassi,Gafsa,43,0.1,43,0.1,0
Zlass,Jlassi,Kassérine,35,0.1,21,0.1,0
Zlass,Jlassi,Gabès,30,0.1,30,0.1,0
Zlass,Jlassi,Tozeur,8,0.0,8,0.0,0
Zlass,Jlassi,Kebili,3,0.0,3,0.0,0
Riah,Riahi,Tunis,6701,17.7,4536,12.0,1
Riah,Riahi,Béja,5142,13.6,0,0.0,0
Riah,Riahi,Ben Arous,4383,11.6,3313,8.8,1
Riah,Riahi,Bizerte,3346,8.8,1483,3.9,1
Riah,Riahi,Zaghouan,3310,8.8,343,0.9,0
Riah,Riahi,Siliana,3286,8.7,16,0.0,0
Riah,Riahi,Manubah,3235,8.6,0,0.0,0
Riah,Riahi,Nabeul,2295,6.1,2295,6.1,1
Riah,Riahi,Ariana,1964,5.2,1642,4.3,1
Riah,Riahi,Kairouan,1402,3.7,1393,3.7,1
Riah,Riahi,Sousse,1347,3.6,1347,3.6,0
Riah,Riahi,Monastir,343,0.9,343,0.9,0
Riah,Riahi,Sfax,210,0.6,210,0.6,0
Riah,Riahi,Gabès,206,0.5,206,0.5,0
Riah,Riahi,Jendouba,199,0.5,151,0.4,0
Riah,Riahi,Mahdia,168,0.4,168,0.4,0
Riah,Riahi,Le Kef,93,0.2,93,0.2,0
Riah,Riahi,Médenine,71,0.2,71,0.2,0
Riah,Riahi,Gafsa,42,0.1,42,0.1,0
Riah,Riahi,Sidi Bou Zid,29,0.1,29,0.1,0
Riah,Riahi,Kassérine,22,0.1,22,0.1,0
Riah,Riahi,Kebili,15,0.0,15,0.0,0
Riah,Riahi,Tozeur,8,0.0,8,0.0,0
Riah,Riahi,Tataouine,5,0.0,5,0.0,0
Frechiche,Ferchichi,Tunis,4564,20.3,4564,20.3,1
Frechiche,Ferchichi,Ben Arous,2806,12.5,2806,12.5,1
Frechiche,Ferchichi,Manubah,2649,11.8,2649,11.8,1
Frechiche,Ferchichi,Ariana,2094,9.3,2094,9.3,1
Frechiche,Ferchichi,Le Kef,2009,8.9,1804,8.0,1
Frechiche,Ferchichi,Bizerte,1912,8.5,1912,8.5,1
Frechiche,Ferchichi,Siliana,1469,6.5,1440,6.4,0
Frechiche,Ferchichi,Béja,1030,4.6,1030,4.6,0
Frechiche,Ferchichi,Zaghouan,766,3.4,766,3.4,0
Frechiche,Ferchichi,Jendouba,695,3.1,695,3.1,0
Frechiche,Ferchichi,Nabeul,657,2.9,657,2.9,0
Frechiche,Ferchichi,Kassérine,432,1.9,1,0.0,0
Frechiche,Ferchichi,Sousse,428,1.9,428,1.9,0
Frechiche,Ferchichi,Sfax,255,1.1,255,1.1,0
Frechiche,Ferchichi,Monastir,123,0.5,123,0.5,0
Frechiche,Ferchichi,Kairouan,101,0.4,101,0.4,0
Frechiche,Ferchichi,Sidi Bou Zid,95,0.4,95,0.4,0
Frechiche,Ferchichi,Médenine,86,0.4,86,0.4,0
Frechiche,Ferchichi,Tozeur,85,0.4,85,0.4,0
Frechiche,Ferchichi,Kebili,70,0.3,70,0.3,0
Frechiche,Ferchichi,Gafsa,50,0.2,50,0.2,0
Frechiche,Ferchichi,Mahdia,47,0.2,47,0.2,0
Frechiche,Ferchichi,Gabès,40,0.2,40,0.2,0
Frechiche,Ferchichi,Tataouine,3,0.0,3,0.0,0
Ouled Aoun,Aouni,Tunis,3580,17.4,3580,17.4,1
Ouled Aoun,Aouni,Sousse,2090,10.2,2090,10.2,1
Ouled Aoun,Aouni,Ben Arous,2027,9.9,2027,9.9,1
Ouled Aoun,Aouni,Ariana,1869,9.1,1869,9.1,1
Ouled Aoun,Aouni,Sidi Bou Zid,1602,7.8,1602,7.8,1
Ouled Aoun,Aouni,Manubah,1501,7.3,1501,7.3,1
Ouled Aoun,Aouni,Médenine,1276,6.2,1276,6.2,0
Ouled Aoun,Aouni,Bizerte,1049,5.1,1049,5.1,0
Ouled Aoun,Aouni,Kairouan,951,4.6,942,4.6,0
Ouled Aoun,Aouni,Siliana,731,3.6,16,0.1,0
Ouled Aoun,Aouni,Béja,560,2.7,500,2.4,0
Ouled Aoun,Aouni,Kassérine,555,2.7,555,2.7,0
Ouled Aoun,Aouni,Nabeul,510,2.5,510,2.5,0
Ouled Aoun,Aouni,Tataouine,488,2.4,488,2.4,0
Ouled Aoun,Aouni,Monastir,462,2.2,462,2.2,0
Ouled Aoun,Aouni,Sfax,327,1.6,327,1.6,0
Ouled Aoun,Aouni,Jendouba,223,1.1,223,1.1,0
Ouled Aoun,Aouni,Mahdia,200,1.0,200,1.0,0
Ouled Aoun,Aouni,Le Kef,193,0.9,193,0.9,0
Ouled Aoun,Aouni,Zaghouan,153,0.7,152,0.7,0
Ouled Aoun,Aouni,Gafsa,74,0.4,74,0.4,0
Ouled Aoun,Aouni,Gabès,56,0.3,56,0.3,0
Ouled Aoun,Aouni,Kebili,50,0.2,50,0.2,0
Ouled Aoun,Aouni,Tozeur,14,0.1,14,0.1,0
Hamarna,Hamrouni,Sfax,2901,17.1,2901,17.1,1
Hamarna,Hamrouni,Nabeul,1967,11.6,1967,11.6,1
Hamarna,Hamrouni,Tunis,1687,9.9,1687,9.9,1
Hamarna,Hamrouni,Gabès,1348,7.9,961,5.6,0
Hamarna,Hamrouni,Mahdia,1278,7.5,1278,7.5,1
Hamarna,Hamrouni,Sousse,1212,7.1,1212,7.1,1
Hamarna,Hamrouni,Bizerte,1011,5.9,1011,5.9,1
Hamarna,Hamrouni,Ariana,959,5.6,959,5.6,0
Hamarna,Hamrouni,Ben Arous,940,5.5,940,5.5,0
Hamarna,Hamrouni,Monastir,662,3.9,662,3.9,0
Hamarna,Hamrouni,Médenine,554,3.3,360,2.1,0
Hamarna,Hamrouni,Manubah,533,3.1,533,3.1,0
Hamarna,Hamrouni,Kairouan,492,2.9,492,2.9,0
Hamarna,Hamrouni,Gafsa,321,1.9,321,1.9,0
Hamarna,Hamrouni,Tataouine,277,1.6,275,1.6,0
Hamarna,Hamrouni,Le Kef,227,1.3,227,1.3,0
Hamarna,Hamrouni,Sidi Bou Zid,150,0.9,150,0.9,0
Hamarna,Hamrouni,Tozeur,103,0.6,103,0.6,0
Hamarna,Hamrouni,Béja,99,0.6,99,0.6,0
Hamarna,Hamrouni,Kebili,80,0.5,80,0.5,0
Hamarna,Hamrouni,Zaghouan,76,0.4,76,0.4,0
Hamarna,Hamrouni,Siliana,58,0.3,58,0.3,0
Hamarna,Hamrouni,Kassérine,57,0.3,57,0.3,0
Hamarna,Hamrouni,Jendouba,21,0.1,21,0.1,0
Nefza,Nefzi,Manubah,4268,25.1,4268,25.1,1
Nefza,Nefzi,Béja,3871,22.8,1793,10.5,1
Nefza,Nefzi,Bizerte,3687,21.7,2819,16.6,1
Nefza,Nefzi,Tunis,2251,13.2,2251,13.2,1
Nefza,Nefzi,Ariana,1282,7.5,1282,7.5,1
Nefza,Nefzi,Ben Arous,823,4.8,823,4.8,1
Nefza,Nefzi,Nabeul,217,1.3,217,1.3,0
Nefza,Nefzi,Le Kef,119,0.7,119,0.7,0
Nefza,Nefzi,Monastir,109,0.6,109,0.6,0
Nefza,Nefzi,Jendouba,93,0.5,26,0.2,0
Nefza,Nefzi,Sousse,88,0.5,88,0.5,0
Nefza,Nefzi,Siliana,50,0.3,50,0.3,0
Nefza,Nefzi,Médenine,38,0.2,38,0.2,0
Nefza,Nefzi,Zaghouan,27,0.2,27,0.2,0
Nefza,Nefzi,Mahdia,25,0.1,25,0.1,0
Nefza,Nefzi,Sfax,25,0.1,25,0.1,0
Nefza,Nefzi,Kairouan,13,0.1,13,0.1,0
Nefza,Nefzi,Kassérine,6,0.0,6,0.0,0
Nefza,Nefzi,Gabès,6,0.0,6,0.0,0
Nefza,Nefzi,Kebili,4,0.0,4,0.0,0
Nefza,Nefzi,Tozeur,3,0.0,3,0.0,0
Nefza,Nefzi,Sidi Bou Zid,2,0.0,2,0.0,0
Nefza,Nefzi,Tataouine,1,0.0,1,0.0,0
Nefza,Nefzi,Gafsa,1,0.0,1,0.0,0
Kroumirs,Khemiri,Jendouba,4997,29.9,1590,9.5,1
Kroumirs,Khemiri,Tunis,2460,14.7,2460,14.7,1
Kroumirs,Khemiri,Béja,1578,9.4,1501,9.0,1
Kroumirs,Khemiri,Ariana,1229,7.4,1229,7.4,1
Kroumirs,Khemiri,Manubah,1139,6.8,1139,6.8,1
Kroumirs,Khemiri,Ben Arous,990,5.9,990,5.9,1
Kroumirs,Khemiri,Bizerte,709,4.2,709,4.2,0
Kroumirs,Khemiri,Nabeul,653,3.9,653,3.9,0
Kroumirs,Khemiri,Mahdia,517,3.1,517,3.1,0
Kroumirs,Khemiri,Kassérine,479,2.9,479,2.9,0
Kroumirs,Khemiri,Sidi Bou Zid,465,2.8,465,2.8,0
Kroumirs,Khemiri,Sousse,418,2.5,418,2.5,0
Kroumirs,Khemiri,Sfax,274,1.6,274,1.6,0
Kroumirs,Khemiri,Le Kef,252,1.5,252,1.5,0
Kroumirs,Khemiri,Zaghouan,180,1.1,180,1.1,0
Kroumirs,Khemiri,Monastir,118,0.7,118,0.7,0
Kroumirs,Khemiri,Siliana,104,0.6,104,0.6,0
Kroumirs,Khemiri,Médenine,47,0.3,47,0.3,0
Kroumirs,Khemiri,Gafsa,35,0.2,35,0.2,0
Kroumirs,Khemiri,Kairouan,30,0.2,30,0.2,0
Kroumirs,Khemiri,Gabès,15,0.1,15,0.1,0
Kroumirs,Khemiri,Tozeur,9,0.1,9,0.1,0
Kroumirs,Khemiri,Tataouine,3,0.0,3,0.0,0
Kroumirs,Khemiri,Kebili,1,0.0,1,0.0,0
Charen,Charni,Le Kef,7977,47.8,459,2.7,0
Charen,Charni,Tunis,2712,16.2,2712,16.2,1
Charen,Charni,Ariana,1366,8.2,1366,8.2,1
Charen,Charni,Ben Arous,1003,6.0,1003,6.0,1
Charen,Charni,Manubah,957,5.7,957,5.7,1
Charen,Charni,Jendouba,860,5.1,724,4.3,1
Charen,Charni,Bizerte,514,3.1,514,3.1,1
Charen,Charni,Nabeul,338,2.0,338,2.0,0
Charen,Charni,Sousse,189,1.1,189,1.1,0
Charen,Charni,Sfax,189,1.1,189,1.1,0
Charen,Charni,Siliana,180,1.1,180,1.1,0
Charen,Charni,Béja,137,0.8,137,0.8,0
Charen,Charni,Monastir,102,0.6,102,0.6,0
Charen,Charni,Médenine,52,0.3,52,0.3,0
Charen,Charni,Gafsa,25,0.1,25,0.1,0
Charen,Charni,Zaghouan,18,0.1,18,0.1,0
Charen,Charni,Kassérine,18,0.1,18,0.1,0
Charen,Charni,Gabès,18,0.1,18,0.1,0
Charen,Charni,Kairouan,16,0.1,16,0.1,0
Charen,Charni,Mahdia,12,0.1,12,0.1,0
Charen,Charni,Sidi Bou Zid,9,0.1,9,0.1,0
Charen,Charni,Tataouine,4,0.0,4,0.0,0
Charen,Charni,Tozeur,2,0.0,2,0.0,0
Charen,Charni,Kebili,2,0.0,2,0.0,0
Djendouba,Jendoubi,Tunis,3692,22.5,3692,22.5,1
Djendouba,Jendoubi,Manubah,3339,20.4,3339,20.4,1
Djendouba,Jendoubi,Bizerte,1758,10.7,1758,10.7,1
Djendouba,Jendoubi,Ariana,1509,9.2,1509,9.2,1
Djendouba,Jendoubi,Ben Arous,1411,8.6,1411,8.6,1
Djendouba,Jendoubi,Nabeul,1160,7.1,1160,7.1,1
Djendouba,Jendoubi,Le Kef,948,5.8,814,5.0,0
Djendouba,Jendoubi,Béja,818,5.0,441,2.7,0
Djendouba,Jendoubi,Jendouba,528,3.2,54,0.3,0
Djendouba,Jendoubi,Siliana,410,2.5,292,1.8,0
Djendouba,Jendoubi,Sousse,169,1.0,169,1.0,0
Djendouba,Jendoubi,Mahdia,168,1.0,168,1.0,0
Djendouba,Jendoubi,Monastir,131,0.8,131,0.8,0
Djendouba,Jendoubi,Kairouan,94,0.6,94,0.6,0
Djendouba,Jendoubi,Sfax,78,0.5,78,0.5,0
Djendouba,Jendoubi,Zaghouan,57,0.3,57,0.3,0
Djendouba,Jendoubi,Médenine,41,0.3,41,0.3,0
Djendouba,Jendoubi,Gafsa,36,0.2,36,0.2,0
Djendouba,Jendoubi,Gabès,16,0.1,16,0.1,0
Djendouba,Jendoubi,Kassérine,7,0.0,7,0.0,0
Djendouba,Jendoubi,Sidi Bou Zid,7,0.0,7,0.0,0
Djendouba,Jendoubi,Kebili,3,0.0,3,0.0,0
Djendouba,Jendoubi,Tataouine,2,0.0,2,0.0,0
Djendouba,Jendoubi,Tozeur,1,0.0,1,0.0,0
Souassi,Souissi,Sfax,2283,14.1,2283,14.1,1
Souassi,Souissi,Nabeul,2231,13.8,2231,13.8,1
Souassi,Souissi,Tunis,1235,7.6,1235,7.6,1
Souassi,Souissi,Sidi Bou Zid,1148,7.1,1148,7.1,1
Souassi,Souissi,Monastir,1115,6.9,831,5.1,0
Souassi,Souissi,Médenine,905,5.6,905,5.6,1
Souassi,Souissi,Ben Arous,865,5.4,865,5.4,1
Souassi,Souissi,Kairouan,785,4.9,508,3.1,0
Souassi,Souissi,Gabès,628,3.9,628,3.9,0
Souassi,Souissi,Kassérine,618,3.8,618,3.8,0
Souassi,Souissi,Sousse,589,3.6,4,0.0,0
Souassi,Souissi,Jendouba,579,3.6,579,3.6,0
Souassi,Souissi,Bizerte,555,3.4,555,3.4,0
Souassi,Souissi,Béja,467,2.9,467,2.9,0
Souassi,Souissi,Ariana,445,2.8,445,2.8,0
Souassi,Souissi,Manubah,342,2.1,342,2.1,0
Souassi,Souissi,Zaghouan,322,2.0,21,0.1,0
Souassi,Souissi,Kebili,237,1.5,237,1.5,0
Souassi,Souissi,Mahdia,179,1.1,33,0.2,0
Souassi,Souissi,Siliana,173,1.1,173,1.1,0
Souassi,Souissi,Tozeur,158,1.0,158,1.0,0
Souassi,Souissi,Gafsa,141,0.9,141,0.9,0
Souassi,Souissi,Tataouine,93,0.6,93,0.6,0
Souassi,Souissi,Le Kef,66,0.4,66,0.4,0
M'Talith,Methlouthi,Nabeul,3457,22.7,3457,22.7,1
M'Talith,Methlouthi,Bizerte,2391,15.7,2391,15.7,1
M'Talith,Methlouthi,Sousse,2274,15.0,2273,14.9,1
M'Talith,Methlouthi,Tunis,2009,13.2,2009,13.2,1
M'Talith,Methlouthi,Ariana,1348,8.9,1348,8.9,1
M'Talith,Methlouthi,Ben Arous,1292,8.5,1292,8.5,1
M'Talith,Methlouthi,Sfax,735,4.8,200,1.3,0
M'Talith,Methlouthi,Manubah,667,4.4,667,4.4,0
M'Talith,Methlouthi,Mahdia,287,1.9,278,1.8,0
M'Talith,Methlouthi,Monastir,191,1.3,191,1.3,0
M'Talith,Methlouthi,Kairouan,149,1.0,139,0.9,0
M'Talith,Methlouthi,Béja,113,0.7,113,0.7,0
M'Talith,Methlouthi,Médenine,108,0.7,108,0.7,0
M'Talith,Methlouthi,Zaghouan,56,0.4,56,0.4,0
M'Talith,Methlouthi,Sidi Bou Zid,31,0.2,31,0.2,0
M'Talith,Methlouthi,Jendouba,20,0.1,20,0.1,0
M'Talith,Methlouthi,Kassérine,18,0.1,18,0.1,0
M'Talith,Methlouthi,Tozeur,16,0.1,16,0.1,0
M'Talith,Methlouthi,Gabès,13,0.1,13,0.1,0
M'Talith,Methlouthi,Gafsa,13,0.1,13,0.1,0
M'Talith,Methlouthi,Le Kef,11,0.1,11,0.1,0
M'Talith,Methlouthi,Siliana,9,0.1,9,0.1,0
M'Talith,Methlouthi,Tataouine,1,0.0,1,0.0,0
Ouled Soltan,Soltani,Jendouba,4579,30.4,190,1.3,0
Ouled Soltan,Soltani,Tunis,2085,13.9,2085,13.9,1
Ouled Soltan,Soltani,Ben Arous,1528,10.2,1528,10.2,1
Ouled Soltan,Soltani,Kassérine,1318,8.8,1318,8.8,1
Ouled Soltan,Soltani,Le Kef,1232,8.2,1232,8.2,1
Ouled Soltan,Soltani,Ariana,1032,6.9,1032,6.9,1
Ouled Soltan,Soltani,Nabeul,630,4.2,630,4.2,1
Ouled Soltan,Soltani,Manubah,518,3.4,518,3.4,0
Ouled Soltan,Soltani,Kairouan,366,2.4,366,2.4,0
Ouled Soltan,Soltani,Béja,343,2.3,343,2.3,0
Ouled Soltan,Soltani,Sidi Bou Zid,314,2.1,314,2.1,0
Ouled Soltan,Soltani,Sousse,286,1.9,286,1.9,0
Ouled Soltan,Soltani,Sfax,177,1.2,177,1.2,0
Ouled Soltan,Soltani,Bizerte,161,1.1,161,1.1,0
Ouled Soltan,Soltani,Tataouine,104,0.7,104,0.7,0
Ouled Soltan,Soltani,Médenine,97,0.6,97,0.6,0
Ouled Soltan,Soltani,Monastir,88,0.6,88,0.6,0
Ouled Soltan,Soltani,Siliana,70,0.5,70,0.5,0
Ouled Soltan,Soltani,Gafsa,55,0.4,55,0.4,0
Ouled Soltan,Soltani,Gabès,34,0.2,34,0.2,0
Ouled Soltan,Soltani,Mahdia,13,0.1,13,0.1,0
