adm3_pcode,governorate_name,delegation_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN2253,Jendouba,Bousalem,35,12,34.3,7,58.3,32.0,80.7,7,58.3,7,0,0,7,0,0,58.3,0.0,0.0,0
TN2254,Jendouba,Tabarka,47,22,46.8,12,54.5,34.7,73.1,15,68.2,14,0,1,12,0,1,54.5,0.0,4.5,0
TN2255,Jendouba,Aïn Draham,41,15,36.6,10,66.7,41.7,84.8,11,73.3,10,0,1,10,0,1,66.7,0.0,6.7,2
TN2256,Jendouba,Fernana,49,21,42.9,17,81.0,60.0,92.3,23,109.5,23,0,0,17,0,0,81.0,0.0,0.0,0
TN2257,Jendouba,Ghardimaou,62,19,30.6,14,73.7,51.2,88.2,18,94.7,18,0,0,14,0,0,73.7,0.0,0.0,0
TN2258,Jendouba,Oued Mliz,18,9,50.0,9,100.0,70.1,100.0,10,111.1,10,0,0,9,0,0,100.0,0.0,0.0,0
TN2259,Jendouba,Balta Bou Aouane,33,10,30.3,5,50.0,23.7,76.3,5,50.0,5,0,0,5,0,0,50.0,0.0,0.0,0
TN2351,Le Kef,Kef Ouest,27,12,44.4,10,83.3,55.2,95.3,10,83.3,10,0,0,10,0,0,83.3,0.0,0.0,0
TN2352,Le Kef,Kef Est,39,14,35.9,11,78.6,52.4,92.4,13,92.9,12,0,1,11,0,1,78.6,0.0,7.1,0
TN2353,Le Kef,Nebeur,33,11,33.3,10,90.9,62.3,98.4,10,90.9,10,0,0,10,0,0,90.9,0.0,0.0,0
TN2354,Le Kef,Sakiet Sidi Youssef,23,10,43.5,10,100.0,72.2,100.0,10,100.0,10,0,0,10,0,0,100.0,0.0,0.0,0
TN2355,Le Kef,Tajerouine,34,15,44.1,13,86.7,62.1,96.3,14,93.3,14,0,0,13,0,0,86.7,0.0,0.0,0
TN2356,Le Kef,Kalaat Senan,22,11,50.0,11,100.0,74.1,100.0,11,100.0,11,0,0,11,0,0,100.0,0.0,0.0,0
TN2357,Le Kef,Kalaa Khesba,8,2,25.0,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN2358,Le Kef,Jerissa,14,7,50.0,4,57.1,25.0,84.2,5,71.4,4,0,1,4,0,1,57.1,0.0,14.3,0
TN2359,Le Kef,Ksour,20,9,45.0,6,66.7,35.4,87.9,6,66.7,6,0,0,6,0,0,66.7,0.0,0.0,0
TN2360,Le Kef,Dahmani,33,13,39.4,11,84.6,57.8,95.7,13,100.0,12,0,1,11,0,1,84.6,0.0,7.7,1
TN2361,Le Kef,Es Sers,23,8,34.8,5,62.5,30.6,86.3,5,62.5,4,0,1,4,0,1,50.0,0.0,12.5,0
TN2451,Siliana,Siliana Nord,35,16,45.7,13,81.2,57.0,93.4,16,100.0,16,0,0,13,0,0,81.2,0.0,0.0,0
TN2452,Siliana,Siliana Sud,38,12,31.6,7,58.3,32.0,80.7,8,66.7,8,0,0,7,0,0,58.3,0.0,0.0,0
TN2453,Siliana,Bouarada,21,9,42.9,3,33.3,12.1,64.6,3,33.3,3,0,0,3,0,0,33.3,0.0,0.0,0
TN2454,Siliana,Gaafour,18,8,44.4,8,100.0,67.6,100.0,8,100.0,8,0,0,8,0,0,100.0,0.0,0.0,0
TN2455,Siliana,El Krib,21,10,47.6,7,70.0,39.7,89.2,8,80.0,8,0,0,7,0,0,70.0,0.0,0.0,0
TN2456,Siliana,Bourouis,15,5,33.3,1,20.0,3.6,62.4,1,20.0,1,0,0,1,0,0,20.0,0.0,0.0,0
TN2457,Siliana,Makthar,31,9,29.0,7,77.8,45.3,93.7,8,88.9,8,0,0,7,0,0,77.8,0.0,0.0,0
TN2458,Siliana,Rouhia,32,16,50.0,9,56.2,33.2,76.9,10,62.5,10,0,0,9,0,0,56.2,0.0,0.0,0
TN2459,Siliana,Kesra,19,8,42.1,7,87.5,52.9,97.8,9,112.5,9,0,0,7,0,0,87.5,0.0,0.0,2
