election,doc_type,collection,scope,governorate,delegation,constituency,sector,polling_centre,bureau_folder,bureau_code,filename,file_ext,file_url,path
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310201,03010310201.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310201.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310201.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310202,03010310202.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310202.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310202.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310203,03010310203.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310203.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310203.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310204,03010310204.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310204.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310204.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310205,03010310205.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310205.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310205.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310206,03010310206.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310206.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310206.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310207,03010310207.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310207.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310207.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310208,03010310208.pdf,pdf,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310208.pdf,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310208.pdf
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,م إبتدائية سيدي الجبالي -أريانة المدينة,,03010310209,03010310209.pdf,pdf,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310209.pdf,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/م إبتدائية سيدي الجبالي -أريانة المدينة/03010310209.pdf
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي التعمير 1 أريانة,,03010410101,03010410101.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410101.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410101.JPG
