governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
القريوان,القريوان,العلاء,صيادة الشمالية,م إبتدائية الغرابة - صيادة الشمالية,E.P.EL GHRABA - SAYADA NORD,3005,القيروان,38
القريوان,القريوان,العلاء,صيادة الشمالية,م إبتدائية المعمرية - صيادة الشمالية,E.P.MAAMRIA - SAYADA NORD,3006,القيروان,38
القريوان,القريوان,العلاء,طرزة الشمالية,م إبتدائية العريبة - طرزة الشمالية,E.P.ARIBA TROZZA NORD,3007,القيروان,38
القريوان,القريوان,العلاء,طرزة الشمالية,م إبتدائية طرزة الشمالية,E.P.TROZZA NORD,3008,القيروان,38
القريوان,القريوان,العلاء,مسيوتة النقاز,م إبتدائية البحرية - مسيوتة النقاز,E.P.BAHIRA MESSIOUTA ENNAGAZ,3009,القيروان,38
القريوان,القريوان,العلاء,مسيوتة النقاز,م إبتدائية النقاز - مسيوتة النقاز,E.P.ENNAGGUEZ,3010,القيروان,38
القريوان,القريوان,العلاء,مسيوتة النقاز,م إبتدائية مصــراطة - مسيوتة النقاز,E.P.MOSRATA - ENNAGGUEZ,3011,القيروان,38
القريوان,القريوان,العلاء,مسيوتة الهناشري,م إبتدائية الهناشري,E.P.HENACHIR,3012,القيروان,38
القريوان,القريوان,القريوان الجنوبية,التبان,م إبتدائية التبان 1,E.P.TABBENE 1,3013,القيروان,38
القريوان,القريوان,القريوان الجنوبية,التبان,م إبتدائية التبان 2,E.P.TABBENE 2,3014,القيروان,39
القريوان,القريوان,القريوان الجنوبية,الحمام,م إبتدائية الحمام-القريوان الجنوبية,E.P.EL HAMMAM,3015,القيروان,39
القريوان,القريوان,القريوان الجنوبية,الحمام,ر م إبتدائية هنشري بيس - الحمام,E.P.HENCHIR BICHI EL HAMMAM,3016,القيروان,39
القريوان,القريوان,القريوان الجنوبية,الخزازية,م إبتدائية الحنباز - الخزازية,E.P.HAMBEZE KHAZAZIA,3017,القيروان,39
القريوان,القريوان,القريوان الجنوبية,الخزازية,م إبتدائية عري الخزازية,E.P.AIN KHAZAZIA,3018,القيروان,39
القريوان,القريوان,القريوان الجنوبية,الخضاء,م إبتدائية الخضاء-القريوان الجنوبية,E.P.KHADHRA,3019,القيروان,39
القريوان,القريوان,القريوان الجنوبية,القبلية الجنوبية,م إبتدائية التطبيقية الطيب المهريي - القبلية الجنوبية,E.P.RUE  T.M'HIRI KEBLIA NORD,3020,القيروان,39
القريوان,القريوان,القريوان الجنوبية,القبلية الجنوبية,م إبتدائية التطبيقية طارق ابن زياد - القبلية الجنوبية,E.P.TAREK IBN ZIAD KEBLIA SUD,3021,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المخصومة,م إبتدائية المخصومة,E.P.MAKHSOUMA,3022,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المنصورة الجنوبية,م إبتدائية 41 جانف ابن الجزار 2 - المنصورة الجنوبية,E.P.IBN JAZAR 2 MANSOURA SUD,3023,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المنصورة الجنوبية,م إبتدائية 2مارس 43 القريوان - المنصورة الجنوبية,E.P.2 MARS 34 KAIROUAN MANSOURA SUD,3024,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المنصورة الجنوبية,م إبتدائية التطبيقيــة اليبية - المنصورة الجنوبية,E.P.ET TARBIA MANSOURA NORD,3025,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المنصورة الجنوبية,م إبتدائية ص ية - المنصورة الجنوبية,E.P.SABRA MANSOURA SUD,3026,القيروان,39
القريوان,القريوان,القريوان الجنوبية,المنصورة الشمالية,م إبتدائية المنصورة - المنصورة الشمالية,E.P.EL  MANSOURA NORD,3027,القيروان,39
القيوان ر,القيوان ر,القيوان الجنوبية ر,المنصورة الشمالية,م إبتدائية ح السلام - المنصورة الشمالية,E.P.CITE ESSALEM MANSOURA NORD,3028,القيروان,39
القيوان ر,القيوان ر,القيوان الجنوبية ر,المنصورة الشمالية,م إبتدائية ح النض - المنصورة الشمالية,E.P.CITE ENNASR MANSOURA NORD,3029,القيروان,39
القيوان ر,القيوان ر,القيوان الجنوبية ر,النبش,م إبتدائية القواسم - النبش,E.P.EL GOUASSEM NABACH,3030,القيروان,39
القيوان ر,القيوان ر,القيوان الجنوبية ر,النبش,م إبتدائية النبش,E.P.NABACH,3031,القيروان,39
القريوان,القريوان,القريوان الجنوبية,أولاد نهار,م إبتدائية أولاد نهار,E.P.OULED NHAR,3032,القيروان,39
القريوان,القريوان,القريوان الجنوبية,بريكات العرقوب,م إبتدائية بريكات العرقوب,E.P.BRIKET EL ARGOUB,3033,القيروان,39
القريوان,القريوان,القريوان الجنوبية,رقادة,م إبتدائية رقادة,E.P.RAKADA,3034,القيروان,39
القريوان,القريوان,القريوان الجنوبية,زرود,م إبتدائية الإمام سحنون - زرود,E.P.EL IMEM SAHNOUN  ZROUD,3035,القيروان,39
القريوان,القريوان,القريوان الجنوبية,زرود,ر م إبتدائية الشقية - زرود,E.P.CHARKIA  ZROUD,3036,القيروان,39
