adm4_pcode,imada_name,imada_name_ar,adm3_pcode,delegation_name,governorate_name,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN115356,Taieb El M'Hiri,الطيب المهيري,TN1153,Bab Bhar,Tunis,North East,36.8189981,10.17989078,0.32764006,1,1,120,59,58,0,1,1,120,59,46,79.3103,62.0690,10,17.2414,-62.0690,2,3.4483,-75.8621,58,saied,zammel,62.0690,49.1667,100.0000
TN115357,Hedi Chaker,الهادي شاكر,TN1153,Bab Bhar,Tunis,North East,36.81151734,10.17697164,0.3691944,3,3,3434,739,714,6,19,3,3434,739,630,88.2353,78.9916,66,9.2437,-78.9916,18,2.5210,-85.7143,714,saied,zammel,78.9916,21.5201,100.0000
TN115358,Sidi El Bahri,سيدي البحري,TN1153,Bab Bhar,Tunis,North East,36.80760816,10.17612119,0.13253454,5,5,5681,1362,1274,19,69,5,5681,1362,1117,87.6766,78.0220,123,9.6546,-78.0220,34,2.6688,-85.0078,1274,saied,zammel,78.0220,23.9747,100.0000
TN115451,Tronja,ترنجة,TN1154,Bab Souika,Tunis,North East,36.80400639,10.1739197,0.10705854,7,7,8407,2086,1967,27,92,7,8407,2086,1730,87.9512,77.7834,200,10.1678,-77.7834,37,1.8810,-86.0702,1967,saied,zammel,77.7834,24.8127,100.0000
TN115452,Bab El Khadra,باب الخضراء,TN1154,Bab Souika,Tunis,North East,36.81035211,10.17128434,0.1780003,10,10,10529,2022,1919,29,74,10,10529,2022,1684,87.7540,77.8530,190,9.9010,-77.8530,45,2.3450,-85.4091,1919,saied,zammel,77.8530,19.2041,100.0000
TN115453,Bab Saadoun,باب سعدون,TN1154,Bab Souika,Tunis,North East,36.80636125,10.16298983,0.0972189,5,5,5369,1251,1195,15,41,5,5369,1251,1068,89.3724,80.8368,102,8.5356,-80.8368,25,2.0921,-87.2803,1195,saied,zammel,80.8368,23.3004,100.0000
TN115454,Borj Zouara,برج زوارة,TN1154,Bab Souika,Tunis,North East,36.8042863,10.15660951,1.07320465,1,1,683,200,186,3,11,1,683,200,171,91.9355,86.5591,10,5.3763,-86.5591,5,2.6882,-89.2473,186,saied,zammel,86.5591,29.2826,100.0000
TN115455,Bab El Assel,باب العسل,TN1154,Bab Souika,Tunis,North East,36.81125229,10.16693041,0.18038845,1,1,576,58,57,0,1,1,576,58,50,87.7193,77.1930,6,10.5263,-77.1930,1,1.7544,-85.9649,57,saied,zammel,77.1930,10.0694,100.0000
TN115456,El Halfaouine,الحلفاوين,TN1154,Bab Souika,Tunis,North East,36.80739392,10.1656311,0.12365031,7,7,7967,1943,1817,39,87,7,7967,1943,1560,85.8558,73.9681,216,11.8877,-73.9681,41,2.2565,-83.5993,1817,saied,zammel,73.9681,24.3881,100.0000
TN115458,Bab Sidi Abdessalem,باب سيدي عبد السلام,TN1154,Bab Souika,Tunis,North East,36.80936072,10.16487347,0.07799977,1,1,730,40,37,1,2,1,730,40,32,86.4865,72.9730,5,13.5135,-72.9730,0,0.0000,-86.4865,37,saied,zammel,72.9730,5.4795,100.0000
TN115459,Zaouiet El Bekria,الزاوية البكرية,TN1154,Bab Souika,Tunis,North East,36.80835493,10.16147958,0.07478217,1,1,332,74,70,2,2,1,332,74,63,90.0000,81.4286,6,8.5714,-81.4286,1,1.4286,-88.5714,70,saied,zammel,81.4286,22.2892,100.0000
TN115460,Hammam El Rmimi,حمام الرميمي,TN1154,Bab Souika,Tunis,North East,36.80694269,10.17252143,0.09437518,1,1,575,49,47,2,0,1,575,49,45,95.7447,93.6170,1,2.1277,-93.6170,1,2.1277,-93.6170,47,saied,maghzaoui,93.6170,8.5217,100.0000
TN115461,Sidi Djebali,سيدي الجبالي,TN1154,Bab Souika,Tunis,North East,36.80447103,10.16558483,0.08788388,1,1,268,55,52,1,2,1,268,55,47,90.3846,82.6923,4,7.6923,-82.6923,1,1.9231,-88.4615,52,saied,zammel,82.6923,20.5224,100.0000
TN115551,El Omrane,العمران,TN1155,Omrane,Tunis,North East,36.81500293,10.16763181,1.43792419,10,10,10434,1730,1630,30,70,10,10434,1730,1309,80.3067,63.1902,279,17.1166,-63.1902,42,2.5767,-77.7301,1630,saied,zammel,63.1902,16.5804,100.0000
TN115552,Djebel El Ahmar,الجبل الأحمر,TN1155,Omrane,Tunis,North East,36.8217571,10.1607387,0.08527928,6,6,7175,735,687,8,40,6,7175,735,659,95.9243,93.4498,17,2.4745,-93.4498,11,1.6012,-94.3231,687,saied,zammel,93.4498,10.2439,100.0000
TN115553,Cite Des Oliviers,حي الزياتين,TN1155,Omrane,Tunis,North East,36.82391336,10.15740818,1.09466706,7,7,7976,2633,2452,41,140,7,7976,2633,2324,94.7798,90.8646,96,3.9152,-90.8646,32,1.3051,-93.4747,2452,saied,zammel,90.8646,33.0115,100.0000
TN115554,Ras Tabia,رأس الطابية,TN1155,Omrane,Tunis,North East,36.82003785,10.14523757,1.02576609,5,5,4775,1591,1502,32,57,5,4775,1591,1206,80.2929,64.4474,238,15.8455,-64.4474,58,3.8615,-76.4314,1502,saied,zammel,64.4474,33.3194,100.0000
TN115555,Bir Atig,بئر عتيق,TN1155,Omrane,Tunis,North East,36.81902236,10.15401277,0.71252278,3,3,2725,1223,1170,13,40,3,2725,1223,1097,93.7607,89.2308,53,4.5299,-89.2308,20,1.7094,-92.0513,1170,saied,zammel,89.2308,44.8807,100.0000
TN115556,Oued El Sebai,وادي السبعي,TN1155,Omrane,Tunis,North East,36.82487603,10.16464096,0.60558349,3,3,2716,1142,1067,8,67,3,2716,1142,1005,94.1893,90.1593,43,4.0300,-90.1593,19,1.7807,-92.4086,1067,saied,zammel,90.1593,42.0471,100.0000
TN115651,Cite Ibn Khaldoun I,حي بن خلدون الأول,TN1156,Omrane Supérieur,Tunis,North East,36.82802848,10.13993893,0.3493791,5,5,5619,1753,1664,25,64,5,5619,1753,1516,91.1058,83.7740,122,7.3317,-83.7740,26,1.5625,-89.5433,1664,saied,zammel,83.7740,31.1977,100.0000
TN115652,El Romana,الرمانة,TN1156,Omrane Supérieur,Tunis,North East,36.82480533,10.14153678,0.22359809,7,7,8576,2058,1968,20,70,7,8576,2058,1773,90.0915,81.9614,160,8.1301,-81.9614,35,1.7785,-88.3130,1968,saied,zammel,81.9614,23.9972,100.0000
TN115653,Cite Ibn Khaldoun II,حي بن خلدون الثاني,TN1156,Omrane Supérieur,Tunis,North East,36.83139898,10.13753781,0.34696291,1,1,923,394,382,2,10,1,923,394,350,91.6230,84.8168,26,6.8063,-84.8168,6,1.5707,-90.0524,382,saied,zammel,84.8168,42.6869,100.0000
TN115654,Cite Ibn Khaldoun VI,حي بن خلدون السادس,TN1156,Omrane Supérieur,Tunis,North East,36.83602709,10.12542616,0.19057141,1,1,772,278,263,6,9,1,772,278,242,92.0152,85.5513,17,6.4639,-85.5513,4,1.5209,-90.4943,263,saied,zammel,85.5513,36.0104,100.0000
TN115655,Cite El Intilaka,حي الإنطلاقة,TN1156,Omrane Supérieur,Tunis,North East,36.84029697,10.12024397,0.51313878,8,8,8831,2374,2465,25,79,7,7765,2374,2275,92.2921,86.0446,154,6.2475,-86.0446,36,1.4604,-90.8316,2465,saied,zammel,86.0446,30.5731,87.5000
TN115656,El Omrane Superieur,العمران الأعلى,TN1156,Omrane Supérieur,Tunis,North East,36.84161408,10.13018813,0.54771492,8,8,8163,3145,3010,38,97,7,8163,2773,2618,86.9767,76.6445,311,10.3322,-76.6445,81,2.6910,-84.2857,3010,saied,zammel,76.6445,33.9704,87.5000
TN115657,El Nassim,النسيم,TN1156,Omrane Supérieur,Tunis,North East,36.84164868,10.12537483,0.3813824,3,3,2898,1222,1168,11,43,3,2898,1222,1034,88.5274,78.0822,122,10.4452,-78.0822,12,1.0274,-87.5000,1168,saied,zammel,78.0822,42.1670,100.0000
TN115658,Ahmed Tlili,أحمد التليلي,TN1156,Omrane Supérieur,Tunis,North East,36.83212114,10.1325525,0.2902065,3,3,3769,1347,1290,13,44,3,3769,1347,1170,90.6977,82.9457,100,7.7519,-82.9457,20,1.5504,-89.1473,1290,saied,zammel,82.9457,35.7389,100.0000
TN115659,Es-Sadique,الصديق,TN1156,Omrane Supérieur,Tunis,North East,36.83134745,10.12687083,0.39656512,2,2,1607,554,536,7,11,2,1607,554,478,89.1791,80.4104,47,8.7687,-80.4104,11,2.0522,-87.1269,536,saied,zammel,80.4104,34.4742,100.0000
TN115751,Ettahrir (1),التحرير الأول,TN1157,El Tahrir,Tunis,North East,36.82358794,10.12425026,0.25343213,6,6,4400,1579,1513,22,44,4,4268,1125,1300,85.9220,73.7607,184,12.1613,-73.7607,29,1.9167,-84.0053,1513,saied,zammel,73.7607,26.3590,66.6667
TN115752,Ettahrir (2),التحرير الثاني,TN1157,El Tahrir,Tunis,North East,36.82945233,10.12317104,0.37822677,2,2,2053,837,785,17,35,2,2053,837,668,85.0955,73.6306,90,11.4650,-73.6306,27,3.4395,-81.6561,785,saied,zammel,73.6306,40.7696,100.0000
TN115753,Ettahrir (3),التحرير الثالث,TN1157,El Tahrir,Tunis,North East,36.82417508,10.12921491,0.31650545,1,1,600,283,281,0,2,1,600,283,248,88.2562,77.5801,30,10.6762,-77.5801,3,1.0676,-87.1886,281,saied,zammel,77.5801,47.1667,100.0000
TN115754,Ettahrir Superieur,التحرير العلوي,TN1157,El Tahrir,Tunis,North East,36.83363443,10.12076768,0.23288008,3,3,3071,1054,1000,17,37,3,3071,1054,872,87.2000,76.4000,108,10.8000,-76.4000,20,2.0000,-85.2000,1000,saied,zammel,76.4000,34.3211,100.0000
TN115755,El Hadika,الحديقة,TN1157,El Tahrir,Tunis,North East,36.82248869,10.13340117,0.49723918,2,2,1481,380,366,2,12,2,1481,380,316,86.3388,75.6831,39,10.6557,-75.6831,11,3.0055,-83.3333,366,saied,zammel,75.6831,25.6583,100.0000
TN115852,El Menzah,المنزه,TN1158,El Menzah,Tunis,North East,36.84044567,10.17568488,1.00907567,9,9,9395,2648,2482,78,88,9,9395,2648,1407,56.6882,18.4932,948,38.1950,-18.4932,127,5.1168,-51.5713,2482,saied,zammel,18.4932,28.1852,100.0000
TN115853,El Fath,الفتح,TN1158,El Menzah,Tunis,North East,36.84591329,10.13718597,1.49402603,1,1,1294,474,447,8,19,1,1294,474,384,85.9060,72.4832,60,13.4228,-72.4832,3,0.6711,-85.2349,447,saied,zammel,72.4832,36.6306,100.0000
TN115854,El Manar,المنار,TN1158,El Menzah,Tunis,North East,36.84406614,10.15389817,3.03986708,15,15,15630,5313,4991,119,203,15,15630,5313,2970,59.5071,24.6644,1739,34.8427,-24.6644,282,5.6502,-53.8569,4991,saied,zammel,24.6644,33.9923,100.0000
TN115855,El Manar (1),المنار1,TN1158,El Menzah,Tunis,North East,36.83355572,10.1470849,1.55944313,5,5,4873,1940,1818,55,67,4,4873,1506,1190,65.4565,36.0836,534,29.3729,-36.0836,94,5.1705,-60.2860,1818,saied,zammel,36.0836,30.9050,80.0000
TN115951,Cite El Khadra,حي الخضراء,TN1159,Cité El Khadra,Tunis,North East,36.83219421,10.19273699,0.29060954,13,13,14494,4118,3896,50,172,13,14494,4118,3133,80.4158,64.1940,632,16.2218,-64.1940,131,3.3624,-77.0534,3896,saied,zammel,64.1940,28.4118,100.0000
TN115952,Cite Jardin,حي الحدائق,TN1159,Cité El Khadra,Tunis,North East,36.82639368,10.183997,0.90367531,3,3,3229,1232,1168,31,33,3,3229,1232,909,77.8253,58.3048,228,19.5205,-58.3048,31,2.6541,-75.1712,1168,saied,zammel,58.3048,38.1542,100.0000
TN115953,Ech-Charguia,الشرقية,TN1159,Cité El Khadra,Tunis,North East,36.84785783,10.22514763,10.54715723,1,1,331,85,84,0,1,1,331,85,79,94.0476,90.4762,3,3.5714,-90.4762,2,2.3810,-91.6667,84,saied,zammel,90.4762,25.6798,100.0000
TN115954,Khereiddine Pacha,خير الدين باشا,TN1159,Cité El Khadra,Tunis,North East,36.82083727,10.18978401,1.20461256,1,1,416,179,173,3,3,1,416,179,153,88.4393,77.4566,19,10.9827,-77.4566,1,0.5780,-87.8613,173,saied,zammel,77.4566,43.0288,100.0000
TN115956,Farhat Hached,فرحات حشاد,TN1159,Cité El Khadra,Tunis,North East,36.82998436,10.19712417,0.6713179,3,3,3673,1292,1230,14,48,3,3673,1292,1060,86.1789,74.3089,146,11.8699,-74.3089,24,1.9512,-84.2276,1230,saied,zammel,74.3089,35.1756,100.0000
TN115957,El Bouhaira,البحيرة,TN1159,Cité El Khadra,Tunis,North East,36.82341429,10.23153519,19.92424718,4,4,4316,1385,1311,31,43,4,4316,1385,602,45.9191,-2.5934,636,48.5126,2.5934,73,5.5683,-42.9443,1311,zammel,saied,2.5934,32.0899,100.0000
TN115958,Hay Es Salem,حي السلام,TN1159,Cité El Khadra,Tunis,North East,36.84033399,10.19168481,2.7717883,1,1,155,40,39,0,1,1,155,40,29,74.3590,58.9744,6,15.3846,-58.9744,4,10.2564,-64.1026,39,saied,zammel,58.9744,25.8065,100.0000
TN116051,Le Bardo,باردو,TN1160,Bardo,Tunis,North East,36.81242336,10.14054593,0.50905623,11,11,13564,2734,2589,44,101,11,13564,2734,2046,79.0267,62.2248,435,16.8019,-62.2248,108,4.1715,-74.8552,2589,saied,zammel,62.2248,20.1563,100.0000
TN116052,Le Bardo Nord,باردو الشمالي,TN1160,Bardo,Tunis,North East,36.81364704,10.13285363,0.64969112,6,6,5781,2650,2514,46,90,5,5781,2112,2057,81.8218,66.6667,381,15.1551,-66.6667,76,3.0231,-78.7987,2514,saied,zammel,66.6667,36.5335,83.3333
TN116053,Le Bardo Sud,باردو الجنوبي,TN1160,Bardo,Tunis,North East,36.80317427,10.13520734,0.32494077,4,4,3584,1549,1473,21,55,4,3584,1549,1225,83.1636,69.1785,206,13.9851,-69.1785,42,2.8513,-80.3123,1473,saied,zammel,69.1785,43.2199,100.0000
TN116054,El Hadika,الحديقة,TN1160,Bardo,Tunis,North East,36.80386323,10.14143279,0.29315626,1,1,1054,444,421,8,15,1,1054,444,372,88.3610,78.3848,42,9.9762,-78.3848,7,1.6627,-86.6983,421,saied,zammel,78.3848,42.1252,100.0000
TN116055,Bou-Choucha,بوشوشة,TN1160,Bardo,Tunis,North East,36.8106137,10.14677365,0.46529431,7,7,7378,2637,2937,49,98,6,7378,2637,2337,79.5710,62.8873,490,16.6837,-62.8873,110,3.7453,-75.8257,2937,saied,zammel,62.8873,35.7414,85.7143
TN116056,Bonne Residence,الإقامة الطيبة,TN1160,Bardo,Tunis,North East,36.80528276,10.14593583,0.49679328,2,2,708,301,288,4,9,2,708,301,244,84.7222,70.8333,40,13.8889,-70.8333,4,1.3889,-83.3333,288,saied,zammel,70.8333,42.5141,100.0000
TN116057,Khaznadar,خزندار,TN1160,Bardo,Tunis,North East,36.80601592,10.12720275,0.97546091,13,13,14671,3670,3490,74,106,13,14671,3670,2653,76.0172,56.3897,685,19.6275,-56.3897,152,4.3553,-71.6619,3490,saied,zammel,56.3897,25.0153,100.0000
TN116058,El Fath,الفتح,TN1160,Bardo,Tunis,North East,36.80049607,10.12694806,0.3779541,1,1,880,366,348,3,15,1,880,366,297,85.3448,73.2759,42,12.0690,-73.2759,9,2.5862,-82.7586,348,saied,zammel,73.2759,41.5909,100.0000
TN116059,Ksar-Said,قصر السعيد,TN1160,Bardo,Tunis,North East,36.81246357,10.12628801,0.76403194,3,3,3647,370,354,9,7,3,3647,370,311,87.8531,78.2486,34,9.6045,-78.2486,9,2.5424,-85.3107,354,saied,zammel,78.2486,10.1453,100.0000
TN116060,Ksar-Said II,قصر السعيد الثاني,TN1160,Bardo,Tunis,North East,36.82304523,10.11921962,0.33031488,5,5,5311,2102,1995,21,86,5,5311,2102,1789,89.6742,80.9524,174,8.7218,-80.9524,32,1.6040,-88.0702,1995,saied,zammel,80.9524,39.5782,100.0000
TN116061,El Bassatine,البساتين,TN1160,Bardo,Tunis,North East,36.81800621,10.13801446,0.33606749,1,1,610,260,247,3,10,1,610,260,208,84.2105,72.0648,30,12.1457,-72.0648,9,3.6437,-80.5668,247,saied,zammel,72.0648,42.6230,100.0000
TN116062,Es-Saada,السعادة,TN1160,Bardo,Tunis,North East,36.79845406,10.12140415,0.3687689,4,4,3768,1525,1459,20,46,4,3768,1525,1318,90.3358,82.4537,115,7.8821,-82.4537,26,1.7820,-88.5538,1459,saied,zammel,82.4537,40.4724,100.0000
TN116063,Ksar-El Bortal,قصر البرطال,TN1160,Bardo,Tunis,North East,36.81623103,10.11972402,0.50749852,3,3,3676,1483,1414,25,44,3,3676,1483,1275,90.1697,82.0368,115,8.1330,-82.0368,24,1.6973,-88.4724,1414,saied,zammel,82.0368,40.3428,100.0000
TN116064,Ibn Sina,إبن سيناء,TN1160,Bardo,Tunis,North East,36.82976038,10.11684408,0.27560841,2,2,1600,447,431,4,12,2,1600,447,382,88.6311,78.8863,42,9.7448,-78.8863,7,1.6241,-87.0070,431,saied,zammel,78.8863,27.9375,100.0000
TN116151,Cite Helel,حي هلال,TN1161,Sijoumi,Tunis,North East,36.78518462,10.16512679,0.31527138,5,5,7752,1795,1686,36,73,5,7752,1795,1592,94.4247,89.6797,80,4.7450,-89.6797,14,0.8304,-93.5943,1686,saied,zammel,89.6797,23.1553,100.0000
TN116152,Ali Belhouane,علي البلهوان,TN1161,Sijoumi,Tunis,North East,36.79692316,10.16016613,0.25096447,6,6,7515,1960,1880,27,53,6,7515,1960,1753,93.2447,87.5000,108,5.7447,-87.5000,19,1.0106,-92.2340,1880,saied,zammel,87.5000,26.0812,100.0000
TN116153,En-Najah,النجاح,TN1161,Sijoumi,Tunis,North East,36.7935633,10.15829054,0.47415358,4,4,3788,1159,1106,20,33,4,3788,1159,1036,93.6709,88.4268,58,5.2441,-88.4268,12,1.0850,-92.5859,1106,saied,zammel,88.4268,30.5966,100.0000
TN116154,Cite Des Martyrs,حي الشهداء,TN1161,Sijoumi,Tunis,North East,36.77709989,10.17009696,0.29270093,1,1,831,350,324,2,24,1,831,350,314,96.9136,94.4444,8,2.4691,-94.4444,2,0.6173,-96.2963,324,saied,zammel,94.4444,42.1179,100.0000
TN116155,Bir Anniba,بئر عنيبة,TN1161,Sijoumi,Tunis,North East,36.78854822,10.16522245,0.19523209,1,1,370,128,123,1,4,1,370,128,117,95.1220,91.0569,5,4.0650,-91.0569,1,0.8130,-94.3089,123,saied,zammel,91.0569,34.5946,100.0000
TN116156,Mellassine,الملاسين,TN1161,Sijoumi,Tunis,North East,36.79515014,10.15160312,0.27299223,5,5,6058,563,527,7,29,5,6058,563,504,95.6357,92.0304,19,3.6053,-92.0304,4,0.7590,-94.8767,527,saied,zammel,92.0304,9.2935,100.0000
TN116251,Ezzouhour,الزهور,TN1162,Ezzouhour,Tunis,North East,36.79742649,10.13409957,0.33271617,10,10,10593,2387,2456,29,104,9,10593,2387,2208,89.9023,81.7590,200,8.1433,-81.7590,48,1.9544,-87.9479,2456,saied,zammel,81.7590,22.5337,90.0000
TN116252,Ezzouhour IV,الزهور الرابع,TN1162,Ezzouhour,Tunis,North East,36.79530108,10.12681521,0.3128797,3,3,3555,1244,1197,18,29,3,3555,1244,1073,89.6408,80.5347,109,9.1061,-80.5347,15,1.2531,-88.3876,1197,saied,zammel,80.5347,34.9930,100.0000
TN116253,Es-Saada,السعادة,TN1162,Ezzouhour,Tunis,North East,36.79946315,10.14907518,0.39620352,2,2,2172,852,807,3,42,2,2172,852,699,86.6171,76.0843,85,10.5328,-76.0843,23,2.8501,-83.7670,807,saied,zammel,76.0843,39.2265,100.0000
TN116254,Es-Soumrane,السمران,TN1162,Ezzouhour,Tunis,North East,36.79915856,10.14025787,0.39293195,4,4,4890,1361,1313,12,36,4,4890,1361,1219,92.8408,86.9002,78,5.9406,-86.9002,16,1.2186,-91.6222,1313,saied,zammel,86.9002,27.8323,100.0000
TN116255,Cite Tayarane,حي الطيران,TN1162,Ezzouhour,Tunis,North East,36.79398952,10.14394836,0.42882942,6,6,5644,2055,1934,22,99,6,5644,2055,1794,92.7611,87.2802,106,5.4809,-87.2802,34,1.7580,-91.0031,1934,saied,zammel,87.2802,36.4103,100.0000
TN116256,Bach-Hamba,باش حانبة,TN1162,Ezzouhour,Tunis,North East,36.79107592,10.13273882,0.93625494,4,4,4053,1784,1695,42,47,4,4053,1784,1571,92.6844,86.6667,102,6.0177,-86.6667,22,1.2979,-91.3864,1695,saied,zammel,86.6667,44.0168,100.0000
