stage,rank,candidate,votes,share_pct,constituency_sum,votes_spelled,words_value,words_check,name_in_table,source_page
r1_preliminary,14,عبد الفتاح بن جيالني بن محمد مورو,434530,12.88,434530,أربعمائة وأربعة وثلاثون ألف وخمسمائة وثلاثون,434530,agree,عبد الفتاح بن جيالني بن محمد مورو,302
r1_preliminary,16,يوسف بن محمد الهاشمي بن عبد الحميد الشاهد,249049,7.38,249049,مائتان وتسعة وأربعون ألف وتسعة وأربعون,249049,agree,يوسف بن محمد الهاشمي بن عبد الحميد الشاهد,302
r1_preliminary,17,قيس بن المنصف بن محمد سعيّد,620711,18.4,620711,ستمائة وعشرون ألف وسبعمائة وأحد عشر,620711,agree,قيس بن املنصف بن محمد سعيد,302
r1_preliminary,18,إلياس بن حامد بن محمد الفخفاخ,11532,0.34,11532,أحد عشر ألف وخمسمائة واثنان وثلاثون,11532,agree,إلياس بن حامد بن محمد الفخفاخ,302
r1_preliminary,19,سليم بن محمد بن المختار الرياحي,4472,0.13,4472,أربعة آلاف وأربعمائة واثنان وسبعون,4472,agree,سليم بن محمد بن املختار الرياحي,302
r1_preliminary,20,سلمه بنت محمد توفيق اللومي,5093,0.15,5093,خمسة آلاف وثلاثة وتسعون,5093,agree,سلمه بنت محمد توفيق اللومي,302
r1_preliminary,21,سعيد علي مروان بن الصادق بن محمد العايدي,10198,0.3,10198,عشرة آلاف ومائة وثمانية وتسعون,10198,agree,سعيد علي مروان بن الصادق بن محمد العايدي,302
r1_preliminary,22,أحمد الصافي بن إبراهيم بن الحاج علي سعيد,239951,7.11,239951,مائتان وتسعة وثلاثون وتسعمائة وواحد وخمسون,1190,words-differ,أحمد الصافي بن إبراهيم بن الحاج علي سعيد,302
r1_preliminary,23,الناجي بن محمد بن رمضان جلول,7166,0.21,7166,سبعة آلاف ومائة وستة وستون,7166,agree,الناجي بن محمد بن رمضان جلول,302
r1_preliminary,24,حاتم بن محمد بلحسن بن المختار بولبيار,3704,0.11,3704,ثلاثة آلاف وسبعمائة وأربعة,3704,agree,حاتم بن محمد بلحسن بن املختار بولبيار,302
r1_preliminary,25,عبيد بن بلقاسم بن علي بريكي,5799,0.17,5799,خمسة آلاف وسبعمائة وتسعة وتسعون,5799,agree,عبيد بن بلقاسم بن علي بريكي,302
r1_preliminary,26,سيف الدين بن عبد السالم بن مفتاح مخلوف,147351,4.37,147351,مائة وسبعة وأربعون ألف وثلاثمائة وواحد وخمسون,147351,agree,سيف الدين بن عبد السالم بن مفتاح مخلوف,302
r1_final,1,منجي بن الحبيب بن بلقاسم الرحوي,27355,0.81,27355,سبعة وعشرون ألف وثلاثمائة وخمسة وخمسون,27355,agree,منجي بن الحبيب بن بلقاسم الرحوي,310
r1_final,2,محمد المحرزي بن بوجمعه بن محمد عبّو عبو,122287,3.63,122287,مائة واثنان وعشرون ألف ومائتان وسبعة وثمانون,122287,agree,محمد املحرزي بن بوجمعه بن محمد عبو عبو,310
r1_final,3,عبير بنت التيجاني بن صالح موسي,135461,4.02,135461,مائة وخمسة وثلاثون ألف وأربعمائة وواحد وستون,135461,agree,عبير بنت التيجاني بن صالح موسي,310
r1_final,4,نبيل بن رشيد القروي,525517,15.58,525517,خمسمائة وخمسة وعشرون ألف وخمسمائة وسبعة عشر,525517,agree,نبيل بن رشيد القروي,310
r1_final,6,المهدي بن المختار بن محمد جمعه,61371,1.82,61371,واحد وستون ألف وثلاثمائة وواحد وسبعون,61371,agree,املهدي بن املختار بن محمد جمعه,311
r1_final,7,حمادي بن بوراوي بن سالم الجبالي,7364,0.22,7364,سبعة آلاف وثلاثمائة وأربعة وستون,7364,agree,حمادي بن بوراوي بن سالم الجبالي,311
r1_final,8,حمه بن علي بن بوساحه همامي,23252,0.69,23252,ثلاثة وعشرون ألف ومائتان واثنان وخمسون,23252,agree,حمه بن علي بن بوساحه همامي,311
r1_final,9,محمد المنصف بن محمد بن أحمد البدوي المرزوقي,100338,2.97,100338,مائة ألف وثلاثمائة وثمانية وثلاثون,100338,agree,محمد املنصف بن محمد بن أحمد البدوي,311
r1_final,10,عبد الكريم بن حسن بن حسين زبيدي,361864,10.73,361864,ثلاثمائة وواحد وستون ألف وثمانمائة وأربعة وستون,361864,agree,املرزوقي عبد الكريم بن حسن بن حسني زبيدي,311
r1_final,11,محسن بن عبد الكريم بن عمر مرزوق,7376,0.22,7376,سبعة آلاف وثلاثمائة وستة وسبعون,7376,agree,محسن بن عبد الكريم بن عمر مرزوق,311
r1_final,12,محمد الصغير بن محمد الصالح بن عمار نوري,4598,0.14,4598,أربعة آلاف وخمسمائة وثمانية وتسعون,4598,agree,محمد الصغير بن محمد الصالح بن عمار,311
r1_final,13,محمد الهاشمي بن يوسف بن علي حامدي,25284,0.75,25284,خمسة وعشرون ألف ومائتان وأربعة وثمانون,25284,agree,نوري محمد الهاشمي بن يوسف بن علي حامدي,311
r1_final,14,عبد الفتاح بن جيالني بن محمد مورو,434530,12.88,434530,أربعمائة وأربعة وثلاثون ألف وخمسمائة وثلاثون,434530,agree,عبد الفتاح بن جيالني بن محمد مورو,311
r1_final,15,عمر بن محمود بن محمود منصور,10160,0.3,10160,عشرة آلاف ومائة وستون,10160,agree,عمر بن محمود بن محمود منصور,311
r1_final,16,يوسف بن محمد الهاشمي بن عبد الحميد الشاهد,249049,7.38,249049,مائتان وتسعة وأربعون ألف وتسعة وأربعون,249049,agree,يوسف بن محمد الهاشمي بن عبد الحميد,311
r1_final,17,قيس بن المنصف بن محمد سعيّد,620711,18.4,620711,ستمائة وعشرون ألف وسبعمائة وأحد عشر,620711,agree,الشاهد ّ قيس بن املنصف بن محمد سعيد,311
r1_final,18,إلياس بن حامد بن محمد الفخفاخ,11532,0.34,11532,أحد عشر ألف وخمسمائة واثنان وثلاثون,11532,agree,إلياس بن حامد بن محمد الفخفاخ,311
r1_final,19,سليم بن محمد بن المختار الرياحي,4472,0.13,4472,أربعة آلاف وأربعمائة واثنان وسبعون,4472,agree,سليم بن محمد بن املختار الرياحي,311
r1_final,20,سلمه بنت محمد توفيق اللومي,5093,0.15,5093,خمسة آلاف وثلاثة وتسعون,5093,agree,سلمه بنت محمد توفيق اللومي,311
r1_final,21,سعيد علي مروان بن الصادق بن محمد العايدي,10198,0.3,10198,عشرة آلاف ومائة وثمانية وتسعون,10198,agree,سعيد علي مروان بن الصادق بن محمد,311
r1_final,22,أحمد الصافي بن إبراهيم بن الحاج علي سعيد,239951,7.11,239951,مائتان وتسعة وثلاثون وتسعمائة وواحد وخمسون,1190,words-differ,العايدي أحمد الصافي بن إبراهيم بن الحاج علي سعيد,311
r1_final,23,الناجي بن محمد بن رمضان جلول,7166,0.21,7166,سبعة آلاف ومائة وستة وستون,7166,agree,الناجي بن محمد بن رمضان جلول,311
r1_final,24,حاتم بن محمد بلحسن بن المختار بولبيار,3704,0.11,3704,ثلاثة آلاف وسبعمائة وأربعة,3704,agree,حاتم بن محمد بلحسن بن املختار بولبيار,311
r1_final,25,عبيد بن بلقاسم بن علي بريكي,5799,0.17,5799,خمسة آلاف وسبعمائة وتسعة وتسعون,5799,agree,عبيد بن بلقاسم بن علي بريكي,311
r1_final,26,سيف الدين بن عبد السالم بن مفتاح مخلوف,147351,4.37,147351,مائة وسبعة وأربعون ألف وثلاثمائة وواحد وخمسون,147351,agree,سيف الدين بن عبد السالم بن مفتاح مخلوف,311
r2_final,17,قيس بن المنصف بن محمد سعيّد,2777931,72.71,620711,مليونــان وســبعمائة وســبعة وســبعون ألفــ وتســعمائة وواحــد وثلاثــون,2777931,agree,قيس بن املنصف بن محمد سعيد,314
r2_final,4,نبيل بن رشيد القروي,1042894,27.29,525517,مليون واثنان وأربعون ألف وثمانمائة وأربعة وتسعون,1042894,agree,نبيل بن رشيد القروي,314
