level,group_kind,group,metric,n,mean,sd,min,p10,p25,p50,p75,p90,max
station,governorate,Manubah,turnout_pct,239,33.9528,10.1404,13.0952,23.4724,27.5637,32.8176,38.5637,44.3831,94.5525
station,governorate,Monastir,saied_share_pct,440,93.2068,3.9417,78.4375,87.7537,91.1774,93.9257,96.1108,97.4201,100.0000
station,governorate,Monastir,zammel_share_pct,440,5.3842,3.4079,0.0000,1.6298,2.8095,4.7809,7.2446,9.8828,18.7500
station,governorate,Monastir,maghzaoui_share_pct,440,1.4090,0.9400,0.0000,0.3567,0.7353,1.2654,1.8827,2.5735,5.2083
station,governorate,Monastir,margin_pp,440,87.7853,7.2698,59.6875,77.7696,83.8684,88.9656,93.2688,95.6569,100.0000
station,governorate,Monastir,turnout_pct,405,34.1980,11.3253,8.4410,22.4162,27.2043,33.0254,39.5087,45.3587,85.9649
station,governorate,Médenine,saied_share_pct,472,89.0201,5.1661,71.4286,81.8721,85.7143,89.7959,92.5926,95.5732,100.0000
station,governorate,Médenine,zammel_share_pct,472,8.2025,4.6690,0.0000,2.7817,4.7090,7.5169,11.1805,14.7723,23.5714
station,governorate,Médenine,maghzaoui_share_pct,472,2.7773,1.8853,0.0000,0.5351,1.5124,2.5736,3.7412,5.1724,15.0000
station,governorate,Médenine,margin_pp,472,80.5944,9.5277,48.2143,66.6799,74.1817,82.1878,87.5889,92.1557,100.0000
station,governorate,Médenine,turnout_pct,216,21.9924,11.9602,0.2110,11.4877,14.0464,19.4245,26.6944,33.1157,98.6486
station,governorate,Nabeul,saied_share_pct,645,93.6309,4.4807,71.8310,87.8144,91.4414,94.6092,96.9767,98.3068,100.0000
station,governorate,Nabeul,zammel_share_pct,645,4.9012,3.8143,0.0000,0.9220,1.9455,4.1045,6.7982,9.9508,21.1268
station,governorate,Nabeul,maghzaoui_share_pct,645,1.4678,0.9781,0.0000,0.3751,0.7937,1.3378,1.9737,2.6149,7.0423
station,governorate,Nabeul,margin_pp,645,88.6701,8.2095,50.7042,77.6485,84.5865,90.3955,95.0570,97.1111,100.0000
station,governorate,Nabeul,turnout_pct,564,34.8096,10.9405,3.3118,23.3258,28.2294,34.6713,40.3942,45.5188,98.4314
station,governorate,Sfax,saied_share_pct,806,88.8138,6.4202,72.0524,79.6902,83.8532,89.4804,94.2062,96.6685,100.0000
station,governorate,Sfax,zammel_share_pct,806,8.9969,5.8481,0.0000,1.9231,3.9327,8.2922,13.3333,17.1290,24.2358
station,governorate,Sfax,maghzaoui_share_pct,806,2.1894,1.3487,0.0000,0.6641,1.2910,2.0053,2.8061,3.8890,9.8485
station,governorate,Sfax,margin_pp,806,79.7171,12.1155,47.8166,62.6377,70.6694,81.0476,89.9327,94.4056,100.0000
station,governorate,Sfax,turnout_pct,766,33.3080,10.5092,8.1395,20.7973,26.5918,33.0157,38.9755,44.1978,99.4987
station,governorate,Sidi Bou Zid,saied_share_pct,440,96.0139,2.8833,86.9565,91.6160,94.5105,96.8750,98.2486,99.0614,100.0000
station,governorate,Sidi Bou Zid,zammel_share_pct,440,2.4777,2.2215,0.0000,0.0000,0.8999,1.8182,3.3460,5.7958,11.4983
station,governorate,Sidi Bou Zid,maghzaoui_share_pct,440,1.5083,1.3585,0.0000,0.0000,0.6008,1.1983,2.0539,3.3086,7.4468
station,governorate,Sidi Bou Zid,margin_pp,440,93.1590,4.9919,75.6098,85.4454,90.5138,94.6067,96.8641,98.2759,100.0000
station,governorate,Sidi Bou Zid,turnout_pct,428,31.5593,10.7942,7.9167,19.0659,24.6339,31.2181,37.4238,43.6730,97.8571
station,governorate,Siliana,saied_share_pct,257,93.6433,6.5524,40.7273,87.7157,92.0000,95.2381,97.2826,98.8545,100.0000
station,governorate,Siliana,zammel_share_pct,257,5.3580,6.4540,0.0000,0.7063,1.8382,3.6304,6.6474,11.9075,58.5455
station,governorate,Siliana,maghzaoui_share_pct,257,0.9987,0.9659,0.0000,0.0000,0.2915,0.7663,1.4881,2.2605,5.4187
station,governorate,Siliana,margin_pp,257,88.3274,11.6321,4.9231,75.9076,85.5491,91.5556,95.1515,97.9465,100.0000
station,governorate,Siliana,turnout_pct,228,35.3194,13.5743,6.9357,22.3356,27.4653,32.8347,39.9719,48.8539,99.7175
station,governorate,Sousse,saied_share_pct,513,91.2402,5.8733,59.7701,83.7880,88.4868,92.2535,95.7237,97.5121,100.0000
station,governorate,Sousse,zammel_share_pct,513,6.9780,5.1204,0.0000,1.7183,3.2258,5.9361,8.9109,13.4983,36.7816
station,governorate,Sousse,maghzaoui_share_pct,513,1.7817,1.2515,0.0000,0.4363,0.9009,1.4925,2.4390,3.4483,9.3750
station,governorate,Sousse,margin_pp,513,84.2207,10.9204,22.9885,69.6862,79.3651,86.2464,92.3323,95.5005,100.0000
station,governorate,Sousse,turnout_pct,452,30.3862,10.7837,5.2854,18.4705,23.3815,29.5107,36.0086,42.6384,98.4733
station,governorate,Tataouine,saied_share_pct,186,87.6923,7.1375,63.3333,77.7778,84.1208,88.8444,92.4843,96.2271,100.0000
station,governorate,Tataouine,zammel_share_pct,186,9.4992,6.6016,0.0000,2.2321,4.9265,7.9550,13.5308,18.2512,33.3333
station,governorate,Tataouine,maghzaoui_share_pct,186,2.8085,2.4025,0.0000,0.0000,1.0842,2.3866,3.9710,5.8983,13.3333
station,governorate,Tataouine,margin_pp,186,77.8637,13.3416,31.6667,59.2065,69.9811,80.0901,86.4664,92.9739,100.0000
station,governorate,Tataouine,turnout_pct,177,21.5913,13.9028,2.6484,9.0087,12.4793,18.0115,26.9327,37.4954,87.0293
station,governorate,Tozeur,saied_share_pct,100,93.0391,3.7227,75.0000,87.8728,92.0332,94.1333,95.2980,96.5962,98.6607
station,governorate,Tozeur,zammel_share_pct,100,4.9090,2.9858,0.5420,1.6278,3.0212,4.0833,6.4234,9.3620,15.1751
station,governorate,Tozeur,maghzaoui_share_pct,100,2.0519,1.6961,0.0000,0.6794,1.1356,1.8047,2.7161,3.3417,15.0000
station,governorate,Tozeur,margin_pp,100,87.9165,6.6274,60.0000,78.0417,85.3712,89.6633,91.9310,94.0459,97.3214
station,governorate,Tozeur,turnout_pct,96,35.7267,9.0086,16.8574,27.2187,29.8459,35.3362,38.5579,45.7873,92.5926
station,governorate,Tunis,saied_share_pct,786,85.8598,9.9654,41.8129,73.1696,82.1527,88.3523,92.9368,95.1768,98.5075
station,governorate,Tunis,zammel_share_pct,786,11.7190,8.7890,0.7692,3.6890,5.6623,9.3489,14.7878,23.0448,53.2164
station,governorate,Tunis,maghzaoui_share_pct,786,2.4213,1.6195,0.0000,0.6830,1.1976,2.0522,3.3583,4.6452,10.2564
station,governorate,Tunis,margin_pp,786,74.1797,18.5549,0.9494,50.5033,67.5534,78.9286,87.2215,91.4633,97.3134
station,governorate,Tunis,turnout_pct,761,30.5703,11.4917,4.0071,17.0095,22.7715,31.1258,37.2727,41.9206,91.9118
station,governorate,Zaghouan,saied_share_pct,161,95.1087,3.9119,71.8367,90.2439,93.9474,96.2617,97.6991,98.6450,100.0000
station,governorate,Zaghouan,zammel_share_pct,161,3.6341,3.3780,0.0000,0.8000,1.4583,2.8881,4.5326,7.2917,24.8980
station,governorate,Zaghouan,maghzaoui_share_pct,161,1.2572,1.0201,0.0000,0.0000,0.5848,1.0870,1.6556,2.7473,6.2500
station,governorate,Zaghouan,margin_pp,161,91.3546,7.1737,46.9388,82.5328,89.5522,93.3333,95.9839,97.5610,100.0000
station,governorate,Zaghouan,turnout_pct,156,37.0671,12.1396,12.7426,25.0628,29.6480,36.0431,42.5093,48.4745,94.5860
imada,national,Tunisia,saied_share_pct,2042,93.1160,5.7812,44.0000,85.8825,90.8953,94.9541,97.0140,98.1271,100.0000
imada,national,Tunisia,zammel_share_pct,2042,5.1688,4.9950,0.0000,1.0050,1.8434,3.5982,6.8629,11.3638,54.8333
imada,national,Tunisia,maghzaoui_share_pct,2042,1.7151,1.5535,0.0000,0.5388,0.8774,1.3741,2.1665,3.2188,40.7213
imada,national,Tunisia,margin_pp,2042,87.8188,10.6429,2.5934,74.2994,83.9956,91.2230,94.9962,96.8504,100.0000
imada,national,Tunisia,turnout_pct,1992,31.6421,8.4146,5.4187,21.1567,26.2776,31.6827,37.2336,41.9624,84.1304
imada,region,Centre East,saied_share_pct,408,92.8797,4.7919,62.0424,86.0425,90.8614,94.1749,96.3088,97.4983,99.3197
imada,region,Centre East,zammel_share_pct,408,5.5369,4.2203,0.0000,1.5360,2.5177,4.3838,7.3670,11.3951,34.2967
imada,region,Centre East,maghzaoui_share_pct,408,1.5835,0.8424,0.0000,0.6988,0.9707,1.3721,2.0857,2.6837,5.3541
imada,region,Centre East,margin_pp,408,87.3170,8.9691,27.7457,74.5401,83.7741,89.7056,93.7558,95.8551,98.9796
imada,region,Centre East,turnout_pct,400,32.5645,7.7108,13.0407,22.8300,27.5209,32.3653,37.7308,41.4538,84.1304
imada,region,Centre West,saied_share_pct,334,96.1878,2.4185,82.4257,93.1288,95.3379,96.8274,97.8261,98.4522,99.6970
imada,region,Centre West,zammel_share_pct,334,2.6161,2.1148,0.0000,0.7684,1.2751,2.0291,3.3809,5.0423,15.3465
imada,region,Centre West,maghzaoui_share_pct,334,1.1961,0.8094,0.0000,0.3769,0.6349,1.0519,1.5181,2.1496,5.7692
imada,region,Centre West,margin_pp,334,93.4315,4.4396,67.0792,88.0454,92.0077,94.6392,96.3555,97.4552,99.3939
imada,region,Centre West,turnout_pct,330,31.5942,8.0228,9.0000,21.9384,26.1525,31.4222,36.7305,42.3138,64.2424
imada,region,North East,saied_share_pct,578,91.3172,7.2693,45.9191,81.9793,88.4162,93.5787,96.2584,97.7720,99.2063
imada,region,North East,zammel_share_pct,578,6.9724,6.3499,0.2703,1.3396,2.6027,4.9116,9.5087,14.7309,48.5126
imada,region,North East,maghzaoui_share_pct,578,1.7104,1.1340,0.0000,0.6351,0.9527,1.4183,2.1576,3.2984,10.2564
imada,region,North East,margin_pp,578,84.3347,13.5310,2.5934,67.3445,78.8697,88.6156,93.6326,96.3704,98.8095
imada,region,North East,turnout_pct,576,33.3188,7.8802,5.4187,23.2049,28.6844,33.7340,39.1157,42.6549,51.5945
imada,region,North West,saied_share_pct,368,96.0182,3.9584,44.0000,92.4399,95.2566,96.8366,98.0491,98.6281,100.0000
imada,region,North West,zammel_share_pct,368,2.8334,3.8453,0.0000,0.4881,1.0526,1.9516,3.2851,5.9091,54.8333
imada,region,North West,maghzaoui_share_pct,368,1.1484,0.7627,0.0000,0.3568,0.6780,1.0211,1.4995,1.9317,5.0420
imada,region,North West,margin_pp,368,93.0445,6.9590,10.8333,86.7749,91.7972,94.7833,96.6235,97.6662,100.0000
imada,region,North West,turnout_pct,363,31.6557,8.0066,6.9357,22.6532,26.3618,30.7010,36.0084,41.4310,79.3478
imada,region,South East,saied_share_pct,203,89.2727,5.0035,67.5000,83.7782,86.6292,89.7264,92.5819,95.6570,100.0000
imada,region,South East,zammel_share_pct,203,7.8672,4.4895,0.0000,2.6942,4.0951,7.4476,10.4520,12.9237,27.5000
imada,region,South East,maghzaoui_share_pct,203,2.8601,1.7557,0.0000,1.0143,1.9247,2.5641,3.5288,4.7619,11.7057
imada,region,South East,margin_pp,203,81.2116,9.2506,40.0000,70.5467,75.9075,82.2581,87.6345,92.3011,100.0000
imada,region,South East,turnout_pct,172,24.0091,9.1359,8.4078,13.6100,16.8562,23.3959,29.7495,35.0525,70.7602
imada,region,South West,saied_share_pct,151,91.9399,5.3362,56.2735,86.2939,90.2692,92.9172,94.9428,97.0588,98.5507
imada,region,South West,zammel_share_pct,151,4.9812,3.4819,0.3436,1.5625,2.8813,4.4248,6.4383,9.2105,23.8994
imada,region,South West,maghzaoui_share_pct,151,3.0789,3.7221,0.0000,0.9501,1.5629,2.3316,3.4949,5.7143,40.7213
imada,region,South West,margin_pp,151,86.2435,9.7491,15.5522,76.6447,83.6488,88.3495,91.8120,94.8454,97.5845
imada,region,South West,turnout_pct,151,31.5695,8.5268,9.5038,21.8798,26.5627,30.7897,36.3898,41.7902,72.4258
imada,governorate,Ariana,saied_share_pct,46,86.8225,10.9964,56.8244,72.9305,82.1656,91.1095,94.5388,96.1499,98.1538
imada,governorate,Ariana,zammel_share_pct,46,11.0537,9.7152,1.3019,3.0912,4.3152,7.3081,14.5762,22.6348,38.2593
imada,governorate,Ariana,maghzaoui_share_pct,46,2.1237,1.4135,0.2481,0.5817,0.9810,1.7588,3.0855,4.5317,5.2817
imada,governorate,Ariana,margin_pp,46,75.7688,20.7029,18.5651,50.7032,67.5893,83.8013,90.0092,92.9338,96.7762
imada,governorate,Ariana,turnout_pct,46,32.8514,6.3465,12.7100,26.2832,29.1615,33.6279,35.6657,40.6086,46.5241
imada,governorate,Ben Arous,saied_share_pct,76,89.0410,6.2006,72.0805,80.4402,85.3353,89.6633,93.7295,96.1176,98.0626
imada,governorate,Ben Arous,zammel_share_pct,76,8.9307,5.2261,1.1923,2.7695,4.9941,8.4667,11.8657,15.8903,24.8322
imada,governorate,Ben Arous,maghzaoui_share_pct,76,2.0283,1.1909,0.3918,0.6882,1.0615,1.9033,2.7300,3.7747,6.3927
imada,governorate,Ben Arous,margin_pp,76,80.1103,11.4062,47.2483,64.6055,73.6342,81.0718,88.7354,93.3535,96.8703
imada,governorate,Ben Arous,turnout_pct,76,34.0561,6.5622,19.3424,24.5105,29.4527,34.8268,38.7901,42.2439,45.8190
imada,governorate,Bizerte,saied_share_pct,101,94.0540,4.8601,72.9648,88.1119,92.4645,95.7075,97.3758,98.2639,99.1803
imada,governorate,Bizerte,zammel_share_pct,101,4.5515,4.2369,0.4098,0.9418,1.5940,3.2258,6.1588,9.8253,23.3293
imada,governorate,Bizerte,maghzaoui_share_pct,101,1.3946,0.8326,0.4098,0.6593,0.8435,1.1730,1.6207,2.2485,5.5944
imada,governorate,Bizerte,margin_pp,101,89.4705,9.0548,49.6355,79.1485,86.4362,92.3754,95.5951,97.2222,98.7705
imada,governorate,Bizerte,turnout_pct,100,29.9280,6.2986,7.9627,21.6439,25.8426,29.9892,34.3672,37.5216,44.1813
imada,governorate,Béja,saied_share_pct,101,96.2938,2.3314,88.4464,92.4327,95.5556,96.6942,98.1172,98.6264,99.5690
imada,governorate,Béja,zammel_share_pct,101,2.4324,2.0281,0.0000,0.3953,1.0526,1.6502,3.1746,5.9427,8.9511
imada,governorate,Béja,maghzaoui_share_pct,101,1.2738,0.8139,0.0000,0.3610,0.7958,1.1161,1.5748,2.2222,4.0317
imada,governorate,Béja,margin_pp,101,93.5888,4.1732,79.4953,86.4900,91.8519,94.5455,96.7509,97.5275,99.1379
