bureau_code,delegation_key_2014,governorate_isie,delegation_isie,governorate_name,delegation_name,id_delegation,region_name,polling_centre,essebsi,marzouki,valid_votes,essebsi_share_pct,margin_pp
01020402302,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية السمران نهج 4137 مكتب 2,236,166,402,58.71,17.41
01020402303,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية السمران نهج 4137 مكتب 3,211,190,401,52.62,5.24
01020402304,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية السمران نهج 4137 مكتب 4,181,164,345,52.46,4.93
01020402305,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية السمران نهج 4137 مكتب 5,182,136,318,57.23,14.47
01020502401,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 1 - حي الطيران مكتب 1,214,156,370,57.84,15.68
01020502402,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 1 - حي الطيران مكتب 2,196,176,372,52.69,5.38
01020502403,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 1 - حي الطيران مكتب 3,168,197,365,46.03,-7.95
01020502404,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 1 - حي الطيران مكتب 4,132,161,293,45.05,-9.9
01020502405,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 1 - حي الطيران مكتب 5,132,163,295,44.75,-10.51
01020502501,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 2 - حي الطيران مكتب 1,261,144,405,64.44,28.89
01020502502,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 2 - حي الطيران مكتب 2,199,178,377,52.79,5.57
01020502601,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الطيران 3 - حي الطيران مكتب 1,145,122,267,54.31,8.61
01020602701,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية باش حامبة2 - باش حانبة مكتب 1,292,151,443,65.91,31.83
01020602702,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية باش حامبة2 - باش حانبة مكتب 2,249,172,421,59.14,18.29
01020602703,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية باش حامبة2 - باش حانبة مكتب 3,221,177,398,55.53,11.06
01020602704,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية باش حامبة2 - باش حانبة مكتب 4,186,147,333,55.86,11.71
01020602705,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية باش حامبة2 - باش حانبة مكتب 5,198,165,363,54.55,9.09
01020602801,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي بن سديرة - باش حانبة مكتب 1,108,99,207,52.17,4.35
01020602802,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي بن سديرة - باش حانبة مكتب 2,105,99,204,51.47,2.94
01030102901,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 1,260,138,398,65.33,30.65
01030102902,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 2,213,146,359,59.33,18.66
01030102903,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 3,201,170,371,54.18,8.36
01030102904,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 4,176,152,328,53.66,7.32
01030102905,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 5,178,212,390,45.64,-8.72
01030102906,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 6,144,163,307,46.91,-6.19
01030102907,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 7,144,150,294,48.98,-2.04
01030102908,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية 2مارس 34 الملاسين - علي البلهوان مكتب 8,157,165,322,48.76,-2.48
01030203001,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية النجاح الملاسين مكتب 1,192,166,358,53.63,7.26
01030203002,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية النجاح الملاسين مكتب 2,132,163,295,44.75,-10.51
01030203003,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية النجاح الملاسين مكتب 3,109,140,249,43.78,-12.45
01030203101,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية باب خالد الملاسين - النجاح مكتب 1,167,117,284,58.8,17.61
01030203102,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية باب خالد الملاسين - النجاح مكتب 2,142,138,280,50.71,1.43
01030203103,0103,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,م إبتدائية باب خالد الملاسين - النجاح مكتب 3,110,119,229,48.03,-3.93
01040103201,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 1 - الكبارية (1) مكتب 1,210,142,352,59.66,19.32
01040103202,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 1 - الكبارية (1) مكتب 2,163,177,340,47.94,-4.12
01040103203,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 1 - الكبارية (1) مكتب 3,148,149,297,49.83,-0.34
01040203301,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 1,226,130,356,63.48,26.97
01040203302,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 2,205,156,361,56.79,13.57
01040203303,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 3,205,158,363,56.47,12.95
01040203304,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 4,197,170,367,53.68,7.36
01040203305,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 5,149,201,350,42.57,-14.86
01040203306,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 6,144,163,307,46.91,-6.19
01040203307,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 2 - الكبارية (2) مكتب 7,137,143,280,48.93,-2.14
01040303401,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 6 - الكبارية (3) مكتب 1,235,127,362,64.92,29.83
01040303402,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 6 - الكبارية (3) مكتب 2,199,162,361,55.12,10.25
01040303403,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 6 - الكبارية (3) مكتب 3,137,182,319,42.95,-14.11
01040303404,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 6 - الكبارية (3) مكتب 4,133,166,299,44.48,-11.04
01040303405,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الوردية 6 - الكبارية (3) مكتب 5,116,145,261,44.44,-11.11
01040403501,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 1,215,148,363,59.23,18.46
01040403502,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 2,212,199,411,51.58,3.16
01040403503,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 3,196,203,399,49.12,-1.75
01040403504,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 4,161,224,385,41.82,-16.36
01040403505,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 5,126,229,355,35.49,-29.01
01040403506,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 3 - الكبارية (4) مكتب 6,148,174,322,45.96,-8.07
01040403601,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 4 - الكبارية (4) مكتب 1,256,144,400,64.0,28.0
01040403602,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 4 - الكبارية (4) مكتب 2,226,171,397,56.93,13.85
01040403603,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 4 - الكبارية (4) مكتب 3,186,194,380,48.95,-2.11
01040403604,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 4 - الكبارية (4) مكتب 4,148,156,304,48.68,-2.63
01040403701,0104,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,م إبتدائية الكبارية 5 - الكبارية (4) مكتب 1,174,120,294,59.18,18.37
