constituency,list_name,seat_on_list,member
القيروان,قائمة حزب حركة نداء تونس,3,محمد الناصر جبيرة
القيروان,قائمة حزب الاتحاد الوطني الحر,1,طارق فتيتي
القيروان,قائمة الجبهة الشعبية,1,طارق براق
القيروان,قائمة تيار المحبة,1,ريم ثايري
سوسة,قائمة حزب حركة نداء تونس,1,رضا شرف الدين
سوسة,قائمة حزب حركة نداء تونس,2,الزهرة ادريس
سوسة,قائمة حزب حركة نداء تونس,3,حمدي قزقز
سوسة,قائمة حزب حركة نداء تونس,4,نوال طياش
سوسة,قائمة حزب حركة نداء تونس,5,فيصل خليفة
سوسة,قائمة حزب حركة النهضة,1,زياد العذاري
سوسة,قائمة حزب حركة النهضة,2,منية ابراهيم
سوسة,قائمة حزب حركة النهضة,3,العجمي الوريمي
سوسة,قائمة حزب آفاق تونس,1,حافظ الزواري
سوسة,قائمة حزب المبادرة,1,أحمد السعيدي
المنستير,قائمة حزب حركة نداء تونس,1,محمد جلال غديرة
المنستير,قائمة حزب حركة نداء تونس,2,هاله عمران
المنستير,قائمة حزب حركة نداء تونس,3,محمد سعيدان
المنستير,قائمة حزب حركة نداء تونس,4,سماح بوحوال
المنستير,قائمة حزب حركة نداء تونس,5,لطفي النابلي
المنستير,قائمة حزب حركة النهضة,1,محمد كمال بسباس
المنستير,قائمة حزب حركة النهضة,2,شهيدة فرج
المنستير,قائمة حزب آفاق تونس,1,علي بنور
المنستير,قائمة الجبهة الشعبية,1,عبد المؤمن بلعانس
المهدية,قائمة حزب حركة نداء تونس,1,محمد الناصر
المهدية,قائمة حزب حركة نداء تونس,2,سعاد الزوالي
المهدية,قائمة حزب حركة نداء تونس,3,عماد أولاد جبريل
المهدية,قائمة حزب حركة نداء تونس,4,رابحة بن حسين
المهدية,قائمة حزب حركة النهضة,1,الهادي بن ابراهم
المهدية,قائمة حزب حركة النهضة,2,ليلى الوسلاتي
المهدية,قائمة حزب آفاق تونس,1,ياسين ابراهيم
المهدية,قائمة الجبهة الشعبية,1,هيكل بلقاسم
القصرين,قائمة حزب حركة نداء تونس,1,محمد كمال حمزاوي
القصرين,قائمة حزب حركة نداء تونس,2,إكرام مولاهي
القصرين,قائمة حزب حركة نداء تونس,3,محمد بوقرة الراشدي
القصرين,قائمة حزب حركة النهضة,1,الوليد بناني
القصرين,قائمة حزب حركة النهضة,2,صافية خلفي
القصرين,قائمة الجبهة الشعبية,1,أيمن علوي
القصرين,قائمة حزب الاتحاد الوطني الحر,1,محمود قاهري
القصرين,قائمة حزب المؤتمر من أجل الجمهورية,1,مبروك الحريزي
سيدي بوزيد,قائمة حزب حركة نداء تونس,1,سالم حامدي
سيدي بوزيد,قائمة حزب حركة نداء تونس,2,عبير عبدللي
سيدي بوزيد,قائمة حزب حركة النهضة,1,نوفل الجمالي
سيدي بوزيد,قائمة حزب حركة النهضة,2,حياة عمري
سيدي بوزيد,قائمة تيار المحبة,1,محمد حامدي
سيدي بوزيد,قائمة الجبهة الشعبية,1,مباركة عوائنية
سيدي بوزيد,قائمة الجبهة الوطنية للإنقاذ,1,تهامي عبدولي
سيدي بوزيد,قائمة حزب حركة الديمقراطيين الاجتماعيين,1,حمد خصخوصي
قفصة,قائمة حزب حركة النهضة,1,محمد المحسن سوداني
قفصة,قائمة حزب حركة النهضة,2,زينب براهمي
قفصة,قائمة حزب حركة نداء تونس,1,سفيان طوبال
قفصة,قائمة حزب حركة نداء تونس,2,اسماء بوالهناء
قفصة,قائمة الجبهة الشعبية,1,عمار عمروسية
قفصة,قائمة رد الاعتبار,1,عدنان حاجي
قفصة,قائمة حزب المبادرة,1,لطفي علي
توزر,قائمة حزب حركة النهضة,1,محمد الاخضر العجيلي
توزر,قائمة لمجد الجريد,1,عبد الرزاق شريط
توزر,قائمة حزب حركة نداء تونس,1,عبد الرؤوف الشريف
توزر,قائمة حزب الاتحاد الوطني الحر,1,عبد الرؤوف الشابي
صفاقس 1,قائمة حزب حركة النهضة,1,فتحي العيادي
صفاقس 1,قائمة حزب حركة النهضة,2,سلاف القسنطيني
صفاقس 1,قائمة حزب حركة النهضة,3,سليم بسباس
صفاقس 1,قائمة حزب حركة نداء تونس,1,محمد الهادي قديش
صفاقس 1,قائمة حزب حركة نداء تونس,2,سماح دمق
صفاقس 1,قائمة الجبهة الشعبية,1,شفيق العيادي
صفاقس 1,قائمة حزب التيار الديمقراطي,1,نعمان العش
صفاقس 2,قائمة حزب حركة نداء تونس,1,المنصف السلامي
صفاقس 2,قائمة حزب حركة نداء تونس,2,هاجر العروسي
صفاقس 2,قائمة حزب حركة نداء تونس,3,اسماعيل بنمحمود
صفاقس 2,قائمة حزب حركة نداء تونس,4,فاطمة المسدي
صفاقس 2,قائمة حزب حركة النهضة,1,محمد الفريخة
صفاقس 2,قائمة حزب حركة النهضة,2,كلثوم بدر الدين
صفاقس 2,قائمة حزب حركة النهضة,3,بدرالدين عبد الكافي
صفاقس 2,قائمة حزب آفاق تونس,1,محمد أنور العذار
صفاقس 2,قائمة الجبهة الشعبية,1,سعاد البيولي
قابس,قائمة حزب حركة النهضة,1,محمد زريق
قابس,قائمة حزب حركة النهضة,2,أمل سويد
قابس,قائمة حزب حركة النهضة,3,الحبيب خضر
قابس,قائمة حزب حركة النهضة,4,راضية التومي
قابس,قائمة حزب حركة نداء تونس,1,حسونة الناصفي
قابس,قائمة حزب الاتحاد الوطني الحر,1,محمد الأمين كحلول
قابس,قائمة حزب المؤتمر من أجل الجمهورية,1,صبري دخيل
مدنين,قائمة حزب حركة النهضة,1,عامر العريض
مدنين,قائمة حزب حركة النهضة,2,بسمه الجبالي
مدنين,قائمة حزب حركة النهضة,3,احمد عماري
مدنين,قائمة حزب حركة النهضة,4,هاجر بوزمي
مدنين,قائمة حزب حركة النهضة,5,لخضر بالهوشات
مدنين,قائمة حزب حركة نداء تونس,1,البشير بن عمر
مدنين,قائمة حزب المؤتمر من أجل الجمهورية,1,عماد الدائمي
مدنين,قائمة حزب حركة الشعب,1,سالم لبيض
مدنين,قائمة حزب الاتحاد الوطني الحر,1,الطاهر فضيل
تطاوين,قائمة حزب حركة النهضة,1,البشير الخليفي
تطاوين,قائمة حزب حركة النهضة,2,جميلة الجويني
تطاوين,قائمة حزب حركة النهضة,3,حسين اليحياوي
تطاوين,قائمة حزب حركة نداء تونس,1,الطيب المدني
قبلي,قائمة حزب حركة النهضة,1,محمد علي البدوي
قبلي,قائمة حزب حركة النهضة,2,محبوبة بنضيف الله
قبلي,قائمة حزب المؤتمر من أجل الجمهورية,1,إبراهيم بنسعيد
قبلي,قائمة حزب حركة الشعب,1,زهير المغزاوي
قبلي,قائمة حزب حركة نداء تونس,1,محمد الفاضل بنعمران
فرنسا 1,قائمة حزب حركة نداء تونس,1,خالد شوكات
فرنسا 1,قائمة حزب حركة نداء تونس,2,خولة بن عائشة
فرنسا 1,قائمة حزب حركة النهضة,1,السيدة الونيسي
فرنسا 1,قائمة حزب حركة النهضة,2,الحسين جزيري
فرنسا 1,قائمة حزب آفاق تونس,1,محمد غنام
فرنسا 2,قائمة حزب حركة نداء تونس,1,كمال ذوادي
فرنسا 2,قائمة حزب حركة نداء تونس,2,ناجية بن عبد الحفيظ
فرنسا 2,قائمة حزب حركة النهضة,1,ناجي الجمل
فرنسا 2,قائمة حزب حركة النهضة,2,دليلة الببة
فرنسا 2,قائمة نداء التونسيين بالخارج,1,رياض جعيدان
إيطاليا,قائمة حزب حركة النهضة,1,إيمان بنمحمد
إيطاليا,قائمة حزب حركة النهضة,2,أسامة علية الصغير
إيطاليا,قائمة حزب حركة نداء تونس,1,محمد بنصوف
ألمانيا,قائمة حزب حركة نداء تونس,1,حاتم شهر الدين فرجاني
القارة الأمريكية وبقية الدول الأوروبية,قائمة حزب حركة نداء تونس,1,لمياء المليح
القارة الأمريكية وبقية الدول الأوروبية,قائمة حزب حركة النهضة,1,رمزي بن فرج
الدول العربية وباقي دول العالم,قائمة حزب حركة نداء تونس,1,عبد الرؤوف الماي
الدول العربية وباقي دول العالم,قائمة حزب حركة النهضة,1,ماهر المذيوب
