bureau_code,governorate_ar,delegation_ar,sector_ar,polling_centre_ar,governorate_name,delegation_name,imada_name,adm3_pcode,adm4_pcode,reading,rows,n_representatives,rep_saied,rep_zammel,rep_maghzaoui,unattributed,table_source,rotation,registered,voters,valid,turnout_pct,saied_share_pct,winner
01020110102,تونس,الحرائرية,الحرائرية,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1058,238,230,22.4953,94.7826,saied
01020110103,تونس,الحرائرية,الحرائرية,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,read,s..,1,1,0,0,0,red,0,1058,223,213,21.0775,93.4272,saied
01020110104,تونس,الحرائرية,الحرائرية,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1056,158,156,14.9621,92.3077,saied
01020110201,تونس,الحرائرية,الحرائرية,م إبتدائية الحرايرية 3 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,read,s..,1,1,0,0,0,red,0,1110,257,249,23.1532,91.5663,saied
01020110202,تونس,الحرائرية,الحرائرية,م إبتدائية الحرايرية 3 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1110,213,200,19.1892,91.5000,saied
01020110203,تونس,الحرائرية,الحرائرية,م إبتدائية الحرايرية 3 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1109,176,171,15.8702,92.9825,saied
01020110301,تونس,الحرائرية,الحرائرية,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1234,281,269,22.7715,89.2193,saied
01020110302,تونس,الحرائرية,الحرائرية,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,read,...,0,0,0,0,0,red,0,1234,265,260,21.4749,91.5385,saied
01020110303,تونس,الحرائرية,الحرائرية,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1233,210,207,17.0316,92.7536,saied
01020210101,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1089,281,269,25.8035,92.9368,saied
01020210102,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1089,240,234,22.0386,95.7265,saied
01020210103,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1089,229,223,21.0285,95.5157,saied
01020210104,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1089,213,208,19.5592,95.1923,saied
01020210105,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,read,s..,1,1,0,0,0,red,0,1089,216,211,19.8347,92.8910,saied
01020210106,تونس,الحرائرية,الزهروني,م إبتدائية 18جانفي الحرايرية - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1087,211,203,19.4112,91.1330,saied
01020210201,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1296,329,317,25.3858,91.4826,saied
01020210202,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1296,352,337,27.1605,93.7685,saied
01020210203,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,read,...,0,0,0,0,0,red,0,1296,296,275,22.8395,94.9091,saied
01020210204,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1296,282,274,21.7593,95.9854,saied
01020210205,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,read,...,0,0,0,0,0,red,0,1296,301,287,23.2253,94.7735,saied
01020210206,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1296,277,265,21.3735,92.8302,saied
01020210207,تونس,الحرائرية,الزهروني,م إبتدائية الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1295,265,253,20.4633,91.3043,saied
01020210301,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1245,218,207,17.5100,90.8213,saied
01020210302,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1245,215,209,17.2691,93.7799,saied
01020210303,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,read,...,0,0,0,0,0,red,0,1245,173,172,13.8956,93.0233,saied
01020210304,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1245,172,167,13.8153,93.4132,saied
01020210305,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1245,195,193,15.6627,95.3368,saied
01020210306,تونس,الحرائرية,الزهروني,م إبتدائية حي السلامة - الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,1243,180,176,14.4811,91.4773,saied
01020210401,تونس,الحرائرية,الزهروني,معهد الزهروني,Tunis,Hrairia,Ezzahrouni,TN1163,TN116359,located,,,,,,,red,0,269,74,67,27.5093,92.5373,saied
01020310101,تونس,الحرائرية,الزهور الخامس,م ابتدائية حي الزهور   5على 1,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1120,466,448,41.6071,94.6429,saied
01020310102,تونس,الحرائرية,الزهور الخامس,م ابتدائية حي الزهور   5على 1,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1119,407,393,36.3718,92.3664,saied
01020310201,تونس,الحرائرية,الزهور الخامس,م ابتدائية حي الزهور 5 على 2,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1079,427,408,39.5737,92.6471,saied
01020310301,تونس,الحرائرية,الزهور الخامس,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1167,490,477,41.9880,88.6792,saied
01020310302,تونس,الحرائرية,الزهور الخامس,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1167,435,408,37.2751,89.7059,saied
01020310303,تونس,الحرائرية,الزهور الخامس,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1167,444,420,38.0463,93.0952,saied
01020310401,تونس,الحرائرية,الزهور الخامس,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,774,288,277,37.2093,89.5307,saied
01020310402,تونس,الحرائرية,الزهور الخامس,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,774,262,256,33.8501,91.7969,saied
01020310501,تونس,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,read,s..,1,1,0,0,0,red,0,1249,510,496,40.8327,91.7339,saied
01020310502,تونس,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1248,452,431,36.2179,93.9675,saied
01020310601,تونس,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 2 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,read,s..,1,1,0,0,0,red,0,1266,601,564,47.4724,93.6170,saied
01020310602,تونس,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 2 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1266,461,411,36.4139,91.2409,saied
01020310603,تونس,الحرائرية,الزهور الخامس,م إبتدائية عقبة ابن نافع 2 - الزهور الخامس,Tunis,Hrairia,Ezzouhour V,TN1163,TN116352,located,,,,,,,red,0,1264,490,465,38.7658,93.7634,saied
01020410101,تونس,الحرائرية,العقبة,المدرسة الإبتدائية بحي الواحة,Tunis,Hrairia,El Akba,TN1163,TN116353,read,...,0,0,0,0,0,red,0,810,508,497,62.7160,83.5010,saied
01020410201,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1273,461,441,36.2137,91.6100,saied
01020410202,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1273,427,408,33.5428,89.4608,saied
01020410203,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1273,380,362,29.8507,90.8840,saied
01020410204,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1273,345,333,27.1013,88.2883,saied
01020410205,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1273,406,373,31.8932,90.8847,saied
01020410206,تونس,الحرائرية,العقبة,م إبتدائية المشتل 1 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1272,347,328,27.2799,87.1951,saied
01020410301,تونس,الحرائرية,العقبة,م إبتدائية المشتل 2 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1085,238,230,21.9355,92.6087,saied
01020410302,تونس,الحرائرية,العقبة,م إبتدائية المشتل 2 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,located,,,,,,,red,0,1085,223,216,20.5530,92.5926,saied
01020410303,تونس,الحرائرية,العقبة,م إبتدائية المشتل 2 - العقبة,Tunis,Hrairia,El Akba,TN1163,TN116353,read,...,0,0,0,0,0,red,0,1004,189,182,18.8247,95.0549,saied
01020510101,تونس,الحرائرية,العقبة العليا,م إبتدائية حي الصحة الحرايرية - العقبة العليا,Tunis,Hrairia,El Akba Superieur,TN1163,TN116354,located,,,,,,,red,0,1090,413,397,37.8899,83.1234,saied
01020510102,تونس,الحرائرية,العقبة العليا,م إبتدائية حي الصحة الحرايرية - العقبة العليا,Tunis,Hrairia,El Akba Superieur,TN1163,TN116354,located,,,,,,,red,0,1090,333,316,30.5505,81.3291,saied
01020510103,تونس,الحرائرية,العقبة العليا,م إبتدائية حي الصحة الحرايرية - العقبة العليا,Tunis,Hrairia,El Akba Superieur,TN1163,TN116354,located,,,,,,,red,0,1090,342,327,31.3761,84.0979,saied
01020510104,تونس,الحرائرية,العقبة العليا,م إبتدائية حي الصحة الحرايرية - العقبة العليا,Tunis,Hrairia,El Akba Superieur,TN1163,TN116354,located,,,,,,,red,0,1090,300,288,27.5229,85.7639,saied
01020610101,تونس,الحرائرية,العنتيت,م إبتدائية حي العنتيت -  الحرائرية,Tunis,Hrairia,El Antit,TN1163,TN116356,located,,,,,,,red,0,1010,479,460,47.4257,92.1739,saied
01020610102,تونس,الحرائرية,العنتيت,م إبتدائية حي العنتيت -  الحرائرية,Tunis,Hrairia,El Antit,TN1163,TN116356,read,...,0,0,0,0,0,red,0,1010,410,389,40.5941,93.5733,saied
01020610103,تونس,الحرائرية,العنتيت,م إبتدائية حي العنتيت -  الحرائرية,Tunis,Hrairia,El Antit,TN1163,TN116356,read,...,0,0,0,0,0,red,0,1008,427,413,42.3611,93.2203,saied
01020710101,تونس,الحرائرية,الفلة,م إبتدائية حي الفلة - الحرائرية,Tunis,Hrairia,El Foula,TN1163,TN116357,read,s..,1,1,0,0,0,red,0,1102,487,462,44.1924,90.4762,saied
01020710102,تونس,الحرائرية,الفلة,م إبتدائية حي الفلة - الحرائرية,Tunis,Hrairia,El Foula,TN1163,TN116357,located,,,,,,,red,0,1100,410,400,37.2727,92.7500,saied
01020710103,تونس,الحرائرية,الفلة,م إبتدائية حي الفلة - الحرائرية,Tunis,Hrairia,El Foula,TN1163,TN116357,located,,,,,,,red,0,1102,432,415,39.2015,89.3976,saied
01020810101,تونس,الحرائرية,طارق بن زياد,م إبتدائية حي بوزيان الزهور - طارق بن زياد,Tunis,Hrairia,Tarak Ibn Ziad,TN1163,TN116358,located,,,,,,,red,0,1067,500,478,46.8604,92.0502,saied
01020810102,تونس,الحرائرية,طارق بن زياد,م إبتدائية حي بوزيان الزهور - طارق بن زياد,Tunis,Hrairia,Tarak Ibn Ziad,TN1163,TN116358,located,,,,,,,red,0,1066,440,423,41.2758,94.3262,saied
01020910101,تونس,الحرائرية,غدير القلة,م إبتدائية غدير القلة,Tunis,Hrairia,Ghedir El Golla,TN1163,TN116355,located,,,,,,,red,0,1002,391,350,39.0220,92.8571,saied
01020910102,تونس,الحرائرية,غدير القلة,م إبتدائية غدير القلة,Tunis,Hrairia,Ghedir El Golla,TN1163,TN116355,located,,,,,,,red,0,1072,351,339,32.7425,96.4602,saied
01020910103,تونس,الحرائرية,غدير القلة,م إبتدائية غدير القلة,Tunis,Hrairia,Ghedir El Golla,TN1163,TN116355,located,,,,,,,red,0,1072,314,296,29.2910,94.2568,saied
01030110101,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,248,228,21.0705,90.3509,saied
01030110102,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,317,301,26.9329,90.0332,saied
01030110103,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,289,264,24.5540,89.0152,saied
01030110104,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,287,269,24.3840,92.9368,saied
01030110105,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,271,259,23.0246,90.3475,saied
01030110106,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,231,221,19.6262,87.7828,saied
01030110107,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,read,?s.,1,1,0,0,1,red,0,1177,274,267,23.2795,89.1386,saied
01030110108,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,203,199,17.2472,92.9648,saied
01030110109,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,located,,,,,,,red,0,1177,267,251,22.6848,88.0478,saied
01030110110,تونس,الزهور - تونس,الزهور,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور,Tunis,Ezzouhour,Ezzouhour,TN1162,TN116251,read,s..,1,1,0,0,0,red,0,,,197,,88.3249,saied
01030210101,تونس,الزهور - تونس,الزهور الرابع,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع,Tunis,Ezzouhour,Ezzouhour IV,TN1162,TN116252,located,,,,,,,red,0,1187,434,419,36.5628,90.2148,saied
01030210102,تونس,الزهور - تونس,الزهور الرابع,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع,Tunis,Ezzouhour,Ezzouhour IV,TN1162,TN116252,located,,,,,,,red,0,1183,410,394,34.6577,88.8325,saied
01030210103,تونس,الزهور - تونس,الزهور الرابع,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع,Tunis,Ezzouhour,Ezzouhour IV,TN1162,TN116252,located,,,,,,,red,0,1185,400,384,33.7553,89.8438,saied
01030310101,تونس,الزهور - تونس,السعادة,م إبتدائية العمارية نهج 4157 - السعادة - الزهور,Tunis,Ezzouhour,Es-Saada,TN1162,TN116253,located,,,,,,,red,0,1086,456,429,41.9890,86.0140,saied
01030310102,تونس,الزهور - تونس,السعادة,م إبتدائية العمارية نهج 4157 - السعادة - الزهور,Tunis,Ezzouhour,Es-Saada,TN1162,TN116253,located,,,,,,,red,0,1086,396,378,36.4641,87.3016,saied
01030410101,تونس,الزهور - تونس,السمران,م إبتدائية السمران نهج 4137 - الزهور,Tunis,Ezzouhour,Es-Soumrane,TN1162,TN116254,located,,,,,,,red,0,1223,385,374,31.4800,93.3155,saied
01030410102,تونس,الزهور - تونس,السمران,م إبتدائية السمران نهج 4137 - الزهور,Tunis,Ezzouhour,Es-Soumrane,TN1162,TN116254,located,,,,,,,red,0,1223,392,376,32.0523,93.0851,saied
01030410103,تونس,الزهور - تونس,السمران,م إبتدائية السمران نهج 4137 - الزهور,Tunis,Ezzouhour,Es-Soumrane,TN1162,TN116254,read,s..,1,1,0,0,0,red,0,1223,311,298,25.4293,92.9530,saied
01030410104,تونس,الزهور - تونس,السمران,م إبتدائية السمران نهج 4137 - الزهور,Tunis,Ezzouhour,Es-Soumrane,TN1162,TN116254,located,,,,,,,red,0,1221,273,265,22.3587,91.6981,saied
01030510101,تونس,الزهور - تونس,باش حانبة,م إبتدائية باش حامبة 2 - باش حامبة,Tunis,Ezzouhour,Bach-Hamba,TN1162,TN116256,located,,,,,,,red,0,1078,516,500,47.8664,91.0000,saied
01030510102,تونس,الزهور - تونس,باش حانبة,م إبتدائية باش حامبة 2 - باش حامبة,Tunis,Ezzouhour,Bach-Hamba,TN1162,TN116256,located,,,,,,,red,0,1078,452,405,41.9295,93.3333,saied
01030510103,تونس,الزهور - تونس,باش حانبة,م إبتدائية باش حامبة 2 - باش حامبة,Tunis,Ezzouhour,Bach-Hamba,TN1162,TN116256,located,,,,,,,red,0,1078,455,442,42.2078,92.9864,saied
01030510201,تونس,الزهور - تونس,باش حانبة,م إبتدائية حي بن سديرة - باش حامبة,Tunis,Ezzouhour,Bach-Hamba,TN1162,TN116256,located,,,,,,,red,0,819,361,348,44.0781,93.9655,saied
01030610101,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 1 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,located,,,,,,,red,0,1043,440,425,42.1860,90.5882,saied
01030610102,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 1 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,located,,,,,,,red,0,1043,383,345,36.7210,93.6232,saied
01030610103,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 1 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,located,,,,,,,red,0,1043,336,307,32.2148,95.4397,saied
01030610201,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 2 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,read,s..,1,1,0,0,0,red,0,885,366,347,41.3559,90.2017,saied
01030610202,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 2 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,located,,,,,,,red,0,885,297,287,33.5593,93.7282,saied
01030610301,تونس,الزهور - تونس,حي الطيران,م إبتدائية حي الطيران 3 - حي الطيران,Tunis,Ezzouhour,Cite Tayarane,TN1162,TN116255,read,...,0,0,0,0,0,red,0,745,233,223,31.2752,94.6188,saied
01040110101,تونس,السيجومي,الملاسين,المدرسة الإعدادية السيجومي,Tunis,Sijoumi,Mellassine,TN1161,TN116156,read,...,0,0,0,0,0,red,0,1212,107,100,8.8284,93.0000,saied
01040110102,تونس,السيجومي,الملاسين,المدرسة الإعدادية السيجومي,Tunis,Sijoumi,Mellassine,TN1161,TN116156,located,,,,,,,red,0,1212,118,104,9.7360,96.1538,saied
01040110103,تونس,السيجومي,الملاسين,المدرسة الإعدادية السيجومي,Tunis,Sijoumi,Mellassine,TN1161,TN116156,read,...,0,0,0,0,0,red,0,1212,112,107,9.2409,97.1963,saied
01040110104,تونس,السيجومي,الملاسين,المدرسة الإعدادية السيجومي,Tunis,Sijoumi,Mellassine,TN1161,TN116156,located,,,,,,,red,0,1212,119,112,9.8185,95.5357,saied
01040110105,تونس,السيجومي,الملاسين,المدرسة الإعدادية السيجومي,Tunis,Sijoumi,Mellassine,TN1161,TN116156,located,,,,,,,red,0,1210,107,104,8.8430,96.1538,saied
01040210101,تونس,السيجومي,النجاح,م إبتدائية النجاح الملاسين,Tunis,Sijoumi,En-Najah,TN1161,TN116153,read,...,0,0,0,0,0,red,0,1095,323,306,29.4977,94.1176,saied
01040210102,تونس,السيجومي,النجاح,م إبتدائية النجاح الملاسين,Tunis,Sijoumi,En-Najah,TN1161,TN116153,located,,,,,,,red,0,1094,252,245,23.0347,95.5102,saied
01040210201,تونس,السيجومي,النجاح,م إبتدائية باب خالد الملاسين - النجاح,Tunis,Sijoumi,En-Najah,TN1161,TN116153,located,,,,,,,red,0,800,307,293,38.3750,91.8089,saied
01040210202,تونس,السيجومي,النجاح,م إبتدائية باب خالد الملاسين - النجاح,Tunis,Sijoumi,En-Najah,TN1161,TN116153,read,...,0,0,0,0,0,red,0,799,277,262,34.6683,93.5115,saied
01040310101,تونس,السيجومي,بئر عنيبة,القاعة الرياضية ببئر عنيبة,Tunis,Sijoumi,Bir Anniba,TN1161,TN116155,located,,,,,,,red,0,370,128,123,34.5946,95.1220,saied
01040410101,تونس,السيجومي,حي الشهداء,مكتب بريد حي الشهداء - السيجومي,Tunis,Sijoumi,Cite Des Martyrs,TN1161,TN116154,located,,,,,,,red,0,831,350,324,42.1179,96.9136,saied
01040510101,تونس,السيجومي,حي هلال,م إبتدائية حي هلال 1 - السيدة المنوبية,Tunis,Sijoumi,Cite Helel,TN1161,TN116151,read,s..,1,1,0,0,0,red,0,1541,411,383,26.6710,93.9948,saied
01040510102,تونس,السيجومي,حي هلال,م إبتدائية حي هلال 1 - السيدة المنوبية,Tunis,Sijoumi,Cite Helel,TN1161,TN116151,located,,,,,,,red,0,1541,384,367,24.9189,95.9128,saied
01040510103,تونس,السيجومي,حي هلال,م إبتدائية حي هلال 1 - السيدة المنوبية,Tunis,Sijoumi,Cite Helel,TN1161,TN116151,read,...,0,0,0,0,0,red,0,1591,360,330,22.6273,95.4545,saied
