adm3_pcode,id_delegation,delegation_name,delegation_name_ar,governorate_name,governorate_name_ar,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN2356,2356,Kalaat Senan,قلعة سنان,Le Kef,الكاف,North West,35.79732089,8.40778806,515.50015128,22,22,11261,3547,3384,52,111,20,11261,3267,3258,96.2766,93.8830,81,2.3936,-93.8830,45,1.3298,-94.9468,3384,saied,zammel,93.8830,29.0116,90.9091
TN2357,2357,Kalaa Khesba,القلعة الخصباء,Le Kef,الكاف,North West,35.72742577,8.51853062,206.47911466,8,8,5045,1725,1651,21,53,8,5045,1725,1573,95.2756,92.1260,52,3.1496,-92.1260,26,1.5748,-93.7008,1651,saied,zammel,92.1260,34.1923,100.0000
TN2358,2358,Jerissa,الجريصة,Le Kef,الكاف,North West,35.81677081,8.64351944,176.37869524,14,14,7894,2847,2642,31,174,13,7894,2400,2541,96.1771,94.2468,50,1.8925,-94.2846,51,1.9304,-94.2468,2642,saied,maghzaoui,94.2468,30.4028,92.8571
TN2359,2359,Ksour,القصور,Le Kef,الكاف,North West,35.83013578,8.94159024,450.40123114,20,20,13156,4018,3775,72,171,20,13156,4018,3609,95.6026,92.9536,100,2.6490,-92.9536,66,1.7483,-93.8543,3775,saied,zammel,92.9536,30.5412,100.0000
TN2360,2360,Dahmani,الدهماني,Le Kef,الكاف,North West,35.93529065,8.79479725,550.38448582,33,33,20692,6546,6213,85,248,32,20692,6288,5963,95.9762,93.1273,177,2.8489,-93.1273,73,1.1750,-94.8012,6213,saied,zammel,93.1273,30.3886,96.9697
TN2361,2361,Es Sers,السرس,Le Kef,الكاف,North West,36.06278794,9.04856927,430.76650484,23,23,17518,6113,5800,67,246,23,17518,6113,5567,95.9828,93.2241,160,2.7586,-93.2241,73,1.2586,-94.7241,5800,saied,zammel,93.2241,34.8955,100.0000
TN2451,2451,Siliana Nord,سليانة الشمالية,Siliana,سليانـــة,North West,36.03059878,9.22358875,386.3263561,35,34,25461,7396,7949,114,209,29,22734,7286,7299,91.8229,84.7402,563,7.0827,-84.7402,87,1.0945,-90.7284,7949,saied,zammel,84.7402,32.0489,82.8571
TN2452,2452,Siliana Sud,سليانة الجنوبية,Siliana,سليانـــة,North West,35.96968988,9.42981161,493.17727843,38,38,26771,8306,8167,101,260,36,26771,8306,7530,92.2003,85.2577,567,6.9426,-85.2577,70,0.8571,-91.3432,8167,saied,zammel,85.2577,31.0261,94.7368
TN2453,2453,Bouarada,بوعرادة,Siliana,سليانـــة,North West,36.31348704,9.63153076,376.76092567,21,21,16093,5480,5259,42,179,21,16093,5480,4982,94.7328,90.3594,230,4.3735,-90.3594,47,0.8937,-93.8391,5259,saied,zammel,90.3594,34.0521,100.0000
TN2454,2454,Gaafour,قعفور,Siliana,سليانـــة,North West,36.25215736,9.33247916,461.11133925,18,18,11743,4224,4741,66,162,15,10962,3803,4500,94.9167,91.3099,171,3.6068,-91.3099,70,1.4765,-93.4402,4741,saied,zammel,91.3099,34.6926,83.3333
TN2455,2455,El Krib,الكريب,Siliana,سليانـــة,North West,36.34814834,9.12632324,424.34574993,21,21,14587,5119,5068,50,167,20,14100,5119,4883,96.3496,93.5478,142,2.8019,-93.5478,43,0.8485,-95.5012,5068,saied,zammel,93.5478,36.3050,95.2381
TN2456,2456,Bourouis,بورويس,Siliana,سليانـــة,North West,36.1884572,9.13198962,274.41894678,15,15,7314,2170,3140,33,86,10,5487,1707,2955,94.1083,89.2038,154,4.9045,-89.2038,31,0.9873,-93.1210,3140,saied,zammel,89.2038,31.1099,66.6667
TN2457,2457,Makthar,مكثر,Siliana,سليانـــة,North West,35.87022672,9.16367859,347.30971736,31,31,17069,6049,7475,109,200,27,17069,6049,6809,91.0903,83.0502,601,8.0401,-83.0502,65,0.8696,-90.2207,7475,saied,zammel,83.0502,35.4385,87.0968
TN2458,2458,Rouhia,الروحية,Siliana,سليانـــة,North West,35.65717545,9.1480848,662.06496428,32,32,21399,6340,6415,59,194,30,20358,6073,6151,95.8846,93.4684,155,2.4162,-93.4684,109,1.6991,-94.1855,6415,saied,zammel,93.4684,29.8310,93.7500
TN2459,2459,Kesra,كسرى,Siliana,سليانـــة,North West,35.80336615,9.39187393,439.48168526,19,19,11370,4518,4843,43,119,15,10570,3928,3943,81.4165,63.5350,866,17.8815,-63.5350,34,0.7020,-80.7144,4843,saied,zammel,63.5350,37.1618,78.9474
TN2460,2460,Bargou,برقو,Siliana,سليانـــة,North West,36.1002164,9.62313788,457.88224477,18,18,9151,3993,3883,42,137,16,9151,3628,3656,94.1540,89.3896,185,4.7644,-89.3896,42,1.0816,-93.0724,3883,saied,zammel,89.3896,39.6459,88.8889
TN2461,2461,Laroussa,العروسة,Siliana,سليانـــة,North West,36.35383202,9.44913357,360.60947566,11,10,6154,2061,2361,27,88,9,6154,2061,2250,95.2986,91.5290,89,3.7696,-91.5290,22,0.9318,-94.3668,2361,saied,zammel,91.5290,33.4904,81.8182
TN3151,3151,Sousse Médina,سوسة المدينة,Sousse,سوسة,Centre East,35.83648301,10.63198215,6.66062497,31,31,30914,9390,9593,146,392,27,30914,8889,8243,85.9272,74.1791,1127,11.7481,-74.1791,223,2.3246,-83.6026,9593,saied,zammel,74.1791,28.7540,87.0968
TN3152,3152,Sousse Riadh,سوسة الرياض,Sousse,سوسة,Centre East,35.80479345,10.59675987,10.08914116,49,49,51722,15065,14695,177,412,46,51722,14477,13446,91.5005,84.5662,1019,6.9343,-84.5662,230,1.5652,-89.9354,14695,saied,zammel,84.5662,27.9900,93.8776
TN3153,3153,Sousse Jaouhara,سوسة جوهرة,Sousse,سوسة,Centre East,35.82876075,10.61194751,13.84949061,57,57,53478,15405,16262,243,580,44,47889,13301,13937,85.7029,74.0930,1888,11.6099,-74.0930,437,2.6872,-83.0156,16262,saied,zammel,74.0930,27.7746,77.1930
TN3154,3154,Sousse Sidi Abdelhamid,سوسة سيدي عبد الحميد,Sousse,سوسة,Centre East,35.79614679,10.66088157,12.41659161,35,35,37180,9992,9520,119,353,33,37180,9420,9109,95.6828,92.3214,320,3.3613,-92.3214,91,0.9559,-94.7269,9520,saied,zammel,92.3214,25.3362,94.2857
TN3155,3155,Hammam Sousse,حمام سوسة,Sousse,سوسة,Centre East,35.874696,10.59389321,17.9956384,43,43,45275,11268,11220,219,428,40,45101,10972,9543,85.0535,73.1016,1341,11.9519,-73.1016,336,2.9947,-82.0588,11220,saied,zammel,73.1016,24.3276,93.0233
TN3156,3156,Akouda,اكودة,Sousse,سوسة,Centre East,35.90522496,10.56218201,44.76255132,28,28,25787,8458,8446,121,274,24,24694,7446,7667,90.7767,83.5543,610,7.2224,-83.5543,169,2.0009,-88.7758,8446,saied,zammel,83.5543,30.1531,85.7143
TN3157,3157,Kalaa Kebira,القلعة الكبرى,Sousse,سوسة,Centre East,35.86843854,10.45277894,238.38553272,37,37,35608,10601,10970,129,335,32,33838,9813,10240,93.3455,88.2771,556,5.0684,-88.2771,174,1.5861,-91.7593,10970,saied,zammel,88.2771,28.9999,86.4865
TN3158,3158,Sidi Bou Ali,سيدي بوعلي,Sousse,سوسة,Centre East,35.96929495,10.42554516,129.51880447,16,16,15922,5047,5288,53,182,14,14540,4680,5047,95.4425,92.5113,155,2.9312,-92.5113,86,1.6263,-93.8162,5288,saied,zammel,92.5113,32.1871,87.5000
TN3159,3159,Hergla,هرقلة,Sousse,سوسة,Centre East,36.02827808,10.44593077,95.46069802,8,8,6744,2558,2387,32,139,7,6528,2065,2241,93.8835,89.3590,108,4.5245,-89.3590,38,1.5920,-92.2916,2387,saied,zammel,89.3590,31.6330,87.5000
TN3160,3160,Enfidha,النفيضة,Sousse,سوسة,Centre East,36.12779542,10.33587033,377.86781458,42,42,33841,13241,13925,138,431,35,32745,11604,13443,96.5386,93.9892,355,2.5494,-93.9892,127,0.9120,-95.6266,13925,saied,zammel,93.9892,35.4375,83.3333
TN3161,3161,Bouficha,بوفيشة,Sousse,سوسة,Centre East,36.27436497,10.42620837,261.2003376,23,23,18390,7405,7408,87,261,20,18390,6811,7052,95.1944,91.8602,247,3.3342,-91.8602,109,1.4714,-93.7230,7408,saied,zammel,91.8602,37.0364,86.9565
TN3162,3162,Kondar,كندار,Sousse,سوسة,Centre East,35.90446809,10.24502975,178.32285752,12,12,7723,3089,3208,23,98,10,7723,2736,3083,96.1035,93.1421,95,2.9613,-93.1421,30,0.9352,-95.1683,3208,saied,zammel,93.1421,35.4266,83.3333
TN3163,3163,Sidi El Heni,سيدي الهاني,Sousse,سوسة,Centre East,35.69931118,10.31891555,320.90729538,15,15,10706,3010,2868,40,102,14,10706,2843,2752,95.9554,92.9219,87,3.0335,-92.9219,29,1.0112,-94.9442,2868,saied,zammel,92.9219,26.5552,93.3333
TN3164,3164,M'Saken,مساكن,Sousse,سوسة,Centre East,35.67310176,10.53876788,334.23815292,65,65,64390,17795,17698,257,522,58,61537,17143,15498,87.5692,76.9918,1872,10.5775,-76.9918,328,1.8533,-85.7159,17698,saied,zammel,76.9918,27.8580,89.2308
TN3165,3165,Kalaa Sghira,القلعة الصغرى,Sousse,سوسة,Centre East,35.79798875,10.47091273,102.52871571,28,28,27756,8952,8932,93,317,27,27756,8952,8297,92.8907,87.1585,512,5.7322,-87.1585,123,1.3771,-91.5137,8932,saied,zammel,87.1585,32.2525,96.4286
TN3166,3166,Zaouia Ksiba Thraya,الزاوية - القصيبة - الثريات,Sousse,سوسة,Centre East,35.76801713,10.63817848,37.03676266,24,24,22247,8974,8775,95,312,21,21409,8121,8270,94.2450,89.4701,419,4.7749,-89.4701,86,0.9801,-93.2650,8775,saied,zammel,89.4701,37.9326,87.5000
TN3251,3251,Monastir,المنستير,Monastir,المنستير,Centre East,35.73950189,10.79882403,60.60367128,77,77,79689,24212,23792,345,731,73,78558,23522,21104,88.7021,79.6318,2158,9.0703,-79.6318,530,2.2276,-86.4744,23792,saied,zammel,79.6318,29.9422,94.8052
TN3252,3252,Ouerdanine,الوردانين,Monastir,المنستير,Centre East,35.70105815,10.6771591,51.31668602,18,18,15190,5517,5832,62,165,16,15190,5127,5580,95.6790,92.3525,194,3.3265,-92.3525,58,0.9945,-94.6845,5832,saied,zammel,92.3525,33.7525,88.8889
TN3253,3253,Sahline,الساحلين,Monastir,المنستير,Centre East,35.74194675,10.7225846,42.28398251,21,21,21864,8494,8134,75,285,20,21864,8015,7497,92.1687,85.4807,544,6.6880,-85.4807,93,1.1433,-91.0253,8134,saied,zammel,85.4807,36.6584,95.2381
TN3254,3254,Zeramdine,زرمدين,Monastir,المنستير,Centre East,35.56441494,10.69497274,248.74362868,25,25,22038,5719,5768,50,138,22,21144,5242,5351,92.7705,87.3093,315,5.4612,-87.3093,102,1.7684,-91.0021,5768,saied,zammel,87.3093,24.7919,88.0000
TN3255,3255,Beni Hassen,بني حسان,Monastir,المنستير,Centre East,35.53502935,10.77838073,86.31287931,11,11,9795,4123,3988,40,95,9,9795,3404,3837,96.2136,93.4303,111,2.7834,-93.4303,40,1.0030,-95.2106,3988,saied,zammel,93.4303,34.7524,81.8182
TN3256,3256,Jammel,جمال,Monastir,المنستير,Centre East,35.60671711,10.77325531,156.56427281,50,50,45080,15206,14735,124,347,45,45080,13467,13886,94.2382,89.6980,669,4.5402,-89.6980,180,1.2216,-93.0166,14735,saied,zammel,89.6980,29.8736,90.0000
TN3257,3257,Bembla,بنبلة,Monastir,المنستير,Centre East,35.68150803,10.7585481,48.91967258,25,25,23732,7667,7627,113,237,24,23732,7667,7052,92.4610,86.0758,487,6.3852,-86.0758,88,1.1538,-91.3072,7627,saied,zammel,86.0758,32.3066,96.0000
TN3258,3258,Moknine,المكنين,Monastir,المنستير,Centre East,35.53680325,10.87785753,197.28033251,81,81,66427,22858,22842,196,385,77,65889,22629,21888,95.8235,92.6670,721,3.1565,-92.6670,233,1.0201,-94.8034,22842,saied,zammel,92.6670,34.3441,95.0617
TN3259,3259,Bekalta,البقالطة,Monastir,المنستير,Centre East,35.5966003,11.00993816,43.99039503,15,15,13156,3542,3971,57,86,13,11304,3542,3729,93.9058,89.1967,187,4.7091,-89.1967,55,1.3850,-92.5208,3971,saied,zammel,89.1967,31.3340,86.6667
TN3260,3260,Teboulba,طبلبة,Monastir,المنستير,Centre East,35.63980231,10.96125119,19.47028279,27,26,27078,10800,10484,109,205,25,26950,10261,9818,93.6475,88.4109,549,5.2366,-88.4109,117,1.1160,-92.5315,10484,saied,zammel,88.4109,38.0742,92.5926
TN3261,3261,Ksar Hellal,قصر هلال,Monastir,المنستير,Centre East,35.6374095,10.86979348,22.01455758,41,41,38254,13847,13311,160,376,38,38254,12750,12413,93.2537,87.7395,734,5.5142,-87.7395,164,1.2321,-92.0216,13311,saied,zammel,87.7395,33.3298,92.6829
TN3262,3262,Ksibet El Mediouni,قصيبة المديوني,Monastir,المنستير,Centre East,35.64458546,10.81614473,37.12382847,27,27,24981,10243,9897,104,242,23,24981,8699,9223,93.1899,87.8044,533,5.3855,-87.8044,141,1.4247,-91.7652,9897,saied,zammel,87.8044,34.8225,85.1852
TN3263,3263,Sayada-Lamta-Bou Hjar,صيادة - لمطة - بوحجر,Monastir,المنستير,Centre East,35.6672541,10.88621845,12.78186636,23,23,20534,7352,7134,81,137,20,20534,6496,6567,92.0521,85.8424,443,6.2097,-85.8424,124,1.7382,-90.3140,7134,saied,zammel,85.8424,31.6353,86.9565
TN3351,3351,Mahdia,المهدية,Mahdia,المهدية,Centre East,35.48768806,10.96268589,165.97474201,69,68,69729,19955,19195,317,443,67,69729,19638,17523,91.2894,84.6523,1274,6.6371,-84.6523,398,2.0735,-89.2159,19195,saied,zammel,84.6523,28.1633,97.1014
TN3352,3352,Boumerdès,بومرداس,Mahdia,المهدية,Centre East,35.42431899,10.69654898,191.0238934,28,28,23842,8543,8692,101,243,25,23066,8251,8295,95.4326,92.0387,295,3.3939,-92.0387,102,1.1735,-94.2591,8692,saied,zammel,92.0387,35.7713,89.2857
TN3353,3353,Ouled Chamekh,أولاد شامخ,Mahdia,المهدية,Centre East,35.47809665,10.33924434,357.75482849,23,23,18253,5483,5314,52,117,21,18253,4871,5128,96.4998,94.1852,123,2.3146,-94.1852,63,1.1855,-95.3143,5314,saied,zammel,94.1852,26.6860,91.3043
TN3354,3354,Chorbane,شربان,Mahdia,المهدية,Centre East,35.22691807,10.43534304,444.48624656,26,26,20641,7420,7084,109,227,25,20641,6943,6718,94.8334,91.3185,249,3.5150,-91.3185,117,1.6516,-93.1818,7084,saied,zammel,91.3185,33.6369,96.1538
TN3355,3355,Hbira,هبيرة,Mahdia,المهدية,Centre East,35.2775832,10.22640718,315.81617663,12,12,8831,2834,2687,35,112,12,8831,2834,2563,95.3852,91.7752,97,3.6100,-91.7752,27,1.0048,-94.3803,2687,saied,zammel,91.7752,32.0915,100.0000
TN3356,3356,Souassi,السواسي,Mahdia,المهدية,Centre East,35.34081133,10.50319365,343.10951094,48,48,40739,11798,11545,172,347,47,39547,11798,10950,94.8463,91.0437,439,3.8025,-91.0437,156,1.3512,-93.4950,11545,saied,zammel,91.0437,29.8329,97.9167
TN3357,3357,El Jem,الجم,Mahdia,المهدية,Centre East,35.31584753,10.72427929,286.43385667,40,40,35929,9607,9400,181,210,37,35929,8851,8757,93.1596,87.4043,541,5.7553,-87.4043,102,1.0851,-92.0745,9400,saied,zammel,87.4043,24.6347,92.5000
TN3358,3358,Chebba,الشابة,Mahdia,المهدية,Centre East,35.224897,11.06111603,116.48201848,26,26,26089,8288,7957,173,158,26,26089,8288,7365,92.5600,86.9423,447,5.6177,-86.9423,145,1.8223,-90.7377,7957,saied,zammel,86.9423,31.7682,100.0000
TN3359,3359,Melloulech,ملولش,Mahdia,المهدية,Centre East,35.18003874,10.98821703,160.31186872,19,19,16597,4505,4836,103,104,17,15538,4505,4642,95.9884,93.3002,130,2.6882,-93.3002,64,1.3234,-94.6650,4836,saied,zammel,93.3002,28.9934,89.4737
TN3360,3360,Sidi Alouane,سيدي علوان,Mahdia,المهدية,Centre East,35.28774526,10.89055667,288.90772779,36,36,31376,8844,8473,102,269,36,31376,8844,8143,96.1053,93.1665,249,2.9387,-93.1665,81,0.9560,-95.1493,8473,saied,zammel,93.1665,28.1871,100.0000
TN3361,3361,Ksour Essef,قصور الساف,Mahdia,المهدية,Centre East,35.35635043,10.99511969,220.48409822,46,46,39620,11493,11282,199,214,43,38637,11085,10591,93.8752,89.1952,528,4.6800,-89.1952,163,1.4448,-92.4304,11282,saied,zammel,89.1952,28.6901,93.4783
TN3451,3451,Sfax Médina,صفاقس المدينة,Sfax,صفاقس,Centre East,34.7331952,10.76344228,27.826265,76,76,78305,28320,28653,317,838,70,78302,27319,24458,85.3593,73.2140,3480,12.1453,-73.2140,715,2.4954,-82.8639,28653,saied,zammel,73.2140,34.8893,92.1053
TN3452,3452,Sfax Ouest,صفاقس الغريبة,Sfax,صفاقس,Centre East,34.73515586,10.72175679,16.19578994,77,77,81230,28271,28410,342,743,72,80085,27521,24737,87.0715,76.5048,3002,10.5667,-76.5048,671,2.3618,-84.7096,28410,saied,zammel,76.5048,34.3647,93.5065
TN3453,3453,Sakiet Ezzit,ساقية الزيت,Sfax,صفاقس,Centre East,34.86032463,10.73997151,92.76021166,78,78,79454,28647,28336,342,727,74,78235,27837,23433,82.6969,67.9277,4185,14.7692,-67.9277,718,2.5339,-80.1630,28336,saied,zammel,67.9277,35.5813,94.8718
TN3454,3454,Sakiet Eddaier,ساقية الدائر,Sfax,صفاقس,Centre East,34.83648386,10.82974727,113.15858097,81,81,84284,28746,28122,311,690,76,83217,27221,23953,85.1753,72.4593,3576,12.7160,-72.4593,593,2.1087,-83.0666,28122,saied,zammel,72.4593,32.7109,93.8272
TN3455,3455,Sfax Sud,صفاقس الجنوبية,Sfax,صفاقس,Centre East,34.83368276,10.65911936,196.08770685,87,87,82414,33297,31965,419,913,79,82373,29578,26606,83.2348,68.9348,4571,14.3000,-68.9348,788,2.4652,-80.7696,31965,saied,zammel,68.9348,35.9074,90.8046
TN3456,3456,Thyna,طينة,Sfax,صفاقس,Centre East,34.6817095,10.68336588,102.37106053,40,40,42117,15660,15080,134,446,39,42117,15178,14118,93.6207,88.7931,728,4.8276,-88.7931,234,1.5517,-92.0690,15080,saied,zammel,88.7931,36.0377,97.5000
TN3457,3457,Agareb,عقارب,Sfax,صفاقس,Centre East,34.74480888,10.46034943,735.43585798,40,40,29555,11826,11370,129,327,38,29462,10927,10361,91.1258,83.9578,815,7.1680,-83.9578,194,1.7062,-89.4195,11370,saied,zammel,83.9578,37.0885,95.0000
TN3458,3458,Jebeniana,جبنيانة,Sfax,صفاقس,Centre East,35.09400799,10.88963308,253.32381366,42,42,39575,9993,9574,150,267,41,39575,9688,8677,90.6309,83.2672,705,7.3637,-83.2672,192,2.0054,-88.6254,9574,saied,zammel,83.2672,24.4801,97.6190
TN3459,3459,El Amra,العامرة,Sfax,صفاقس,Centre East,34.93615941,10.86073695,180.26191149,26,26,21816,5743,5521,74,148,25,21816,5324,4884,88.4622,79.8768,474,8.5854,-79.8768,163,2.9524,-85.5099,5521,saied,zammel,79.8768,24.4041,96.1538
TN3460,3460,Hencha,الحنشة,Sfax,صفاقس,Centre East,35.08732284,10.71489345,526.76367495,45,45,39559,12531,12164,105,262,44,39559,12268,11527,94.7632,90.6116,505,4.1516,-90.6116,132,1.0852,-93.6781,12164,saied,zammel,90.6116,31.0119,97.7778
TN3461,3461,Menzel Chaker,منزل شاكر,Sfax,صفاقس,Centre East,35.02909922,10.38337903,1636.28387674,39,39,28440,9172,8846,79,247,39,28440,9172,8377,94.6982,90.8207,343,3.8775,-90.8207,126,1.4244,-93.2738,8846,saied,zammel,90.8207,32.2504,100.0000
TN3462,3462,El Ghraiba,الغريبة,Sfax,صفاقس,Centre East,34.48491901,10.20076365,431.48054635,15,15,12863,3484,3332,47,105,15,12863,3484,3090,92.7371,87.5150,174,5.2221,-87.5150,68,2.0408,-90.6963,3332,saied,zammel,87.5150,27.0854,100.0000
TN3463,3463,Bir Ali Ben Khélifa,بئر علي بن خليفة,Sfax,صفاقس,Centre East,34.76329638,10.11976176,1208.06652612,66,66,44132,11719,11376,110,233,66,44132,11719,10672,93.8115,89.3460,508,4.4655,-89.3460,196,1.7229,-92.0886,11376,saied,zammel,89.3460,26.5544,100.0000
TN3464,3464,Skhira,الصخيرة,Sfax,صفاقس,Centre East,34.34530262,9.97053351,909.30629044,43,43,25573,9886,9564,87,235,40,25377,8872,8376,87.5784,79.2033,801,8.3752,-79.2033,387,4.0464,-83.5320,9564,saied,zammel,79.2033,34.9608,93.0233
TN3465,3465,Mahres,المحرس,Sfax,صفاقس,Centre East,34.52832744,10.46421443,435.907112,33,33,30220,9307,9199,78,246,30,29277,8476,8717,94.7603,91.2708,321,3.4895,-91.2708,161,1.7502,-93.0101,9199,saied,zammel,91.2708,28.9511,90.9091
TN3466,3466,Kerkennah,قرقنة,Sfax,صفاقس,Centre East,34.643407,11.03777065,152.16641536,18,18,15742,4674,4502,51,121,18,15742,4674,4139,91.9369,86.4283,248,5.5087,-86.4283,115,2.5544,-89.3825,4502,saied,zammel,86.4283,29.6913,100.0000
TN4151,4151,Kairouan Nord,القيروان الشمالية,Kairouan,القيروان,Centre West,35.74265368,10.09261841,250.85850481,29,28,25943,6564,6331,71,162,27,25943,6442,5801,91.6285,84.2205,469,7.4080,-84.2205,61,0.9635,-90.6650,6331,saied,zammel,84.2205,24.8314,93.1034
TN4152,4152,Kairouan Sud,القيروان الجنوبية,Kairouan,القيروان,Centre West,35.57633803,10.15938702,519.02787779,37,37,35007,8925,8586,98,241,35,35007,8478,8081,94.1183,89.1801,424,4.9383,-89.1801,81,0.9434,-93.1749,8586,saied,zammel,89.1801,24.2180,94.5946
TN4153,4153,Chebika,الشبيكة,Kairouan,القيروان,Centre West,35.65887244,9.92764933,512.62957308,26,26,18285,6144,5928,41,175,24,18285,5789,5743,96.8792,94.7368,127,2.1424,-94.7368,58,0.9784,-95.9008,5928,saied,zammel,94.7368,31.6598,92.3077
TN4154,4154,Sbikha,السبيخة,Kairouan,القيروان,Centre West,35.95098906,10.02598148,1058.21705885,39,39,33324,9342,9110,92,228,38,33324,9342,8825,96.8716,94.5664,210,2.3052,-94.5664,75,0.8233,-96.0483,9110,saied,zammel,94.5664,28.0338,97.4359
TN4155,4155,Oueslatia,الوسلاتية,Kairouan,القيروان,Centre West,35.89336582,9.63111328,912.46411075,34,34,20843,6985,6977,53,254,32,20843,6843,6729,96.4455,93.6649,194,2.7806,-93.6649,54,0.7740,-95.6715,6977,saied,zammel,93.6649,32.8312,94.1176
TN4156,4156,Haffouz,حفوز,Kairouan,القيروان,Centre West,35.61649856,9.73591571,611.3089221,26,26,19258,6634,6607,81,232,24,18719,6422,6405,96.9426,94.3999,168,2.5428,-94.3999,34,0.5146,-96.4280,6607,saied,zammel,94.3999,34.3074,92.3077
TN4157,4157,Alaa,العلاء,Kairouan,القيروان,Centre West,35.62919793,9.48259407,361.29397153,31,31,19629,6600,6249,92,259,29,19629,6112,6080,97.2956,95.5993,106,1.6963,-95.5993,63,1.0082,-96.2874,6249,saied,zammel,95.5993,31.1376,93.5484
TN4158,4158,Hajeb El Ayoun,حاجب العيون,Kairouan,القيروان,Centre West,35.41660296,9.59947577,582.93813888,39,39,28946,10018,9554,126,338,38,28946,9789,9247,96.7867,94.7771,192,2.0096,-94.7771,115,1.2037,-95.5830,9554,saied,zammel,94.7771,33.8181,97.4359
TN4159,4159,Nasrallah,نصر اللّه,Kairouan,القيروان,Centre West,35.33767325,9.81266761,685.09858898,33,33,24848,7431,7344,60,180,31,23896,7263,7131,97.0997,95.1117,146,1.9880,-95.1117,67,0.9123,-96.1874,7344,saied,zammel,95.1117,30.3942,93.9394
TN4160,4160,Chrarda,الشراردة,Kairouan,القيروان,Centre West,35.15057191,10.1051927,329.89130678,27,27,15970,4455,4329,43,84,26,15970,4276,4126,95.3107,91.7302,155,3.5805,-91.7302,48,1.1088,-94.2019,4329,saied,zammel,91.7302,26.7752,96.2963
TN4161,4161,Bouhajla,بوحجلة,Kairouan,القيروان,Centre West,35.38307695,10.04219578,689.45800584,44,44,34859,8612,8294,60,258,42,34859,8259,8005,96.5156,94.0318,206,2.4837,-94.0318,83,1.0007,-95.5148,8294,saied,zammel,94.0318,23.6926,95.4545
TN4251,4251,Kasserine Nord,القصرين الشمالية,Kassérine,القصرين,Centre West,35.21578591,8.76988714,97.77942176,56,56,43259,15498,18664,206,500,38,39581,13396,17329,92.8472,87.6929,962,5.1543,-87.6929,373,1.9985,-90.8487,18664,saied,zammel,87.6929,33.8445,67.8571
TN4252,4252,Kasserine Sud,القصرين الجنوبية,Kassérine,القصرين,Centre West,35.09786841,8.79065127,865.48082244,18,18,8765,4233,5389,77,127,13,8765,3846,5148,95.5279,92.3919,169,3.1360,-92.3919,72,1.3361,-94.1919,5389,saied,zammel,92.3919,43.8791,72.2222
TN4253,4253,Ezzouhour,الزهور,Kassérine,القصرين,Centre West,35.15881205,8.83077981,3.17056637,22,22,15102,6993,6740,76,177,18,15019,5439,6415,95.1780,91.5134,247,3.6647,-91.5134,78,1.1573,-94.0208,6740,saied,zammel,91.5134,36.2141,81.8182
TN4254,4254,Hassi El Ferid,حاسي الفريد,Kassérine,القصرين,Centre West,34.96267984,8.91025045,969.11277235,25,25,9198,4372,4584,47,108,19,9198,3086,4370,95.3316,92.0593,150,3.2723,-92.0593,64,1.3962,-93.9354,4584,saied,zammel,92.0593,33.5508,76.0000
TN4255,4255,Sbeitla,سبيطلة,Kassérine,القصرين,Centre West,35.24214293,9.05779248,1115.30091584,75,75,51618,15726,16477,159,433,63,48713,14284,15750,95.5878,92.1527,566,3.4351,-92.1527,161,0.9771,-94.6107,16477,saied,zammel,92.1527,29.3228,84.0000
TN4256,4256,Sbiba,سبيبة,Kassérine,القصرين,Centre West,35.49605282,9.16933877,447.46984355,44,44,25022,8747,9216,96,232,34,25022,7628,8782,95.2908,91.4822,351,3.8086,-91.4822,83,0.9006,-94.3902,9216,saied,zammel,91.4822,30.4852,77.2727
TN4257,4257,Jedeliane,جدليان,Kassérine,القصرين,Centre West,35.65703618,8.8863631,275.10332083,17,17,7909,2840,3743,32,87,14,6747,2561,3574,95.4849,92.1186,126,3.3663,-92.1186,43,1.1488,-94.3361,3743,saied,zammel,92.1186,37.9576,82.3529
TN4258,4258,Ayoun,العيون,Kassérine,القصرين,Centre West,35.48989943,8.90936122,411.57670123,22,22,8893,3874,4442,37,136,15,8893,2917,4257,95.8352,93.0212,125,2.8140,-93.0212,60,1.3507,-94.4845,4442,saied,zammel,93.0212,32.8011,68.1818
TN4259,4259,Thala,تالة,Kassérine,القصرين,Centre West,35.57671385,8.66070548,716.65673253,35,35,20866,7435,7950,101,238,28,20259,6825,7667,96.4403,93.9874,195,2.4528,-93.9874,88,1.1069,-95.3333,7950,saied,zammel,93.9874,33.6887,80.0000
TN4260,4260,Hidra,حيدرة,Kassérine,القصرين,Centre West,35.54079882,8.46685708,496.0466956,12,12,6161,2479,2495,24,74,11,6161,2479,2380,95.3908,92.7856,65,2.6052,-92.7856,50,2.0040,-93.3868,2495,saied,zammel,92.7856,40.2370,91.6667
