adm3_pcode,id_delegation,delegation_name,delegation_name_ar,governorate_name,governorate_name_ar,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN1555,1555,Menzel Temime,منزل تميم,Nabeul,نابل,North East,36.8075042,10.88955083,259.90661403,52,52,44782,15190,14922,156,451,48,44782,14031,14222,95.3089,91.9247,505,3.3843,-91.9247,195,1.3068,-94.0021,14922,saied,zammel,91.9247,31.3318,92.3077
TN1556,1556,El Mida,الميدة,Nabeul,نابل,North East,36.72063068,10.8584158,155.20936919,24,23,19887,6748,7339,76,197,19,17236,6252,6788,96.8884,94.7331,151,2.1553,-94.7331,67,0.9563,-95.9321,7006,saied,zammel,94.7331,36.2729,79.1667
TN1557,1557,Kelibia,قليبية,Nabeul,نابل,North East,36.87935765,11.00535266,125.35452247,47,47,47047,15711,15572,144,383,45,47047,15305,14603,93.7773,88.8389,769,4.9384,-88.8389,200,1.2844,-92.4929,15572,saied,zammel,88.8389,32.5313,95.7447
TN1558,1558,Hammam Ghezaz,حمام الأغزاز,Nabeul,نابل,North East,36.93326404,11.06813832,93.73836598,15,15,11034,4703,4503,44,156,12,11027,3546,4344,96.4690,94.0928,107,2.3762,-94.0928,52,1.1548,-95.3142,4503,saied,zammel,94.0928,32.1574,80.0000
TN1559,1559,Haouaria,الهوارية,Nabeul,نابل,North East,36.9545203,10.91316317,309.97085484,38,38,29837,10572,11943,112,290,33,29177,10572,11563,96.8182,94.6663,257,2.1519,-94.6663,123,1.0299,-95.7883,11943,saied,zammel,94.6663,36.2340,86.8421
TN1560,1560,Takelsa,تاكلسة,Nabeul,نابل,North East,36.79357242,10.67518744,278.43156977,21,21,15971,7526,7246,63,217,20,15971,7152,6975,96.2600,93.8311,176,2.4289,-93.8311,95,1.3111,-94.9489,7246,saied,zammel,93.8311,44.7812,95.2381
TN1561,1561,Soliman,سليمان,Nabeul,نابل,North East,36.74959488,10.55682039,142.28627011,41,41,38309,13815,14110,189,432,36,38309,13143,12980,91.9915,85.8257,870,6.1658,-85.8257,260,1.8427,-90.1488,14110,saied,zammel,85.8257,34.3079,87.8049
TN1562,1562,Menzel Bouzelfa,منزل بوزلفة,Nabeul,نابل,North East,36.70450814,10.60013568,132.38911291,31,31,28462,9496,10444,101,283,24,23690,8379,9994,95.6913,92.5412,329,3.1501,-92.5412,121,1.1586,-94.5327,10444,saied,zammel,92.5412,35.3694,77.4194
TN1563,1563,Beni Khalled,بني خلاد,Nabeul,نابل,North East,36.62490183,10.63492693,114.6323248,32,32,30791,10533,10418,103,342,31,30791,10533,9943,95.4406,91.9754,361,3.4652,-91.9754,114,1.0943,-94.3463,10418,saied,zammel,91.9754,34.2080,96.8750
TN1564,1564,Grombalia,قرمبالية,Nabeul,نابل,North East,36.5933146,10.46316342,297.27077334,50,50,41918,17251,18036,192,507,42,40743,15453,16956,94.0120,89.2936,851,4.7183,-89.2936,229,1.2697,-92.7423,18036,saied,zammel,89.2936,37.9280,84.0000
