date,year,language,slug,title_from_slug,attachments,section,source_url,drive_folder_id
2018-04-17,2018,fr,municipales-2018-run2vote-nouveau-jeu-video-jeunes,municipales 2018 run2vote nouveau jeu video jeunes,0,actualites,https://www.isie.tn/actualites/2018/04/17/municipales-2018-run2vote-nouveau-jeu-video-jeunes/,1RpLKztUrzFJ0DAAYQ_jT_T2Fz0RYLsrv
2018-04-18,2018,fr,listes-preliminaires-des-membres-des-bureaux-de-vote,listes preliminaires des membres des bureaux de vote,0,actualites,https://www.isie.tn/actualites/2018/04/18/listes-preliminaires-des-membres-des-bureaux-de-vote/,1gVnX5t06ownCFSyShqFS-RYlExEnpzgi
2018-04-19,2018,fr,municipales-2018-manuel-de-vote-de-depouillement,municipales 2018 manuel de vote de depouillement,0,actualites,https://www.isie.tn/actualites/2018/04/19/municipales-2018-manuel-de-vote-de-depouillement/,17NIZQKoTBkpAmM0OruemXUPdM6mnaqpJ
2018-05-07,2018,fr,elections-municipales-2018-taux-de-participation,elections municipales 2018 taux de participation,0,actualites,https://www.isie.tn/actualites/2018/05/07/elections-municipales-2018-taux-de-participation/,1hkk_xdOva2XfRaMMMmw7sgle0zq1RWAA
2018-05-11,2018,fr,elections-municipales-2018-resultats-preliminaires,elections municipales 2018 resultats preliminaires,0,actualites,https://www.isie.tn/actualites/2018/05/11/elections-municipales-2018-resultats-preliminaires/,1bWGbZA3jTGNFFad_ogi-NPy3Xf1d-HpC
2018-05-13,2018,fr,resultats-preliminaires-avec-la-repartition-des-sieges,resultats preliminaires avec la repartition des sieges,0,actualites,https://www.isie.tn/actualites/2018/05/13/resultats-preliminaires-avec-la-repartition-des-sieges/,1KA28CRZzlLhTo0DaenOZiv_2ExzeYw4z
2018-05-15,2018,fr,decision-du-conseil-de-lisie-6-mai-2018,decision du conseil de lisie 6 mai 2018,0,actualites,https://www.isie.tn/actualites/2018/05/15/decision-du-conseil-de-lisie-6-mai-2018/,1fCd2z1BFzkPYbAh_JNpVUS7AqbGiz6Mr
2019-02-08,2019,fr,decision-n1-de-l-isie-pour-lannee-2019,decision n1 de l isie pour lannee 2019,0,actualites,https://www.isie.tn/actualites/2019/02/08/decision-n1-de-l-isie-pour-lannee-2019/,1nEwDFr_2gZxPqSMIqiFKaSNPI6Xn_0PM
2019-02-08,2019,fr,decision-n2-de-l-isie-pour-lannee-2019,decision n2 de l isie pour lannee 2019,0,actualites,https://www.isie.tn/actualites/2019/02/08/decision-n2-de-l-isie-pour-lannee-2019/,1bXoWh7QdWY5-I8Y7Cr-bPVPGsm5ych-d
2019-03-26,2019,fr,decision-de-lisie-n7-2019,decision de lisie n7 2019,0,actualites,https://www.isie.tn/actualites/2019/03/26/decision-de-lisie-n7-2019/,1KYIbd1sxNEtq19xFzkh3h2VSZGd7Ldty
2019-03-26,2019,fr,decision-de-lisie-n8-2019,decision de lisie n8 2019,0,actualites,https://www.isie.tn/actualites/2019/03/26/decision-de-lisie-n8-2019/,1Sj0QQuJ8cCPIu4aaWLmHd8AcF-Zctlhp
2019-04-03,2019,fr,guide-des-candidatures-pour-les-elections-partielles-du-csm-2019,guide des candidatures pour les elections partielles du csm 2019,0,actualites,https://www.isie.tn/actualites/2019/04/03/guide-des-candidatures-pour-les-elections-partielles-du-csm-2019/,1i7TdxsbFH9J4h1kuiAd7IB-9c4qgHM0F
2019-04-04,2019,fr,elections-2019-bureaux-inscription-fixes,elections 2019 bureaux inscription fixes,0,actualites,https://www.isie.tn/actualites/2019/04/04/elections-2019-bureaux-inscription-fixes/,1vRsSGJjqltxon2zSfis9fK9xfRhAebGp
2019-04-04,2019,fr,guide-inscription-elections-legislatives-presidentielles-2019,guide inscription elections legislatives presidentielles 2019,0,actualites,https://www.isie.tn/actualites/2019/04/04/guide-inscription-elections-legislatives-presidentielles-2019/,1bcGgPXQFoJbUCXB8F-iPCS823JrpLY3t
2019-04-17,2019,fr,liste-candidats-concours-agents-inscription-etranger,liste candidats concours agents inscription etranger,0,actualites,https://www.isie.tn/actualites/2019/04/17/liste-candidats-concours-agents-inscription-etranger/,1hiKQkrTi0_S_7-FTZ8YVPmJKfsjeSetm
2019-04-18,2019,fr,liste-bureaux-inscription-fixes-18-04-2019,liste bureaux inscription fixes 18 04 2019,0,actualites,https://www.isie.tn/actualites/2019/04/18/liste-bureaux-inscription-fixes-18-04-2019/,16mFpOru1Hodvue2Kxn7kacTYs6eb3gke
2019-04-22,2019,fr,liste-bureaux-inscription-fixes-21-04-2019,liste bureaux inscription fixes 21 04 2019,0,actualites,https://www.isie.tn/actualites/2019/04/22/liste-bureaux-inscription-fixes-21-04-2019/,17DFEP5sov2QAYHfEnar1f20zgDCaBQEC
2019-04-29,2019,fr,انتخابات-2019-قائمة-مكاتب-التسجيل-القارّ,انتخابات 2019 قائمة مكاتب التسجيل القارّ,0,actualites,https://www.isie.tn/actualites/2019/04/29/انتخابات-2019-قائمة-مكاتب-التسجيل-القارّ/,1c3TjFKC33NRNkYZ48Hyg3qWOo50MV8jf
2019-05-10,2019,fr,elections-municipales-partielles-bardo-caracteristiques-techniques-du-logo-des-listes-candidates,elections municipales partielles bardo caracteristiques techniques du logo des listes candidates,0,actualites,https://www.isie.tn/actualites/2019/05/10/elections-municipales-partielles-bardo-caracteristiques-techniques-du-logo-des-listes-candidates/,1pvW9ayNdS70JNp0-hxCQaKnfcbBFx6q3
2019-05-17,2019,fr,elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-dimanche-16-mai-2019,elections 2019 la liste des bureaux dinscription fixes la mise a jour du dimanche 16 mai 2019,0,actualites,https://www.isie.tn/actualites/2019/05/17/elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-dimanche-16-mai-2019/,1CbI_u_bFL_LmNPgN2vrjP8Kgki7UFkBF
2019-05-27,2019,fr,bureaux-inscription-fixes-maj-lundi-27-mai-2019,bureaux inscription fixes maj lundi 27 mai 2019,0,actualites,https://www.isie.tn/actualites/2019/05/27/bureaux-inscription-fixes-maj-lundi-27-mai-2019/,1gpQt1U2vrXhPRoHoAi_W5_1zqpZURKF8
2019-06-01,2019,fr,bureaux-inscription-fixes-maj-01-06-2019,bureaux inscription fixes maj 01 06 2019,0,actualites,https://www.isie.tn/actualites/2019/06/01/bureaux-inscription-fixes-maj-01-06-2019/,1ohdxmVNrgo2OnDka7o10aqis7ThNADCn
2019-06-07,2019,fr,bureaux-inscription-fixes-maj-07-06-2019,bureaux inscription fixes maj 07 06 2019,0,actualites,https://www.isie.tn/actualites/2019/06/07/bureaux-inscription-fixes-maj-07-06-2019/,1PEI5gJUW09dT9UsyaWpPGUEpSi1nnUAU
2019-06-10,2019,fr,bureaux-inscription-fixes-maj-08-06-2019,bureaux inscription fixes maj 08 06 2019,0,actualites,https://www.isie.tn/actualites/2019/06/10/bureaux-inscription-fixes-maj-08-06-2019/,1foHiOXykF9W3PvVoU8BNs47JG7Gg6Lkj
2019-06-17,2019,fr,elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-lundi-17-juin-2019,elections 2019 la liste des bureaux dinscription fixes la mise a jour du lundi 17 juin 2019,0,actualites,https://www.isie.tn/actualites/2019/06/17/elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-lundi-17-juin-2019/,179kB3rnKm_WxyyuByFDnl_UfQ1S6TmWK
2019-06-21,2019,fr,elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-vendredi-21-juin-2019,elections 2019 la liste des bureaux dinscription fixes la mise a jour du vendredi 21 juin 2019,0,actualites,https://www.isie.tn/actualites/2019/06/21/elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-vendredi-21-juin-2019/,1tn0ZoZa5_8C3c6o4m_ldseMtrIzJxdVK
2019-06-25,2019,fr,elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-mardi-25-juin-2019,elections 2019 la liste des bureaux dinscription fixes la mise a jour du mardi 25 juin 2019,0,actualites,https://www.isie.tn/actualites/2019/06/25/elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-mardi-25-juin-2019/,14v0zdBCk-roOMzqkEi-Y_BQF9zeDaRQA
