round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r1,زغوان,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,110,0.23,agree,47053
r1,زغوان,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,2762,5.87,agree,47053
r1,زغوان,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,3038,6.46,agree,47053
r1,باجة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,284,0.37,agree,76293
r1,باجة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,102,0.13,agree,76293
r1,باجة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,337,0.44,agree,76293
r1,باجة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,529,0.69,agree,76293
r1,باجة,5,agree,سالم شائبي,سالم بن عمار الشائبي,177,0.23,agree,76293
r1,باجة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,293,0.38,agree,76293
r1,باجة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,38333,50.24,agree,76293
r1,باجة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,5954,7.8,agree,76293
r1,باجة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,176,0.23,agree,76293
r1,باجة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,187,0.25,agree,76293
r1,باجة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,626,0.82,agree,76293
r1,باجة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,127,0.17,agree,76293
r1,باجة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,818,1.07,agree,76293
r1,باجة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,158,0.21,agree,76293
r1,باجة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,141,0.18,agree,76293
r1,باجة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,353,0.46,agree,76293
r1,باجة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,153,0.2,agree,76293
r1,باجة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,222,0.29,agree,76293
r1,باجة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,117,0.15,agree,76293
r1,باجة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,100,0.13,agree,76293
r1,باجة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,746,0.98,agree,76293
r1,باجة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,80,0.1,agree,76293
r1,باجة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,203,0.27,agree,76293
r1,باجة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,16839,22.07,agree,76293
r1,باجة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,175,0.23,agree,76293
r1,باجة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,2064,2.71,agree,76293
r1,باجة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,6999,9.17,agree,76293
r1,الكاف,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,226,0.33,agree,68615
r1,الكاف,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,130,0.19,agree,68615
r1,الكاف,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,318,0.46,agree,68615
r1,الكاف,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,409,0.6,agree,68615
r1,الكاف,5,agree,سالم شائبي,سالم بن عمار الشائبي,159,0.23,agree,68615
r1,الكاف,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,210,0.31,agree,68615
r1,الكاف,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,36328,52.94,agree,68615
r1,الكاف,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3288,4.79,agree,68615
r1,الكاف,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,152,0.22,agree,68615
r1,الكاف,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,210,0.31,agree,68615
r1,الكاف,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,606,0.88,agree,68615
r1,الكاف,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,191,0.28,agree,68615
r1,الكاف,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,788,1.15,agree,68615
r1,الكاف,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,193,0.28,agree,68615
r1,الكاف,15,agree,علي شورابي,علي المولدي بن محمد شورابي,127,0.19,agree,68615
r1,الكاف,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,266,0.39,agree,68615
r1,الكاف,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,177,0.26,agree,68615
r1,الكاف,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,171,0.25,agree,68615
r1,الكاف,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,138,0.2,agree,68615
r1,الكاف,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,127,0.19,agree,68615
r1,الكاف,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,740,1.08,agree,68615
r1,الكاف,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,67,0.1,agree,68615
r1,الكاف,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,349,0.51,agree,68615
r1,الكاف,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,12612,18.38,agree,68615
r1,الكاف,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,119,0.17,agree,68615
r1,الكاف,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,2232,3.25,agree,68615
r1,الكاف,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,8282,12.07,agree,68615
r1,سليانة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,155,0.29,agree,53497
r1,سليانة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,98,0.18,agree,53497
r1,سليانة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,126,0.24,agree,53497
r1,سليانة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,293,0.55,agree,53497
r1,سليانة,5,agree,سالم شائبي,سالم بن عمار الشائبي,113,0.21,agree,53497
r1,سليانة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,181,0.34,agree,53497
r1,سليانة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,17706,33.1,agree,53497
r1,سليانة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3147,5.88,agree,53497
r1,سليانة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,202,0.38,agree,53497
r1,سليانة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,128,0.24,agree,53497
r1,سليانة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,390,0.73,agree,53497
r1,سليانة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,98,0.18,agree,53497
r1,سليانة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,461,0.86,agree,53497
r1,سليانة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,257,0.48,agree,53497
r1,سليانة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,89,0.17,agree,53497
r1,سليانة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,199,0.37,agree,53497
r1,سليانة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,139,0.26,agree,53497
r1,سليانة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,206,0.39,agree,53497
r1,سليانة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,104,0.19,agree,53497
r1,سليانة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,99,0.19,agree,53497
r1,سليانة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,399,0.75,agree,53497
r1,سليانة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,53,0.1,agree,53497
r1,سليانة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,229,0.43,agree,53497
r1,سليانة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,8654,16.18,agree,53497
r1,سليانة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,101,0.19,agree,53497
r1,سليانة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,1533,2.87,agree,53497
r1,سليانة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,18337,34.28,agree,53497
r1,جندوبة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,451,0.5,agree,90594
r1,جندوبة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,227,0.25,agree,90594
r1,جندوبة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,484,0.53,agree,90594
r1,جندوبة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,625,0.69,agree,90594
r1,جندوبة,5,agree,سالم شائبي,سالم بن عمار الشائبي,286,0.32,agree,90594
r1,جندوبة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,364,0.4,agree,90594
r1,جندوبة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,44423,49.04,agree,90594
r1,جندوبة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,7405,8.17,agree,90594
r1,جندوبة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,278,0.31,agree,90594
r1,جندوبة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,350,0.39,agree,90594
r1,جندوبة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,922,1.02,agree,90594
r1,جندوبة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,192,0.21,agree,90594
r1,جندوبة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1147,1.27,agree,90594
r1,جندوبة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,245,0.27,agree,90594
r1,جندوبة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,196,0.22,agree,90594
r1,جندوبة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,493,0.54,agree,90594
r1,جندوبة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,239,0.26,agree,90594
r1,جندوبة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,295,0.33,agree,90594
r1,جندوبة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,228,0.25,agree,90594
r1,جندوبة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,171,0.19,agree,90594
r1,جندوبة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1232,1.36,agree,90594
r1,جندوبة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,122,0.13,agree,90594
r1,جندوبة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,291,0.32,agree,90594
r1,جندوبة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,19391,21.4,agree,90594
r1,جندوبة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,212,0.23,agree,90594
r1,جندوبة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3159,3.49,agree,90594
r1,جندوبة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,7166,7.91,agree,90594
r1,القيروان,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,353,0.31,agree,115614
r1,القيروان,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,122,0.11,agree,115614
r1,القيروان,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,377,0.33,agree,115614
r1,القيروان,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,810,0.7,agree,115614
r1,القيروان,5,agree,سالم شائبي,سالم بن عمار الشائبي,950,0.82,agree,115614
r1,القيروان,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,803,0.69,agree,115614
r1,القيروان,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,34928,30.21,agree,115614
r1,القيروان,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,4788,4.14,agree,115614
r1,القيروان,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,339,0.29,agree,115614
r1,القيروان,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,248,0.21,agree,115614
r1,القيروان,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,941,0.81,agree,115614
r1,القيروان,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,172,0.15,agree,115614
r1,القيروان,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1039,0.9,agree,115614
r1,القيروان,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,265,0.23,agree,115614
r1,القيروان,15,agree,علي شورابي,علي المولدي بن محمد شورابي,772,0.67,agree,115614
r1,القيروان,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,397,0.34,agree,115614
r1,القيروان,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,397,0.34,agree,115614
r1,القيروان,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,215,0.19,agree,115614
r1,القيروان,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,189,0.16,agree,115614
r1,القيروان,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,1101,0.95,agree,115614
r1,القيروان,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,910,0.79,agree,115614
r1,القيروان,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,125,0.11,agree,115614
r1,القيروان,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,345,0.3,agree,115614
r1,القيروان,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,38745,33.51,agree,115614
r1,القيروان,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,243,0.21,agree,115614
r1,القيروان,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,18038,15.6,agree,115614
r1,القيروان,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,8002,6.92,agree,115614
r1,سوسة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,346,0.18,agree,196562
r1,سوسة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,103,0.05,agree,196562
r1,سوسة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1144,0.58,agree,196562
r1,سوسة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,12684,6.45,agree,196562
r1,سوسة,5,agree,سالم شائبي,سالم بن عمار الشائبي,162,0.08,agree,196562
r1,سوسة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,402,0.2,agree,196562
r1,سوسة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,99341,50.54,agree,196562
r1,سوسة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,4383,2.23,agree,196562
r1,سوسة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,186,0.09,agree,196562
r1,سوسة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,538,0.27,agree,196562
r1,سوسة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1239,0.63,agree,196562
r1,سوسة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,109,0.06,agree,196562
r1,سوسة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1692,0.86,agree,196562
r1,سوسة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,210,0.11,agree,196562
r1,سوسة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,350,0.18,agree,196562
r1,سوسة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,604,0.31,agree,196562
r1,سوسة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,199,0.1,agree,196562
r1,سوسة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,144,0.07,agree,196562
r1,سوسة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,124,0.06,agree,196562
r1,سوسة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,237,0.12,agree,196562
r1,سوسة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1054,0.54,agree,196562
r1,سوسة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,88,0.04,agree,196562
r1,سوسة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,967,0.49,agree,196562
r1,سوسة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,50348,25.61,agree,196562
r1,سوسة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,243,0.12,agree,196562
r1,سوسة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,8462,4.31,agree,196562
r1,سوسة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,11203,5.7,agree,196562
r1,المنستير,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,205,0.12,agree,170621
r1,المنستير,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,79,0.05,agree,170621
r1,المنستير,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,978,0.57,agree,170621
r1,المنستير,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,7870,4.61,agree,170621
r1,المنستير,5,agree,سالم شائبي,سالم بن عمار الشائبي,125,0.07,agree,170621
r1,المنستير,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,304,0.18,agree,170621
r1,المنستير,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,101545,59.51,agree,170621
r1,المنستير,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3294,1.93,agree,170621
r1,المنستير,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,117,0.07,agree,170621
r1,المنستير,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,865,0.51,agree,170621
r1,المنستير,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,979,0.57,agree,170621
r1,المنستير,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,114,0.07,agree,170621
r1,المنستير,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1583,0.93,agree,170621
r1,المنستير,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,242,0.14,agree,170621
r1,المنستير,15,agree,علي شورابي,علي المولدي بن محمد شورابي,136,0.08,agree,170621
r1,المنستير,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,543,0.32,agree,170621
r1,المنستير,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,123,0.07,agree,170621
r1,المنستير,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,133,0.08,agree,170621
r1,المنستير,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,116,0.07,agree,170621
r1,المنستير,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,156,0.09,agree,170621
r1,المنستير,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1038,0.61,agree,170621
r1,المنستير,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,71,0.04,agree,170621
r1,المنستير,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,538,0.32,agree,170621
r1,المنستير,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,35489,20.8,agree,170621
r1,المنستير,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,192,0.11,agree,170621
r1,المنستير,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,4864,2.85,agree,170621
r1,المنستير,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,8922,5.23,agree,170621
r1,المهدية,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,292,0.3,agree,98797
r1,المهدية,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,92,0.09,agree,98797
r1,المهدية,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,624,0.63,agree,98797
r1,المهدية,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1880,1.9,agree,98797
r1,المهدية,5,agree,سالم شائبي,سالم بن عمار الشائبي,160,0.16,agree,98797
r1,المهدية,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,319,0.32,agree,98797
r1,المهدية,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,50836,51.46,agree,98797
r1,المهدية,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,2171,2.2,agree,98797
r1,المهدية,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,182,0.18,agree,98797
r1,المهدية,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,330,0.33,agree,98797
r1,المهدية,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,909,0.92,agree,98797
r1,المهدية,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,121,0.12,agree,98797
r1,المهدية,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1653,1.67,agree,98797
r1,المهدية,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,219,0.22,agree,98797
r1,المهدية,15,agree,علي شورابي,علي المولدي بن محمد شورابي,135,0.14,agree,98797
r1,المهدية,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,405,0.41,agree,98797
r1,المهدية,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,198,0.2,agree,98797
r1,المهدية,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,197,0.2,agree,98797
r1,المهدية,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,122,0.12,agree,98797
r1,المهدية,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,127,0.13,agree,98797
r1,المهدية,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,942,0.95,agree,98797
r1,المهدية,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,103,0.1,agree,98797
r1,المهدية,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,474,0.48,agree,98797
r1,المهدية,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,23871,24.16,agree,98797
r1,المهدية,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,189,0.19,agree,98797
r1,المهدية,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,4451,4.51,agree,98797
r1,المهدية,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,7795,7.89,agree,98797
r1,القصرين,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,297,0.3,agree,98008
r1,القصرين,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,143,0.15,agree,98008
r1,القصرين,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,241,0.25,agree,98008
r1,القصرين,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,352,0.36,agree,98008
r1,القصرين,5,agree,سالم شائبي,سالم بن عمار الشائبي,324,0.33,agree,98008
r1,القصرين,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,577,0.59,agree,98008
r1,القصرين,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,26556,27.1,agree,98008
r1,القصرين,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3966,4.05,agree,98008
r1,القصرين,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,1766,1.8,agree,98008
r1,القصرين,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,180,0.18,agree,98008
r1,القصرين,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,705,0.72,agree,98008
r1,القصرين,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,120,0.12,agree,98008
r1,القصرين,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,619,0.63,agree,98008
r1,القصرين,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,210,0.21,agree,98008
r1,القصرين,15,agree,علي شورابي,علي المولدي بن محمد شورابي,198,0.2,agree,98008
r1,القصرين,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,235,0.24,agree,98008
r1,القصرين,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,286,0.29,agree,98008
r1,القصرين,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,346,0.35,agree,98008
r1,القصرين,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,242,0.25,agree,98008
r1,القصرين,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,162,0.17,agree,98008
r1,القصرين,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,633,0.65,agree,98008
r1,القصرين,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,99,0.1,agree,98008
r1,القصرين,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,9042,9.23,agree,98008
r1,القصرين,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,34825,35.53,agree,98008
r1,القصرين,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,210,0.21,agree,98008
