adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN115855,Tunis,El Menzah,El Manar (1),5,4,80.0,1,25.0,4.6,69.9,1,25.0,1,0,0,1,0,0,25.0,0.0,0.0,0
TN115951,Tunis,Cité El Khadra,Cite El Khadra,13,4,30.8,4,100.0,51.0,100.0,8,200.0,7,0,1,4,0,1,100.0,0.0,25.0,0
TN115952,Tunis,Cité El Khadra,Cite Jardin,3,3,100.0,3,100.0,43.8,100.0,5,166.7,5,0,0,3,0,0,100.0,0.0,0.0,0
TN115953,Tunis,Cité El Khadra,Ech-Charguia,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115954,Tunis,Cité El Khadra,Khereiddine Pacha,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115956,Tunis,Cité El Khadra,Farhat Hached,3,1,33.3,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1
TN115957,Tunis,Cité El Khadra,El Bouhaira,4,1,25.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN115958,Tunis,Cité El Khadra,Hay Es Salem,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116051,Tunis,Bardo,Le Bardo,11,3,27.3,0,0.0,0.0,56.2,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116052,Tunis,Bardo,Le Bardo Nord,6,1,16.7,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116053,Tunis,Bardo,Le Bardo Sud,4,1,25.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116054,Tunis,Bardo,El Hadika,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116055,Tunis,Bardo,Bou-Choucha,7,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116056,Tunis,Bardo,Bonne Residence,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116057,Tunis,Bardo,Khaznadar,13,4,30.8,1,25.0,4.6,69.9,1,25.0,1,0,0,1,0,0,25.0,0.0,0.0,0
TN116058,Tunis,Bardo,El Fath,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116059,Tunis,Bardo,Ksar-Said,3,1,33.3,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116060,Tunis,Bardo,Ksar-Said II,5,1,20.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
