constituency,rank,candidate,votes,share_pct,constituency_valid_votes
إيطاليا,20,سلمه اللومي,5,0.10,5258
إيطاليا,21,سعيد علي مروان العايدي,11,0.21,5258
إيطاليا,22,أحمد الصافي سعيد,418,7.95,5258
إيطاليا,23,الناجي جلول,12,0.23,5258
إيطاليا,24,حاتم بولبيار,2,0.04,5258
إيطاليا,25,عبيد بريكي,5,0.10,5258
إيطاليا,26,سيف الدين مخلوف,791,15.04,5258
الدول العربية وباقي دول العالم,1,منجي الرحوي,61,0.57,10760
الدول العربية وباقي دول العالم,2,محمد املحرزي عبو,831,7.72,10760
الدول العربية وباقي دول العالم,3,عبير موسي,362,3.36,10760
الدول العربية وباقي دول العالم,4,نبيل القروي,422,3.92,10760
الدول العربية وباقي دول العالم,5,محمد لطفي مرايحي,1404,13.05,10760
الدول العربية وباقي دول العالم,6,املهدي جمعه,345,3.21,10760
الدول العربية وباقي دول العالم,7,حمادي الجبالي,18,0.17,10760
الدول العربية وباقي دول العالم,8,حمه الهمامي,58,0.54,10760
الدول العربية وباقي دول العالم,9,محمد املنصف املرزوقي,461,4.28,10760
الدول العربية وباقي دول العالم,10,عبد الكريم زبيدي,1446,13.44,10760
الدول العربية وباقي دول العالم,11,محسن مرزوق,40,0.37,10760
الدول العربية وباقي دول العالم,12,محمد الصغير نوري,7,0.07,10760
الدول العربية وباقي دول العالم,13,محمد الهاشمي حامدي,19,0.18,10760
الدول العربية وباقي دول العالم,14,عبد الفتاح مورو,2018,18.75,10760
الدول العربية وباقي دول العالم,15,عمر منصور,13,0.12,10760
الدول العربية وباقي دول العالم,16,يوسف الشاهد,507,4.71,10760
الدول العربية وباقي دول العالم,17,قيس سعيد,1077,10.01,10760
الدول العربية وباقي دول العالم,18,الياس الفخفاخ,56,0.52,10760
الدول العربية وباقي دول العالم,19,سليم الرياحي,8,0.07,10760
الدول العربية وباقي دول العالم,20,سلمه اللومي,10,0.09,10760
الدول العربية وباقي دول العالم,21,سعيد علي مروان العايدي,59,0.55,10760
الدول العربية وباقي دول العالم,22,أحمد الصافي سعيد,550,5.11,10760
الدول العربية وباقي دول العالم,23,الناجي جلول,20,0.19,10760
الدول العربية وباقي دول العالم,24,حاتم بولبيار,1,0.01,10760
الدول العربية وباقي دول العالم,25,عبيد بريكي,3,0.03,10760
الدول العربية وباقي دول العالم,26,سيف الدين مخلوف,964,8.96,10760
القارة األمريكية وبقية الدول األوروبية,1,منجي الرحوي,101,0.80,12663
القارة األمريكية وبقية الدول األوروبية,2,محمد املحرزي عبو,1359,10.73,12663
القارة األمريكية وبقية الدول األوروبية,3,عبير موسي,789,6.23,12663
القارة األمريكية وبقية الدول األوروبية,4,نبيل القروي,369,2.91,12663
القارة األمريكية وبقية الدول األوروبية,5,محمد لطفي مرايحي,1016,8.02,12663
القارة األمريكية وبقية الدول األوروبية,6,املهدي جمعه,380,3.00,12663
القارة األمريكية وبقية الدول األوروبية,7,حمادي الجبالي,17,0.13,12663
القارة األمريكية وبقية الدول األوروبية,8,حمه الهمامي,97,0.77,12663
القارة األمريكية وبقية الدول األوروبية,9,محمد املنصف املرزوقي,610,4.82,12663
القارة األمريكية وبقية الدول األوروبية,10,عبد الكريم زبيدي,2058,16.25,12663
القارة األمريكية وبقية الدول األوروبية,11,محسن مرزوق,26,0.21,12663
القارة األمريكية وبقية الدول األوروبية,12,محمد الصغير نوري,5,0.04,12663
القارة األمريكية وبقية الدول األوروبية,13,محمد الهاشمي حامدي,27,0.21,12663
القارة األمريكية وبقية الدول األوروبية,14,عبد الفتاح مورو,2239,17.68,12663
القارة األمريكية وبقية الدول األوروبية,15,عمر منصور,20,0.16,12663
القارة األمريكية وبقية الدول األوروبية,16,يوسف الشاهد,932,7.36,12663
القارة األمريكية وبقية الدول األوروبية,17,قيس سعيد,807,6.37,12663
القارة األمريكية وبقية الدول األوروبية,18,الياس الفخفاخ,81,0.64,12663
القارة األمريكية وبقية الدول األوروبية,19,سليم الرياحي,5,0.04,12663
القارة األمريكية وبقية الدول األوروبية,20,سلمه اللومي,21,0.17,12663
القارة األمريكية وبقية الدول األوروبية,21,سعيد علي مروان العايدي,84,0.66,12663
القارة األمريكية وبقية الدول األوروبية,22,أحمد الصافي سعيد,578,4.56,12663
القارة األمريكية وبقية الدول األوروبية,23,الناجي جلول,8,0.06,12663
القارة األمريكية وبقية الدول األوروبية,24,حاتم بولبيار,4,0.03,12663
القارة األمريكية وبقية الدول األوروبية,25,عبيد بريكي,12,0.09,12663
القارة األمريكية وبقية الدول األوروبية,26,سيف الدين مخلوف,1018,8.04,12663
القصرين,1,منجي الرحوي,754,0.69,109880
القصرين,2,محمد املحرزي عبو,1189,1.08,109880
القصرين,3,عبير موسي,1497,1.36,109880
القصرين,4,نبيل القروي,19074,17.36,109880
القصرين,5,محمد لطفي مرايحي,50476,45.94,109880
القصرين,6,املهدي جمعه,652,0.59,109880
القصرين,7,حمادي الجبالي,241,0.22,109880
القصرين,8,حمه الهمامي,550,0.50,109880
القصرين,9,محمد املنصف املرزوقي,2204,2.01,109880
القصرين,10,عبد الكريم زبيدي,3341,3.04,109880
القصرين,11,محسن مرزوق,282,0.26,109880
القصرين,12,محمد الصغير نوري,165,0.15,109880
القصرين,13,محمد الهاشمي حامدي,1171,1.07,109880
القصرين,14,عبد الفتاح مورو,11543,10.51,109880
القصرين,15,عمر منصور,420,0.38,109880
القصرين,16,يوسف الشاهد,5000,4.55,109880
القصرين,17,قيس سعيد,5366,4.88,109880
القصرين,18,الياس الفخفاخ,143,0.13,109880
القصرين,19,سليم الرياحي,254,0.23,109880
القصرين,20,سلمه اللومي,118,0.11,109880
القصرين,21,سعيد علي مروان العايدي,138,0.13,109880
القصرين,22,أحمد الصافي سعيد,2752,2.50,109880
القصرين,23,الناجي جلول,234,0.21,109880
القصرين,24,حاتم بولبيار,143,0.13,109880
القصرين,25,عبيد بريكي,304,0.28,109880
القصرين,26,سيف الدين مخلوف,1869,1.70,109880
القيروان,1,منجي الرحوي,901,0.71,126957
القيروان,2,محمد املحرزي عبو,4849,3.82,126957
القيروان,3,عبير موسي,2937,2.31,126957
القيروان,4,نبيل القروي,29952,23.59,126957
القيروان,5,محمد لطفي مرايحي,4075,3.21,126957
القيروان,6,املهدي جمعه,1256,0.99,126957
القيروان,7,حمادي الجبالي,322,0.25,126957
القيروان,8,حمه الهمامي,1330,1.05,126957
القيروان,9,محمد املنصف املرزوقي,2874,2.26,126957
القيروان,10,عبد الكريم زبيدي,8738,6.88,126957
القيروان,11,محسن مرزوق,441,0.35,126957
القيروان,12,محمد الصغير نوري,206,0.16,126957
القيروان,13,محمد الهاشمي حامدي,1880,1.48,126957
القيروان,14,عبد الفتاح مورو,16289,12.83,126957
القيروان,15,عمر منصور,427,0.34,126957
القيروان,16,يوسف الشاهد,8375,6.60,126957
القيروان,17,قيس سعيد,28942,22.80,126957
القيروان,18,الياس الفخفاخ,231,0.18,126957
القيروان,19,سليم الرياحي,224,0.18,126957
القيروان,20,سلمه اللومي,163,0.13,126957
القيروان,21,سعيد علي مروان العايدي,281,0.22,126957
القيروان,22,أحمد الصافي سعيد,6027,4.75,126957
القيروان,23,الناجي جلول,278,0.22,126957
القيروان,24,حاتم بولبيار,202,0.16,126957
القيروان,25,عبيد بريكي,210,0.17,126957
القيروان,26,سيف الدين مخلوف,5547,4.37,126957
الكاف,1,منجي الرحوي,1585,2.41,65813
الكاف,2,محمد املحرزي عبو,1302,1.98,65813
الكاف,3,عبير موسي,2464,3.74,65813
الكاف,4,نبيل القروي,20283,30.82,65813
الكاف,5,محمد لطفي مرايحي,6842,10.40,65813
الكاف,6,املهدي جمعه,746,1.13,65813
الكاف,7,حمادي الجبالي,161,0.24,65813
الكاف,8,حمه الهمامي,649,0.99,65813
الكاف,9,محمد املنصف املرزوقي,685,1.04,65813
الكاف,10,عبد الكريم زبيدي,4501,6.84,65813
الكاف,11,محسن مرزوق,218,0.33,65813
الكاف,12,محمد الصغير نوري,129,0.20,65813
الكاف,13,محمد الهاشمي حامدي,375,0.57,65813
الكاف,14,عبد الفتاح مورو,6361,9.67,65813
الكاف,15,عمر منصور,255,0.39,65813
الكاف,16,يوسف الشاهد,3123,4.75,65813
الكاف,17,قيس سعيد,11964,18.18,65813
الكاف,18,الياس الفخفاخ,79,0.12,65813
الكاف,19,سليم الرياحي,122,0.19,65813
الكاف,20,سلمه اللومي,135,0.21,65813
الكاف,21,سعيد علي مروان العايدي,150,0.23,65813
الكاف,22,أحمد الصافي سعيد,2332,3.54,65813
الكاف,23,الناجي جلول,196,0.30,65813
الكاف,24,حاتم بولبيار,92,0.14,65813
الكاف,25,عبيد بريكي,125,0.19,65813
الكاف,26,سيف الدين مخلوف,939,1.43,65813
املنستير,1,منجي الرحوي,704,0.37,188527
املنستير,2,محمد املحرزي عبو,3040,1.61,188527
املنستير,3,عبير موسي,11169,5.92,188527
املنستير,4,نبيل القروي,18340,9.73,188527
املنستير,5,محمد لطفي مرايحي,6297,3.34,188527
املنستير,6,املهدي جمعه,9153,4.86,188527
املنستير,7,حمادي الجبالي,333,0.18,188527
املنستير,8,حمه الهمامي,692,0.37,188527
املنستير,9,محمد املنصف املرزوقي,1224,0.65,188527
املنستير,10,عبد الكريم زبيدي,51137,27.12,188527
املنستير,11,محسن مرزوق,281,0.15,188527
املنستير,12,محمد الصغير نوري,160,0.08,188527
املنستير,13,محمد الهاشمي حامدي,400,0.21,188527
املنستير,14,عبد الفتاح مورو,17384,9.22,188527
املنستير,15,عمر منصور,225,0.12,188527
املنستير,16,يوسف الشاهد,7389,3.92,188527
املنستير,17,قيس سعيد,48592,25.77,188527
املنستير,18,الياس الفخفاخ,279,0.15,188527
املنستير,19,سليم الرياحي,172,0.09,188527
املنستير,20,سلمه اللومي,210,0.11,188527
املنستير,21,سعيد علي مروان العايدي,410,0.22,188527
املنستير,22,أحمد الصافي سعيد,6371,3.38,188527
املنستير,23,الناجي جلول,710,0.38,188527
املنستير,24,حاتم بولبيار,120,0.06,188527
املنستير,25,عبيد بريكي,121,0.06,188527
املنستير,26,سيف الدين مخلوف,3614,1.92,188527
املهدية,1,منجي الرحوي,776,0.64,120780
املهدية,2,محمد املحرزي عبو,1747,1.45,120780
املهدية,3,عبير موسي,4777,3.96,120780
املهدية,4,نبيل القروي,20346,16.85,120780
املهدية,5,محمد لطفي مرايحي,2546,2.11,120780
املهدية,6,املهدي جمعه,6250,5.17,120780
املهدية,7,حمادي الجبالي,275,0.23,120780
املهدية,8,حمه الهمامي,684,0.57,120780
املهدية,9,محمد املنصف املرزوقي,1197,0.99,120780
املهدية,10,عبد الكريم زبيدي,24250,20.08,120780
املهدية,11,محسن مرزوق,307,0.25,120780
املهدية,12,محمد الصغير نوري,170,0.14,120780
املهدية,13,محمد الهاشمي حامدي,637,0.53,120780
املهدية,14,عبد الفتاح مورو,11784,9.76,120780
املهدية,15,عمر منصور,250,0.21,120780
املهدية,16,يوسف الشاهد,4250,3.52,120780
املهدية,17,قيس سعيد,29339,24.29,120780
املهدية,18,الياس الفخفاخ,195,0.16,120780
املهدية,19,سليم الرياحي,191,0.16,120780
املهدية,20,سلمه اللومي,196,0.16,120780
املهدية,21,سعيد علي مروان العايدي,184,0.15,120780
املهدية,22,أحمد الصافي سعيد,5053,4.18,120780
املهدية,23,الناجي جلول,264,0.22,120780
املهدية,24,حاتم بولبيار,144,0.12,120780
املهدية,25,عبيد بريكي,153,0.13,120780
املهدية,26,سيف الدين مخلوف,4815,3.99,120780
باجة,1,منجي الرحوي,1025,1.30,78754
باجة,2,محمد املحرزي عبو,1988,2.52,78754
باجة,3,عبير موسي,5772,7.33,78754
باجة,4,نبيل القروي,24403,30.99,78754
باجة,5,محمد لطفي مرايحي,2893,3.67,78754
باجة,6,املهدي جمعه,872,1.11,78754
باجة,7,حمادي الجبالي,164,0.21,78754
باجة,8,حمه الهمامي,644,0.82,78754
باجة,9,محمد املنصف املرزوقي,1057,1.34,78754
باجة,10,عبد الكريم زبيدي,4615,5.86,78754
باجة,11,محسن مرزوق,253,0.32,78754
باجة,12,محمد الصغير نوري,149,0.19,78754
باجة,13,محمد الهاشمي حامدي,474,0.60,78754
باجة,14,عبد الفتاح مورو,8960,11.38,78754
باجة,15,عمر منصور,354,0.45,78754
باجة,16,يوسف الشاهد,4815,6.11,78754
باجة,17,قيس سعيد,13568,17.23,78754
باجة,18,الياس الفخفاخ,123,0.16,78754
باجة,19,سليم الرياحي,154,0.20,78754
باجة,20,سلمه اللومي,287,0.36,78754
باجة,21,سعيد علي مروان العايدي,214,0.27,78754
باجة,22,أحمد الصافي سعيد,3619,4.60,78754
باجة,23,الناجي جلول,224,0.28,78754
باجة,24,حاتم بولبيار,141,0.18,78754
باجة,25,عبيد بريكي,136,0.17,78754
باجة,26,سيف الدين مخلوف,1850,2.35,78754
بن عروس,1,منجي الرحوي,2011,0.95,211774
بن عروس,2,محمد املحرزي عبو,13597,6.42,211774
بن عروس,3,عبير موسي,10115,4.78,211774
بن عروس,4,نبيل القروي,26758,12.64,211774
بن عروس,5,محمد لطفي مرايحي,17920,8.46,211774
بن عروس,6,املهدي جمعه,3980,1.88,211774
بن عروس,7,حمادي الجبالي,304,0.14,211774
بن عروس,8,حمه الهمامي,1350,0.64,211774
بن عروس,9,محمد املنصف املرزوقي,3704,1.75,211774
بن عروس,10,عبد الكريم زبيدي,20953,9.89,211774
بن عروس,11,محسن مرزوق,312,0.15,211774
بن عروس,12,محمد الصغير نوري,248,0.12,211774
بن عروس,13,محمد الهاشمي حامدي,500,0.24,211774
بن عروس,14,عبد الفتاح مورو,28532,13.47,211774
بن عروس,15,عمر منصور,754,0.36,211774
بن عروس,16,يوسف الشاهد,22552,10.65,211774
بن عروس,17,قيس سعيد,34797,16.43,211774
بن عروس,18,الياس الفخفاخ,598,0.28,211774
بن عروس,19,سليم الرياحي,229,0.11,211774
بن عروس,20,سلمه اللومي,235,0.11,211774
بن عروس,21,سعيد علي مروان العايدي,668,0.32,211774
بن عروس,22,أحمد الصافي سعيد,10570,4.99,211774
بن عروس,23,الناجي جلول,422,0.20,211774
بن عروس,24,حاتم بولبيار,166,0.08,211774
بن عروس,25,عبيد بريكي,298,0.14,211774
بن عروس,26,سيف الدين مخلوف,10201,4.82,211774
بنزرت,1,منجي الرحوي,999,0.63,158927
بنزرت,2,محمد املحرزي عبو,5767,3.63,158927
بنزرت,3,عبير موسي,7177,4.52,158927
بنزرت,4,نبيل القروي,45320,28.52,158927
بنزرت,5,محمد لطفي مرايحي,6906,4.35,158927
بنزرت,6,املهدي جمعه,2656,1.67,158927
بنزرت,7,حمادي الجبالي,333,0.21,158927
بنزرت,8,حمه الهمامي,749,0.47,158927
بنزرت,9,محمد املنصف املرزوقي,2878,1.81,158927
بنزرت,10,عبد الكريم زبيدي,9091,5.72,158927
بنزرت,11,محسن مرزوق,343,0.22,158927
بنزرت,12,محمد الصغير نوري,201,0.13,158927
بنزرت,13,محمد الهاشمي حامدي,487,0.31,158927
بنزرت,14,عبد الفتاح مورو,19685,12.39,158927
بنزرت,15,عمر منصور,382,0.24,158927
بنزرت,16,يوسف الشاهد,8555,5.38,158927
بنزرت,17,قيس سعيد,31520,19.83,158927
بنزرت,18,الياس الفخفاخ,327,0.21,158927
بنزرت,19,سليم الرياحي,202,0.13,158927
بنزرت,20,سلمه اللومي,215,0.14,158927
بنزرت,21,سعيد علي مروان العايدي,478,0.30,158927
بنزرت,22,أحمد الصافي سعيد,6448,4.06,158927
بنزرت,23,الناجي جلول,366,0.23,158927
بنزرت,24,حاتم بولبيار,221,0.14,158927
بنزرت,25,عبيد بريكي,169,0.11,158927
بنزرت,26,سيف الدين مخلوف,7452,4.69,158927
تطاوين,1,منجي الرحوي,119,0.34,35518
تطاوين,2,محمد املحرزي عبو,393,1.11,35518
تطاوين,3,عبير موسي,327,0.92,35518
تطاوين,4,نبيل القروي,757,2.13,35518
تطاوين,5,محمد لطفي مرايحي,313,0.88,35518
تطاوين,6,املهدي جمعه,510,1.44,35518
تطاوين,7,حمادي الجبالي,212,0.60,35518
تطاوين,8,حمه الهمامي,98,0.28,35518
تطاوين,9,محمد املنصف املرزوقي,5262,14.82,35518
تطاوين,10,عبد الكريم زبيدي,839,2.36,35518
تطاوين,11,محسن مرزوق,92,0.26,35518
تطاوين,12,محمد الصغير نوري,70,0.20,35518
تطاوين,13,محمد الهاشمي حامدي,185,0.52,35518
تطاوين,14,عبد الفتاح مورو,8689,24.46,35518
تطاوين,15,عمر منصور,69,0.19,35518
تطاوين,16,يوسف الشاهد,2534,7.13,35518
تطاوين,17,قيس سعيد,4337,12.21,35518
تطاوين,18,الياس الفخفاخ,161,0.45,35518
تطاوين,19,سليم الرياحي,58,0.16,35518
تطاوين,20,سلمه اللومي,42,0.12,35518
تطاوين,21,سعيد علي مروان العايدي,36,0.10,35518
تطاوين,22,أحمد الصافي سعيد,1471,4.14,35518
تطاوين,23,الناجي جلول,33,0.09,35518
تطاوين,24,حاتم بولبيار,51,0.14,35518
تطاوين,25,عبيد بريكي,63,0.18,35518
تطاوين,26,سيف الدين مخلوف,8797,24.77,35518
توزر,1,منجي الرحوي,131,0.38,34506
توزر,2,محمد املحرزي عبو,589,1.71,34506
توزر,3,عبير موسي,904,2.62,34506
توزر,4,نبيل القروي,5138,14.89,34506
توزر,5,محمد لطفي مرايحي,756,2.19,34506
توزر,6,املهدي جمعه,762,2.21,34506
توزر,7,حمادي الجبالي,127,0.37,34506
توزر,8,حمه الهمامي,226,0.65,34506
توزر,9,محمد املنصف املرزوقي,2125,6.16,34506
توزر,10,عبد الكريم زبيدي,1431,4.15,34506
توزر,11,محسن مرزوق,74,0.21,34506
توزر,12,محمد الصغير نوري,37,0.11,34506
توزر,13,محمد الهاشمي حامدي,147,0.43,34506
توزر,14,عبد الفتاح مورو,5072,14.70,34506
توزر,15,عمر منصور,73,0.21,34506
توزر,16,يوسف الشاهد,2474,7.17,34506
توزر,17,قيس سعيد,7972,23.10,34506
توزر,18,الياس الفخفاخ,96,0.28,34506
توزر,19,سليم الرياحي,69,0.20,34506
توزر,20,سلمه اللومي,59,0.17,34506
توزر,21,سعيد علي مروان العايدي,56,0.16,34506
توزر,22,أحمد الصافي سعيد,4611,13.36,34506
توزر,23,الناجي جلول,82,0.24,34506
توزر,24,حاتم بولبيار,43,0.12,34506
توزر,25,عبيد بريكي,49,0.14,34506
توزر,26,سيف الدين مخلوف,1403,4.07,34506
تونس 1,1,منجي الرحوي,1229,0.80,154140
تونس 1,2,محمد املحرزي عبو,9116,5.91,154140
تونس 1,3,عبير موسي,6941,4.50,154140
تونس 1,4,نبيل القروي,24226,15.72,154140
تونس 1,5,محمد لطفي مرايحي,9253,6.00,154140
تونس 1,6,املهدي جمعه,2394,1.55,154140
تونس 1,7,حمادي الجبالي,285,0.18,154140
تونس 1,8,حمه الهمامي,991,0.64,154140
تونس 1,9,محمد املنصف املرزوقي,2999,1.95,154140
تونس 1,10,عبد الكريم زبيدي,12264,7.96,154140
تونس 1,11,محسن مرزوق,283,0.18,154140
تونس 1,12,محمد الصغير نوري,191,0.12,154140
تونس 1,13,محمد الهاشمي حامدي,392,0.25,154140
تونس 1,14,عبد الفتاح مورو,24072,15.62,154140
تونس 1,15,عمر منصور,1217,0.79,154140
تونس 1,16,يوسف الشاهد,15710,10.19,154140
تونس 1,17,قيس سعيد,25623,16.62,154140
تونس 1,18,الياس الفخفاخ,340,0.22,154140
تونس 1,19,سليم الرياحي,203,0.13,154140
تونس 1,20,سلمه اللومي,237,0.15,154140
تونس 1,21,سعيد علي مروان العايدي,460,0.30,154140
تونس 1,22,أحمد الصافي سعيد,7546,4.90,154140
تونس 1,23,الناجي جلول,332,0.22,154140
تونس 1,24,حاتم بولبيار,172,0.11,154140
تونس 1,25,عبيد بريكي,242,0.16,154140
تونس 1,26,سيف الدين مخلوف,7422,4.82,154140
تونس 2,1,منجي الرحوي,1761,0.92,191737
تونس 2,2,محمد املحرزي عبو,12443,6.49,191737
تونس 2,3,عبير موسي,11724,6.11,191737
تونس 2,4,نبيل القروي,21076,10.99,191737
تونس 2,5,محمد لطفي مرايحي,13836,7.22,191737
تونس 2,6,املهدي جمعه,5430,2.83,191737
تونس 2,7,حمادي الجبالي,190,0.10,191737
تونس 2,8,حمه الهمامي,1023,0.53,191737
تونس 2,9,محمد املنصف املرزوقي,2298,1.20,191737
تونس 2,10,عبد الكريم زبيدي,37452,19.53,191737
تونس 2,11,محسن مرزوق,253,0.13,191737
تونس 2,12,محمد الصغير نوري,181,0.09,191737
تونس 2,13,محمد الهاشمي حامدي,263,0.14,191737
تونس 2,14,عبد الفتاح مورو,19179,10.00,191737
تونس 2,15,عمر منصور,784,0.41,191737
تونس 2,16,يوسف الشاهد,27018,14.09,191737
تونس 2,17,قيس سعيد,21006,10.96,191737
تونس 2,18,الياس الفخفاخ,746,0.39,191737
تونس 2,19,سليم الرياحي,126,0.07,191737
تونس 2,20,سلمه اللومي,205,0.11,191737
تونس 2,21,سعيد علي مروان العايدي,1190,0.62,191737
تونس 2,22,أحمد الصافي سعيد,6775,3.53,191737
تونس 2,23,الناجي جلول,323,0.17,191737
تونس 2,24,حاتم بولبيار,166,0.09,191737
تونس 2,25,عبيد بريكي,220,0.11,191737
تونس 2,26,سيف الدين مخلوف,6069,3.17,191737
جندوبة,1,منجي الرحوي,4014,4.40,91229
جندوبة,2,محمد املحرزي عبو,1217,1.33,91229
جندوبة,3,عبير موسي,2709,2.97,91229
جندوبة,4,نبيل القروي,27427,30.06,91229
جندوبة,5,محمد لطفي مرايحي,2223,2.44,91229
جندوبة,6,املهدي جمعه,771,0.85,91229
جندوبة,7,حمادي الجبالي,266,0.29,91229
جندوبة,8,حمه الهمامي,528,0.58,91229
جندوبة,9,محمد املنصف املرزوقي,1243,1.36,91229
جندوبة,10,عبد الكريم زبيدي,4460,4.89,91229
جندوبة,11,محسن مرزوق,337,0.37,91229
جندوبة,12,محمد الصغير نوري,211,0.23,91229
جندوبة,13,محمد الهاشمي حامدي,447,0.49,91229
جندوبة,14,عبد الفتاح مورو,10395,11.39,91229
جندوبة,15,عمر منصور,371,0.41,91229
جندوبة,16,يوسف الشاهد,7064,7.74,91229
جندوبة,17,قيس سعيد,20933,22.95,91229
جندوبة,18,الياس الفخفاخ,164,0.18,91229
جندوبة,19,سليم الرياحي,163,0.18,91229
جندوبة,20,سلمه اللومي,206,0.23,91229
جندوبة,21,سعيد علي مروان العايدي,237,0.26,91229
جندوبة,22,أحمد الصافي سعيد,3450,3.78,91229
جندوبة,23,الناجي جلول,361,0.40,91229
جندوبة,24,حاتم بولبيار,165,0.18,91229
جندوبة,25,عبيد بريكي,164,0.18,91229
جندوبة,26,سيف الدين مخلوف,1703,1.87,91229
زغوان,1,منجي الرحوي,318,0.59,54297
زغوان,2,محمد املحرزي عبو,972,1.79,54297
زغوان,3,عبير موسي,1847,3.40,54297
زغوان,4,نبيل القروي,13322,24.54,54297
زغوان,5,محمد لطفي مرايحي,1371,2.53,54297
زغوان,6,املهدي جمعه,634,1.17,54297
زغوان,7,حمادي الجبالي,122,0.22,54297
زغوان,8,حمه الهمامي,310,0.57,54297
زغوان,9,محمد املنصف املرزوقي,771,1.42,54297
زغوان,10,عبد الكريم زبيدي,3493,6.43,54297
زغوان,11,محسن مرزوق,168,0.31,54297
زغوان,12,محمد الصغير نوري,81,0.15,54297
زغوان,13,محمد الهاشمي حامدي,261,0.48,54297
زغوان,14,عبد الفتاح مورو,5284,9.73,54297
زغوان,15,عمر منصور,149,0.27,54297
زغوان,16,يوسف الشاهد,3826,7.05,54297
زغوان,17,قيس سعيد,16214,29.86,54297
زغوان,18,الياس الفخفاخ,112,0.21,54297
زغوان,19,سليم الرياحي,102,0.19,54297
زغوان,20,سلمه اللومي,171,0.31,54297
