procedure,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
cahier des charges,,,2023,02,fr,Cahier des charges JM 12 2023,,Cahier-des-charges-JM-12_2023.pdf,1O2a-BUwUOyZIIw44rRdrVCHWEXKWnbna,https://drive.google.com/uc?export=download&id=1O2a-BUwUOyZIIw44rRdrVCHWEXKWnbna
appel d'offres simplifié,2,2023,2023,05,fr,CC AOS 2 2023,,CC-AOS-2-2023.pdf,1SbCK7ALsLlg9EtTG5XmdOuMqob34e2nj,https://drive.google.com/uc?export=download&id=1SbCK7ALsLlg9EtTG5XmdOuMqob34e2nj
appel d'offres simplifié,3,2023,2023,07,fr,CC AOS 3 2023,,CC-AOS-3-2023.pdf,1tNyHOfSU_ETaT4yyfrj2s_3gDyj6Mwj_,https://drive.google.com/uc?export=download&id=1tNyHOfSU_ETaT4yyfrj2s_3gDyj6Mwj_
cahier des charges,41,2023,2023,08,fr,CC 41 2023,,CC-41-2023.pdf,1_ZXGxqTtvb6ud1MPa-wzATuql6J69qjN,https://drive.google.com/uc?export=download&id=1_ZXGxqTtvb6ud1MPa-wzATuql6J69qjN
appel d'offres simplifié,5,2023,2023,08,fr,CC AOS 5 2023,,CC-AOS-5-2023.pdf,1ZJCoN29X8CnsUlSCXt-Xp0uemLkysg3i,https://drive.google.com/uc?export=download&id=1ZJCoN29X8CnsUlSCXt-Xp0uemLkysg3i
appel d'offres,7,2023,2023,09,fr,CC AO7 2023,,CC-AO7-2023.pdf,1CMDBov-8By1zLGiqqViRYziAg-74djJC,https://drive.google.com/uc?export=download&id=1CMDBov-8By1zLGiqqViRYziAg-74djJC
appel d'offres,8,2023,2023,09,fr,CC AO8 2023,,CC-AO8-2023.pdf,1zzqDGSpE45HebaB_y9OdK7GFAmtqqd_G,https://drive.google.com/uc?export=download&id=1zzqDGSpE45HebaB_y9OdK7GFAmtqqd_G
appel d'offres,11,2023,2023,10,fr,CAO AO 11 2023,,CAO-AO-11-2023.pdf,195pEXMltvquXDdAiikdqXxLNYOW-OaU5,https://drive.google.com/uc?export=download&id=195pEXMltvquXDdAiikdqXxLNYOW-OaU5
appel d'offres,09,2023,2023,10,fr,CC AO 09 2023,,CC-AO-09-2023.pdf,1L883wcEHxAUkTV_VCmy8GPAusxae1GXJ,https://drive.google.com/uc?export=download&id=1L883wcEHxAUkTV_VCmy8GPAusxae1GXJ
appel d'offres,10,2023,2023,10,fr,CC AO 10 2023,,CC-AO-10-2023.pdf,16Mm45-s6zhMBLLAxHz_U65x6EDSN-DUL,https://drive.google.com/uc?export=download&id=16Mm45-s6zhMBLLAxHz_U65x6EDSN-DUL
cahier des charges,13,2023,2023,10,fr,CC AO ISIE 13 2023 VF,,CC-AO-ISIE-13-2023-VF.pdf,1Czw0RHLkHLK4Xq-7CuSb_rpgoJ9LqcwF,https://drive.google.com/uc?export=download&id=1Czw0RHLkHLK4Xq-7CuSb_rpgoJ9LqcwF
appel d'offres,13,2023,2023,10,fr,CC AO13 2023,,CC-AO13-2023.pdf,1sKBtOam3iIGlHQ0c152O185wh-9_vfaC,https://drive.google.com/uc?export=download&id=1sKBtOam3iIGlHQ0c152O185wh-9_vfaC
cahier des charges,,,2023,10,fr,CC AVOCAT 2023,,CC-AVOCAT-2023.pdf,14U3gPu5ilh6UR3HhAWmolnLBVcoozd-m,https://drive.google.com/uc?export=download&id=14U3gPu5ilh6UR3HhAWmolnLBVcoozd-m
cahier des charges,70,2023,2023,10,fr,CC CONS70 2023,,CC-CONS70-2023.pdf,1eKGMwq2lWC_zTZXM8AtgsjEJGHOWruYn,https://drive.google.com/uc?export=download&id=1eKGMwq2lWC_zTZXM8AtgsjEJGHOWruYn
consultation,94,2023,2023,10,fr,CONS ISIE 94 2023,,CONS-ISIE-94-2023.pdf,17D0kRZGxd6dNnDBU5HXFhNZzljAxl_xV,https://drive.google.com/uc?export=download&id=17D0kRZGxd6dNnDBU5HXFhNZzljAxl_xV
cahier des charges,,,2023,10,mixed,كراس شروط الاستشارة عدد 77,,كراس-شروط-الاستشارة-عدد-77.pdf,1KdDwoFWKNQSSX7QGe0vulzjqcnhCi6c8,https://drive.google.com/uc?export=download&id=1KdDwoFWKNQSSX7QGe0vulzjqcnhCi6c8
appel d'offres,15,2023,2023,11,fr,ANNEXES AO15 2023,,ANNEXES-AO15-2023.pdf,1IvoQYUppi4MfG9GzL14nV4TbRlgX1mcU,https://drive.google.com/uc?export=download&id=1IvoQYUppi4MfG9GzL14nV4TbRlgX1mcU
appel d'offres,15,2023,2023,11,fr,CAHIERS DE CHARGES AO15 2023,,CAHIERS-DE-CHARGES-AO15-2023.pdf,1dL_IQzXMHgMp-CG1GddC4LnkbeLIYEKr,https://drive.google.com/uc?export=download&id=1dL_IQzXMHgMp-CG1GddC4LnkbeLIYEKr
appel d'offres,14,2023,2023,11,fr,CC AO 14 2023,,CC-AO-14-2023.pdf,17GLz9i9mgjjhwEciUS0Emua3z2y288dr,https://drive.google.com/uc?export=download&id=17GLz9i9mgjjhwEciUS0Emua3z2y288dr
