pdf_path,filename,governorate,constituency,imada,pages,official_count,extracted_count,completeness_pct,is_diaspora
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/المخصومة.pdf,المخصومة.pdf,القيروان,القيروان الجنوبية,المخصومة,59,2512,2512,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/المنصورة الجنوبية.pdf,المنصورة الجنوبية.pdf,القيروان,القيروان الجنوبية,المنصورة الجنوبية,436,19120,19120,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/المنصورة الشمالية.pdf,المنصورة الشمالية.pdf,القيروان,القيروان الجنوبية,المنصورة الشمالية,294,12889,12889,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/النبش.pdf,النبش.pdf,القيروان,القيروان الجنوبية,النبش,57,2438,2438,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/بريكات العرقوب.pdf,بريكات العرقوب.pdf,القيروان,القيروان الجنوبية,بريكات العرقوب,44,1871,1871,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/رقادة.pdf,رقادة.pdf,القيروان,القيروان الجنوبية,رقادة,99,4311,4311,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/زرود.pdf,زرود.pdf,القيروان,القيروان الجنوبية,زرود,50,2114,2114,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/زعفرانة.pdf,زعفرانة.pdf,القيروان,القيروان الجنوبية,زعفرانة,74,3177,3177,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1404_القيروان الجنوبية/مرق الليل.pdf,مرق الليل.pdf,القيروان,القيروان الجنوبية,مرق الليل,36,1501,1501,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الاغالبة.pdf,الاغالبة.pdf,القيروان,القيروان الشمالية,الاغالبة,220,9599,9599,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الانصار.pdf,الانصار.pdf,القيروان,القيروان الشمالية,الانصار,14,564,564,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الباطن.pdf,الباطن.pdf,القيروان,القيروان الشمالية,الباطن,111,4803,4803,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الجامع الجنوبية.pdf,الجامع الجنوبية.pdf,القيروان,القيروان الشمالية,الجامع الجنوبية,111,4819,4819,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الجامع الشمالية.pdf,الجامع الشمالية.pdf,القيروان,القيروان الشمالية,الجامع الشمالية,150,6536,6536,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الجبلية الجنوبية.pdf,الجبلية الجنوبية.pdf,القيروان,القيروان الشمالية,الجبلية الجنوبية,15,594,594,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الجبلية الشمالية.pdf,الجبلية الشمالية.pdf,القيروان,القيروان الشمالية,الجبلية الشمالية,507,22250,22250,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/الغابات.pdf,الغابات.pdf,القيروان,القيروان الشمالية,الغابات,89,3856,3856,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/القبلية الشمالية.pdf,القبلية الشمالية.pdf,القيروان,القيروان الشمالية,القبلية الشمالية,138,5999,5999,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/المتبسطة.pdf,المتبسطة.pdf,القيروان,القيروان الشمالية,المتبسطة,46,1939,1939,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/المنشية.pdf,المنشية.pdf,القيروان,القيروان الشمالية,المنشية,343,15033,15033,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1405_القيروان الشمالية/ذراع التمار.pdf,ذراع التمار.pdf,القيروان,القيروان الشمالية,ذراع التمار,24,981,981,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/أولاد عاشور.pdf,أولاد عاشور.pdf,القيروان,بوحجلة,أولاد عاشور,54,2304,2304,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/أولاد فرج اللّه الشمالية.pdf,أولاد فرج اللّه الشمالية.pdf,القيروان,بوحجلة,أولاد فرج اللّه الشمالية,49,2109,2109,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/الشرائطية الشمالية.pdf,الشرائطية الشمالية.pdf,القيروان,بوحجلة,الشرائطية الشمالية,132,5761,5761,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/الشوامخ.pdf,الشوامخ.pdf,القيروان,بوحجلة,الشوامخ,72,3103,3103,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/الفتح.pdf,الفتح.pdf,القيروان,بوحجلة,الفتح,80,3463,3463,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/القطيطير.pdf,القطيطير.pdf,القيروان,بوحجلة,القطيطير,71,3039,3039,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/المويسات.pdf,المويسات.pdf,القيروان,بوحجلة,المويسات,126,5463,5463,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/النصر.pdf,النصر.pdf,القيروان,بوحجلة,النصر,131,5710,5710,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/بئر بوساري.pdf,بئر بوساري.pdf,القيروان,بوحجلة,بئر بوساري,50,2119,2119,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/بئر مسيكين.pdf,بئر مسيكين.pdf,القيروان,بوحجلة,بئر مسيكين,63,2697,2697,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/بوحجلة الأحواز.pdf,بوحجلة الأحواز.pdf,القيروان,بوحجلة,بوحجلة الأحواز,106,4615,4615,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/بوحجلة المركز.pdf,بوحجلة المركز.pdf,القيروان,بوحجلة,بوحجلة المركز,278,12164,12164,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/جهينة الجنوبية.pdf,جهينة الجنوبية.pdf,القيروان,بوحجلة,جهينة الجنوبية,89,3836,3836,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1406_بوحجلة/جهينة الشمالية.pdf,جهينة الشمالية.pdf,القيروان,بوحجلة,جهينة الشمالية,77,3304,3304,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/أولاد فرج اللّه الجنوبية.pdf,أولاد فرج اللّه الجنوبية.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,أولاد فرج اللّه الجنوبية,57,2445,2445,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/البريكات.pdf,البريكات.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,البريكات,82,3556,3556,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الحميدات.pdf,الحميدات.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الحميدات,51,2167,2167,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الشرائطية الجنوبية.pdf,الشرائطية الجنوبية.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الشرائطية الجنوبية,78,3355,3355,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الشراردة.pdf,الشراردة.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الشراردة,203,8847,8847,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الطويلة.pdf,الطويلة.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الطويلة,73,3127,3127,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الفجيج.pdf,الفجيج.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الفجيج,122,5283,5283,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/القصور.pdf,القصور.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,القصور,100,4315,4315,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/الكبارة.pdf,الكبارة.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,الكبارة,57,2439,2439,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/المنارة.pdf,المنارة.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,المنارة,93,4041,4041,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/بئر الحلو.pdf,بئر الحلو.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,بئر الحلو,90,3905,3905,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/نصر الله الأحواز.pdf,نصر الله الأحواز.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,نصر الله الأحواز,103,4482,4482,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/القيروان/1407_نصر اللّه - منزل مهيري - الشراردة/نصر اللّه المركز.pdf,نصر اللّه المركز.pdf,القيروان,نصر اللّه - منزل مهيري - الشراردة,نصر اللّه المركز,119,5192,5192,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/ابة.pdf,ابة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,ابة,28,1179,1179,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الآبار.pdf,الآبار.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الآبار,25,1049,1049,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الآبار الشرقية.pdf,الآبار الشرقية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الآبار الشرقية,14,544,544,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الاربص.pdf,الاربص.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الاربص,34,1442,1442,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الجريصة الجنوبية.pdf,الجريصة الجنوبية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة الجنوبية,53,2270,2270,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الجريصة الشمالية.pdf,الجريصة الشمالية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة الشمالية,33,1377,1377,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الجريصة المركزية.pdf,الجريصة المركزية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة المركزية,69,2965,2965,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الدهماني.pdf,الدهماني.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الدهماني,207,9024,9024,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الدهماني الشمالية.pdf,الدهماني الشمالية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الدهماني الشمالية,79,3416,3416,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الزوارين.pdf,الزوارين.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الزوارين,77,3322,3322,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الزيتونة.pdf,الزيتونة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الزيتونة,46,1965,1965,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/السرس الجنوبية.pdf,السرس الجنوبية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,السرس الجنوبية,89,3858,3858,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/السرس الشمالية.pdf,السرس الشمالية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,السرس الشمالية,33,1373,1373,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/القصور.pdf,القصور.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,القصور,133,5800,5800,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/القلعة الخصباء.pdf,القلعة الخصباء.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,القلعة الخصباء,74,3210,3210,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/اللاس.pdf,اللاس.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,اللاس,28,1148,1148,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/اللواتة.pdf,اللواتة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,اللواتة,18,715,715,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/المدينة.pdf,المدينة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,المدينة,27,1105,1105,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/المرجى.pdf,المرجى.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,المرجى,41,1744,1744,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/الناظور.pdf,الناظور.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الناظور,13,500,500,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/النعايم.pdf,النعايم.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,النعايم,7,262,262,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/بانو.pdf,بانو.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بانو,29,1200,1200,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/بسريانة.pdf,بسريانة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بسريانة,17,677,677,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/بوصليعة.pdf,بوصليعة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بوصليعة,42,1785,1785,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/ثرمدة.pdf,ثرمدة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,ثرمدة,39,1669,1669,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/حي النور.pdf,حي النور.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,حي النور,120,5204,5204,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/سيدي أحمد الصالح.pdf,سيدي أحمد الصالح.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي أحمد الصالح,33,1382,1382,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/سيدي بركات الجنوبية.pdf,سيدي بركات الجنوبية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي بركات الجنوبية,18,739,739,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/سيدي بركات الشمالية.pdf,سيدي بركات الشمالية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي بركات الشمالية,15,586,586,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/عبيدة.pdf,عبيدة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عبيدة,35,1457,1457,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/عين القصيبة.pdf,عين القصيبة.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عين القصيبة,56,2417,2417,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/عين فضيل.pdf,عين فضيل.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عين فضيل,26,1075,1075,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/فج التمر.pdf,فج التمر.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,فج التمر,24,996,996,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0701_القلعة الخصباء - الجريصة - القصور - الدهماني - السرس/هنطاية.pdf,هنطاية.pdf,الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,هنطاية,9,340,340,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/الكاف/0702_الكاف الغربية - الكاف الشرقية/الحوارث الجنوبية.pdf,الحوارث الجنوبية.pdf,الكاف,الكاف الغربية - الكاف الشرقية,الحوارث الجنوبية,491,21539,21539,100.0,0
