# Which archived page the representatives table was actually read from, for the
# bureaux whose orient-stage page pick was wrong. The archive holds several images
# for about a fifth of the corpus and only one is the counting record; these are the
# 126 where the first version of the picker chose one of the others. Ground truth for
# tools/test_pv_pagepick.py, and provenance for the readings themselves.
# One row was corrected after the fact: 08040810301 was recorded as page 0, where
# the locator fired on the correction form's own table (3 column rules) and the
# blank crop was read as 'no representative'. Page 1 is the counting record --
# registration 0.96 against 0.13 -- and its table reads la yujad, the same value.
bureau_code,source,page,rotation,col_rules,row_rules
19130510201,19130510201__19130510201.pdf,0,0,4,6
21020610101,21020610101__21020610101.pdf,0,0,4,6
21080410402,21080410402__21080410402.pdf,0,0,4,6
22060310202,22060310202__22060310202.pdf,0,90,4,5
23010210102,23010210102__23010210102.jpg,0,0,4,0
23010310401,23010310401__23010310401.jpg,0,0,4,3
23010410104,23010410104__23010410104.jpg,0,0,4,3
23010410201,23010410201__23010410201.jpg,0,0,4,0
23010710202,23010710202__23010710202.jpg,0,0,4,6
23011010501,23011010501__23011010501.jpg,0,0,4,6
23011010601,23011010601__23011010601.jpg,0,0,4,0
23020210401,23020210401__23020210401.jpg,0,0,4,0
23030110103,23030110103__23030110103.jpg,0,0,4,3
23030110401,23030110401__23030110401.jpg,0,0,4,6
23030410103,23030410103__23030410103.jpg,0,0,3,6
23030413001,23030413001__23030413001.jpg,0,0,4,6
23030510101,23030510101__23030510101.jpg,0,0,4,6
23030610201,23030610201__23030610201.jpg,0,0,4,6
23040310104,23040310104__23040310104.jpg,0,0,3,6
23040510303,23040510303__23040510303.jpg,0,0,3,5
23040710105,23040710105__23040710105.jpg,0,0,4,6
23040710106,23040710106__23040710106.jpg,0,0,4,5
23040810201,23040810201__23040810201.jpg,0,0,4,6
23050210304,23050210304__23050210304.jpg,0,0,4,3
23050410201,23050410201__23050410201.jpg,0,90,4,6
23050510101,23050510101__23050510101.jpg,0,90,4,6
23050610201,23050610201__23050610201.jpg,0,90,2,0
23050710302,23050710302__23050710302.jpg,0,90,4,6
23050710305,23050710305__23050710305.jpg,0,90,4,6
23050710502,23050710502__23050710502.jpg,0,90,4,6
23050710601,23050710601__23050710601.jpg,0,90,4,6
23060210301,23060210301__23060210301.jpg,0,0,4,4
23060410201,23060410201__23060410201.jpg,0,0,4,6
23060410202,23060410202__23060410202.jpg,0,0,4,6
23060910109,23060910109__23060910109.jpg,0,0,4,4
23061010201,23061010201__23061010201.jpg,0,0,4,4
23061010301,23061010301__23061010301.jpg,0,0,4,6
23061110101,23061110101__23061110101.jpg,0,0,4,6
23061210101,23061210101__23061210101.jpg,0,0,3,6
23061410101,23061410101__23061410101.jpg,0,0,4,0
23061510301,23061510301__23061510301.jpg,0,0,4,6
23070410301,23070410301__23070410301.jpg,0,0,4,6
23071110101,23071110101__23071110101.jpg,0,0,4,3
230801101,230801101__230801101-01.jpg,0,0,4,3
23080510101,23080510101__23080510101-01.jpg,0,0,4,6
23090710303,23090710303__23090710303-01.jpg,0,0,3,6
23090810101,23090810101__23090810101-01.jpg,0,0,4,5
23090810104,23090810104__23090810104-01.jpg,0,0,4,6
23090810203,23090810203__23090810203-01.jpg,0,0,3,6
