# Bureaux whose RESULTS were read off a page that is not the counting record.
#
# The orient stage kept one image per bureau and chose it by masthead OCR score;
# where the archive holds several pages that rule could keep the wrong document.
# Each row here is a bureau where the kept page fails to register against the
# reference layout (cached_fit, measured at every rotation so a sideways record
# is not miscounted) while another archived page fits it (better_page_fit).
#
# This says the page was wrong. It does NOT say the published numbers are wrong:
# re-reading needs the Batch API or the offline digit model, neither available
# where this was produced. Read it as a list to re-read, not as a correction.
#
# The picker was fixed in tools/extract_pvs.py; tools/test_pv_pagepick.py pins it.
bureau_code,governorate,cached_fit,better_page_fit,better_source,better_page,found_by,status,votes_certified,identities_ok,cells_corrected
22060310202,قابس,0.428,0.9297,22060310202__22060310202.pdf,0,representatives,read,1,6,5
23010210102,مدنين,0.2212,0.9422,23010210102__23010210102.jpg,0,representatives,read,1,7,4
23010310401,مدنين,0.2205,0.9166,23010310401__23010310401.jpg,0,representatives,read,1,7,1
23010410104,مدنين,0.1978,0.9249,23010410104__23010410104.jpg,0,representatives,read,1,7,1
23010410201,مدنين,0.098,0.9194,23010410201__23010410201.jpg,0,representatives,read,1,8,0
23010710202,مدنين,0.1743,0.9369,23010710202__23010710202.jpg,0,representatives,read,1,7,1
23011010501,مدنين,0.2669,0.9331,23011010501__23011010501.jpg,0,representatives,read,1,7,2
23011010601,مدنين,0.2841,0.9024,23011010601__23011010601.jpg,0,representatives,read,1,7,1
23020210401,مدنين,0.3227,0.9338,23020210401__23020210401.jpg,0,representatives,read,1,7,9
23030110103,مدنين,0.226,0.9494,23030110103__23030110103.jpg,0,representatives,read_by_eye,1,1,15
23030110401,مدنين,0.1764,0.9348,23030110401__23030110401.jpg,0,representatives,read_by_eye,1,1,7
23030410103,مدنين,0.2337,0.9124,23030410103__23030410103.jpg,0,representatives,read,1,1,15
23030413001,مدنين,0.2731,0.9368,23030413001__23030413001.jpg,0,representatives,read_by_eye,1,1,13
23030510101,مدنين,0.1542,0.9561,23030510101__23030510101.jpg,0,representatives,read,1,7,1
23030610201,مدنين,0.2257,0.9147,23030610201__23030610201.jpg,0,representatives,no_grid,,,
23040310104,مدنين,0.1444,0.9306,23040310104__23040310104.jpg,0,representatives,read_by_eye,1,,
23040510201,مدنين,0.2117,0.9336,23040510201__23040510201.jpg,0,orient audit,read_by_eye,1,1,18
23040510303,مدنين,0.1112,0.924,23040510303__23040510303.jpg,0,representatives,no_grid,,,
23040710105,مدنين,0.2303,0.9452,23040710105__23040710105.jpg,0,representatives,read_by_eye,1,0,11
23040710106,مدنين,0.1523,0.903,23040710106__23040710106.jpg,0,representatives,read_by_eye,1,0,25
23040810201,مدنين,0.1465,0.9257,23040810201__23040810201.jpg,0,representatives,read,1,1,11
23050410201,مدنين,0.2001,0.935,23050410201__23050410201.jpg,0,representatives,read,1,2,10
23050510101,مدنين,0.1897,0.8794,23050510101__23050510101.jpg,0,representatives,read,1,7,2
23050610201,مدنين,0.3338,0.8465,23050610201__23050610201.jpg,0,representatives,read_by_eye,1,2,12
23050710302,مدنين,0.2746,0.8522,23050710302__23050710302.jpg,0,representatives,read,1,4,4
23050710305,مدنين,0.1348,0.9296,23050710305__23050710305.jpg,0,representatives,read,1,6,1
23050710502,مدنين,0.2975,0.9195,23050710502__23050710502.jpg,0,representatives,read,1,7,1
23050710601,مدنين,0.1844,0.9529,23050710601__23050710601.jpg,0,representatives,read,1,7,0
23060210301,مدنين,0.2185,0.8701,23060210301__23060210301.jpg,0,representatives,read_by_eye,1,1,18
23060410101,مدنين,0.195,0.9449,23060410101__23060410101.jpg,0,orient audit,read,1,2,12
23060410201,مدنين,0.1852,0.9307,23060410201__23060410201.jpg,0,representatives,read_by_eye,1,5,6
23060410202,مدنين,0.1657,0.9137,23060410202__23060410202.jpg,0,representatives,read_by_eye,1,1,12
23060910109,مدنين,0.2354,0.9373,23060910109__23060910109.jpg,0,representatives,read,1,1,20
23061010201,مدنين,0.1639,0.8742,23061010201__23061010201.jpg,0,representatives,read_by_eye,1,1,8
23061010203,مدنين,0.0511,0.9251,23061010203__23061010203.jpg,0,orient audit,read_by_eye,1,0,20
23061010301,مدنين,0.1827,0.9261,23061010301__23061010301.jpg,0,representatives,read_by_eye,1,1,14
23061110101,مدنين,0.0454,0.9274,23061110101__23061110101.jpg,0,representatives,read_by_eye,1,0,12
23061210101,مدنين,0.1724,0.9193,23061210101__23061210101.jpg,0,representatives,unverified,1,0,22
23061410101,مدنين,0.1643,0.9185,23061410101__23061410101.jpg,0,representatives,read_by_eye,1,1,11
23061510301,مدنين,0.1951,0.9436,23061510301__23061510301.jpg,0,representatives,read_by_eye,1,0,10
23070410301,مدنين,0.1254,0.9318,23070410301__23070410301.jpg,0,representatives,read,1,8,0
23071110101,مدنين,0.1786,0.9359,23071110101__23071110101.jpg,0,representatives,read,1,7,5
230801101,مدنين,0.2844,0.9336,230801101__230801101-01.jpg,0,representatives,read,1,7,2
23080510101,مدنين,0.1616,0.9509,23080510101__23080510101-01.jpg,0,representatives,read_by_eye,1,0,14
23090710303,مدنين,0.2028,0.9417,23090710303__23090710303-01.jpg,0,representatives,read_by_eye,1,0,15
23090810101,مدنين,0.165,0.9347,23090810101__23090810101-01.jpg,0,representatives,read_by_eye,1,0,27
23090810104,مدنين,0.1997,0.9411,23090810104__23090810104-01.jpg,0,representatives,read,1,1,16
23090810203,مدنين,0.157,0.9196,23090810203__23090810203-01.jpg,0,representatives,read,1,0,14
24050110104,تطاوين,0.2295,0.9635,24050110104__24050110104.pdf,0,orient audit,read,1,2,5
